H Table: (M=3.0,Z=0.03)

Isotopes	Yields
Cu-63		2.3628864E-06	
Cu-64		7.0069648E-42	
Cu-65		1.2288895E-06	
Cu-66		1.4906940E-99	
Cu-67		1.4906940E-99	
Cu-68		1.4906940E-99	
Cu-69		1.4906940E-99	
Cu-70		1.4906940E-99	
Cu-71		1.4906940E-99	
Zn-62		1.4906940E-99	
Zn-63		1.4906940E-99	
Zn-64		2.7336936E-06	
Zn-65		3.2867990E-09	
Zn-66		1.9185300E-06	
Zn-67		3.1330796E-07	
Zn-68		1.4269138E-06	
Zn-69		8.7654560E-99	
Zn-70		3.5085262E-08	
Zn-71		1.4906940E-99	
Zn-72		1.4906940E-99	
Zn-73		1.4906940E-99	
Zn-74		1.4906940E-99	
Ga-65		1.4906940E-99	
Ga-66		1.4906940E-99	
Ga-67		1.4906940E-99	
Ga-68		1.4906940E-99	
Ga-69		1.5490777E-07	
Ga-70		1.4906946E-99	
Ga-71		1.0383617E-07	
Ga-72		2.0765042E-88	
Ga-73		1.4906940E-99	
Ga-74		1.4906940E-99	
Ga-75		1.4906940E-99	
Ge-66		1.4906940E-99	
Ge-67		1.4906940E-99	
Ge-68		1.4906940E-99	
Ge-69		1.4906940E-99	
Ge-70		1.8972600E-07	
Ge-71		1.7492973E-41	
Ge-72		2.2337460E-07	
Ge-73		6.3443358E-08	
Ge-74		3.0776061E-07	
Ge-75		1.4948885E-99	
Ge-76		4.3512438E-08	
Ge-77		1.4906940E-99	
Ge-78		1.4906940E-99	
As-69		1.4906940E-99	
As-70		1.4906940E-99	
As-71		1.4906940E-99	
As-72		1.4906940E-99	
As-73		1.4906940E-99	
As-74		8.4881008E-24	
As-75		4.1707580E-08	
As-76		1.1204933E-72	
As-77		1.4906940E-99	
As-78		1.4906940E-99	
As-79		1.4906940E-99	
As-80		1.4906940E-99	
As-81		1.4906940E-99	
Se-72		1.4906940E-99	
Se-73		1.4906940E-99	
Se-74		2.5918175E-09	
Se-75		1.4906940E-99	
Se-76		5.1221666E-08	
Se-77		3.2154062E-08	
Se-78		1.2708348E-07	
Se-79		9.2896840E-09	
Se-80		2.0617875E-07	
Se-81		1.4906940E-99	
Se-82		2.8965997E-08	
Se-83		1.4906940E-99	
Se-84		1.4906940E-99	
Br-74		1.4906940E-99	
Br-75		1.4906940E-99	
Br-76		1.4906940E-99	
Br-77		1.4906940E-99	
Br-78		1.4906940E-99	
Br-79		3.1705265E-08	
Br-80		1.4906940E-99	
Br-81		3.8670465E-08	
Br-82		6.3225463E-90	
Br-83		1.4906940E-99	
Br-84		1.4906940E-99	
Br-85		1.4906940E-99	
Br-86		1.4906940E-99	
Br-87		1.4906940E-99	
Kr-76		1.4906940E-99	
Kr-77		1.4906940E-99	
Kr-78		8.4376148E-10	
Kr-79		1.4906940E-99	
Kr-80		6.9521655E-09	
Kr-81		7.1099062E-10	
Kr-82		5.5560945E-08	
Kr-83		3.8627934E-08	
Kr-84		2.0860425E-07	
Kr-85		8.5174302E-13	
Kr-86		7.0213174E-08	
Kr-87		1.4906940E-99	
Kr-88		1.4906940E-99	
Kr-89		1.4906940E-99	
Kr-90		1.4906940E-99	
Rb-79		1.4906940E-99	
Rb-80		1.4906940E-99	
Rb-81		1.4906940E-99	
