H Table: (M=15.0,Z=0.0001)
#H Lifetime: 1.412E+07
#H Mfinal: 1.620E+00
 Isotopes  Yields    
 H-1       6.543E+00 
 H-2       6.748E-06 
 He-3      2.183E-04 
 He-4      4.869E+00 
 Li-7      1.116E-13 
 B-11      2.965E-11 
 C-12      1.646E-01 
 C-13      3.144E-06 
 N-14      3.048E-04 
 N-15      1.833E-07 
 O-16      1.176E+00 
 O-17      3.748E-06 
 O-18      3.554E-06 
 F-19      4.500E-08 
 Ne-20     1.467E-01 
 Ne-21     3.497E-05 
 Ne-22     1.289E-04 
 Na-23     5.359E-04 
 Mg-24     7.132E-02 
 Mg-25     2.656E-03 
 Mg-26     1.636E-03 
 Al-27     1.157E-03 
 Si-28     1.037E-01 
 Si-29     2.405E-03 
 Si-30     1.648E-03 
 P-31      6.684E-04 
 Pb-206    4.976E-11 
 Pb-207    4.036E-11 
 S-32      4.318E-02 
 S-33      2.295E-04 
 S-34      1.184E-03 
 S-36      3.366E-06 
 Cl-35     1.033E-04 
 Cl-37     1.605E-05 
 Ar-36     7.309E-03 
 Ar-38     3.752E-04 
 Ar-40     3.986E-08 
 K-39      4.721E-05 
 K-40      9.434E-08 
 K-41      1.999E-06 
 Ca-40     5.114E-03 
 Ca-42     2.437E-05 
 Ca-43     4.374E-06 
 Ca-44     8.503E-06 
 Ca-46     1.404E-09 
 Ca-48     2.067E-09 
 Sc-45     1.283E-06 
 Ti-46     1.566E-05 
 Ti-47     1.546E-05 
 Ti-48     2.967E-04 
 Ti-49     1.804E-05 
 Ti-50     1.510E-08 
 V-50      1.789E-09 
 V-51      3.473E-05 
 Cr-50     5.430E-05 
 Cr-52     2.968E-03 
 Cr-53     1.393E-04 
 Cr-54     2.504E-08 
 Mn-55     3.907E-04 
 Fe-54     1.312E-03 
 Fe-56     4.751E-02 
 Fe-57     1.911E-03 
 Fe-58     8.039E-07 
 Co-59     2.576E-03 
 Ni-58     1.365E-01 
 Ni-60     1.762E-02 
 Ni-61     1.084E-03 
 Ni-62     1.349E-02 
 Ni-64     6.662E-08 
 Cu-63     6.951E-04 
 Cu-65     3.760E-05 
 Zn-64     9.116E-03 
 Zn-66     1.393E-04 
 Zn-67     1.292E-05 
 Zn-68     5.734E-04 
 Zn-70     7.986E-10 
 Ga-69     2.001E-06 
 Ga-71     3.642E-07 
 Ge-70     9.765E-06 
 Ge-72     1.473E-05 
 Ge-73     1.696E-07 
 Ge-74     4.523E-09 
 Ge-76     3.959E-10 
 As-75     1.887E-08 
 Se-74     1.768E-06 
 Se-76     3.823E-07 
 Se-77     2.316E-08 
 Se-78     1.212E-09 
 Se-80     1.381E-09 
 Se-82     2.297E-10 
 Br-79     4.695E-09 
 Br-81     2.198E-09 
 Kr-78     2.853E-07 
 Kr-80     1.627E-08 
 Kr-82     6.636E-08 
 Kr-83     4.524E-09 
 Kr-84     1.408E-09 
 Kr-86     5.409E-10 
 Rb-85     1.431E-09 
 Rb-87     1.599E-10 
 Sr-84     2.511E-08 
 Sr-86     4.807E-09 
 Sr-87     1.935E-09 
 Sr-88     1.791E-08 
 Y-89      4.032E-09 
 Zr-90     1.524E-07 
 Zr-91     3.072E-08 
 Zr-92     1.146E-10 
 Zr-94     7.823E-11 
 Zr-96     1.547E-11 
 Nb-93     1.408E-09 
 Mo-92     3.424E-07 
 Mo-94     4.267E-10 
 Mo-95     3.357E-11 
 Mo-96     1.588E-11 
 Mo-97     1.147E-11 
 Mo-98     2.772E-11 
 Mo-100    9.168E-12 
 Ru-96     1.785E-11 
 Ru-98     1.395E-12 
 Ru-99     9.205E-12 
 Ru-100    8.944E-12 
 Ru-101    1.123E-11 
 Ru-102    2.455E-11 
 Ru-104    1.282E-11 
 Rh-103    1.248E-11 
 Pd-102    1.105E-12 
 Pd-104    6.218E-12 
 Pd-105    1.076E-11 
 Pd-106    1.591E-11 
 Pd-108    1.698E-11 
 Pd-110    6.641E-12 
 Ag-107    9.363E-12 
 Ag-109    8.630E-12 
 Cd-106    1.402E-12 
 Cd-108    1.143E-12 
 Cd-110    9.359E-12 
 Cd-111    7.778E-12 
 Cd-112    1.763E-11 
 Cd-113    7.690E-12 
 Cd-114    2.234E-11 
 Cd-116    5.881E-12 
 In-113    3.366E-13 
 In-115    6.838E-12 
 Sn-112    3.977E-12 
 Sn-114    3.805E-12 
 Sn-115    5.486E-13 
 Sn-116    2.329E-11 
 Sn-117    1.208E-11 
 Sn-118    4.453E-11 
 Sn-119    1.393E-11 
 Sn-120    6.300E-11 
 Sn-122    1.010E-11 
 Sn-124    1.205E-11 
 Sb-121    8.114E-12 
 Sb-123    6.147E-12 
 Te-120    2.894E-13 
 Te-122    6.559E-12 
 Te-123    1.964E-12 
 Te-124    1.155E-11 
 Te-125    1.449E-11 
 Te-126    4.475E-11 
 Te-128    6.522E-11 
 Te-130    7.209E-11 
 I-127     1.679E-11 
 Xe-124    5.942E-13 
 Xe-126    7.347E-13 
 Xe-128    6.839E-12 
 Xe-129    5.207E-11 
 Xe-130    1.433E-11 
 Xe-131    4.353E-11 
 Xe-132    6.572E-11 
 Xe-134    2.506E-11 
 Xe-136    2.464E-11 
 Cs-133    1.855E-11 
 Ba-130    2.726E-12 
 Ba-132    4.030E-13 
 Ba-134    6.451E-12 
 Ba-135    1.474E-11 
 Ba-136    2.665E-11 
 Ba-137    2.707E-11 
 Ba-138    2.032E-10 
 La-138    1.593E-14 
 La-139    2.561E-11 
 Ce-136    8.530E-13 
 Ce-138    3.607E-13 
 Ce-140    5.794E-11 
 Ce-142    6.933E-12 
 Pr-141    9.302E-12 
 Nd-142    1.387E-11 
 Nd-143    5.355E-12 
 Nd-144    1.082E-11 
 Nd-145    3.520E-12 
 Nd-146    7.812E-12 
 Nd-148    2.750E-12 
 Nd-150    2.818E-12 
 Sm-144    3.223E-12 
 Sm-147    2.122E-12 
 Sm-148    1.748E-12 
 Sm-149    1.958E-12 
 Sm-150    1.188E-12 
 Sm-152    4.121E-12 
 Sm-154    3.464E-12 
 Eu-151    2.416E-12 
 Eu-153    2.430E-12 
 Gd-152    9.562E-14 
 Gd-154    4.826E-13 
 Gd-155    2.418E-12 
 Gd-156    4.018E-12 
 Gd-157    2.603E-12 
 Gd-158    4.678E-12 
 Gd-160    3.729E-12 
 Tb-159    3.131E-12 
 Dy-156    2.482E-14 
 Dy-158    4.436E-14 
 Dy-160    8.095E-13 
 Dy-161    3.777E-12 
 Dy-162    5.693E-12 
 Dy-163    4.943E-12 
 Dy-164    6.320E-12 
 Ho-165    9.190E-12 
 Er-162    5.183E-14 
 Er-164    5.493E-13 
 Er-166    5.055E-12 
 Er-167    3.113E-12 
 Er-168    4.421E-12 
 Er-170    2.401E-12 
 Tm-169    2.219E-12 
 Yb-168    1.371E-13 
 Yb-170    1.107E-12 
 Yb-171    2.136E-12 
 Yb-172    4.120E-12 
 Yb-173    2.388E-12 
 Yb-174    5.119E-12 
 Yb-176    2.286E-12 
 Lu-175    2.132E-12 
 Lu-176    1.273E-12 
 Hf-174    1.949E-13 
 Hf-176    1.202E-12 
