H Table: (M=1.65,Z=0.0001)
#H Lifetime: 1.233E+09
#H Mfinal: 6.182E-01
Isotopes Yields    X0        Z A  
H-1      7.133E-01 7.514E-01 1 1  
Ag-109   9.694E-12 7.427E-13 47109
Cd-106   6.234E-14 6.352E-14 48106
Cd-108   4.696E-14 4.608E-14 48108
Cd-110   2.527E-11 6.586E-13 48110
Cd-111   9.355E-12 6.811E-13 48111
Cd-112   3.350E-11 1.296E-12 48112
Cd-113   1.003E-11 6.619E-13 48113
Cd-114   4.648E-11 1.570E-12 48114
Cd-116   9.382E-12 4.165E-13 48116
In-113   2.559E-14 2.606E-14 49113
In-115   9.666E-12 5.920E-13 49115
Sn-112   1.200E-13 1.222E-13 50112
Sn-114   8.302E-14 8.442E-14 50114
Sn-115   4.309E-14 4.381E-14 50115
Sn-116   5.305E-11 1.895E-12 50116
Sn-117   1.857E-11 1.009E-12 50117
Sn-118   8.227E-11 3.212E-12 50118
Sn-119   2.454E-11 1.148E-12 50119
Sn-120   1.119E-10 4.395E-12 50120
Sn-122   2.057E-11 6.346E-13 50122
Sn-124   1.134E-12 8.067E-13 50124
Sb-121   9.287E-12 6.323E-13 51121
Sb-123   3.137E-12 4.807E-13 51123
Te-120   1.600E-14 1.630E-14 52120
Te-122   1.285E-11 4.493E-13 52122
Te-123   4.373E-12 1.580E-13 52123
Te-124   2.558E-11 8.449E-13 52124
Te-125   9.267E-12 1.262E-12 52125
Te-126   4.388E-11 3.378E-12 52126
Te-128   9.984E-12 5.738E-12 52128
Te-130   6.217E-12 6.216E-12 52130
I-127    6.732E-12 1.460E-12 53127
Xe-124   2.171E-14 2.211E-14 54124
Xe-126   1.915E-14 1.951E-14 54126
Xe-128   1.232E-11 3.946E-13 54128
Xe-129   9.917E-12 4.897E-12 54129
Xe-130   2.432E-11 7.872E-13 54130
Xe-131   1.270E-11 3.948E-12 54131
Xe-132   4.647E-11 4.811E-12 54132
Xe-134   1.196E-11 1.790E-12 54134
Xe-136   1.673E-12 1.480E-12 54136
Cs-133   7.364E-12 1.427E-12 55133
Ba-130   1.782E-14 1.816E-14 56130
Ba-132   1.731E-14 1.764E-14 56132
Ba-134   1.218E-11 4.276E-13 56134
Ba-135   1.063E-11 1.175E-12 56135
Ba-136   3.439E-11 1.410E-12 56136
Ba-137   3.616E-11 2.032E-12 56137
Ba-138   1.886E-10 1.306E-11 56138
La-138   1.559E-15 1.606E-15 57138
La-139   1.967E-11 1.792E-12 57139
Ce-136   8.234E-15 8.389E-15 58136
Ce-138   1.128E-14 1.149E-14 58138
Ce-140   3.660E-11 4.107E-12 58140
Ce-142   2.865E-12 5.234E-13 58142
Pr-141   4.205E-12 6.917E-13 59141
Nd-142   7.662E-12 9.929E-13 60142
Nd-143   1.713E-12 4.488E-13 60143
Nd-144   5.042E-12 8.834E-13 60144
Nd-145   1.076E-12 3.098E-13 60145
Nd-146   4.281E-12 6.454E-13 60146
Nd-148   9.228E-13 2.187E-13 60148
Nd-150   2.219E-13 2.170E-13 60150
Sm-144   3.622E-14 3.687E-14 62144
Sm-147   6.081E-13 1.836E-13 62147
Sm-148   8.262E-13 1.386E-13 62148
Sm-149   3.324E-13 1.715E-13 62149
Sm-150   8.125E-13 9.221E-14 62150
Sm-152   9.633E-13 3.386E-13 62152
Sm-154   5.318E-13 2.919E-13 62154
Eu-151   3.069E-13 2.038E-13 63151
Eu-153   3.435E-13 2.254E-13 63153
Gd-152   1.113E-14 2.950E-15 64152
Gd-154   2.666E-13 3.212E-14 64154
Gd-155   3.680E-13 2.194E-13 64155
Gd-156   8.177E-13 3.054E-13 64156
Gd-157   4.673E-13 2.350E-13 64157
Gd-158   1.298E-12 3.753E-13 64158
Gd-160   4.986E-13 3.346E-13 64160
Tb-159   4.767E-13 2.767E-13 65159
Dy-156   9.860E-16 1.005E-15 66156
Dy-158   1.725E-15 1.744E-15 66158
Dy-160   3.414E-13 4.305E-14 66160
Dy-161   5.157E-13 3.501E-13 66161
Dy-162   1.157E-12 4.752E-13 66162
Dy-163   6.841E-13 4.667E-13 66163
Dy-164   1.563E-12 5.316E-13 66164
Ho-165   1.375E-12 8.495E-13 67165
Er-162   1.581E-15 1.610E-15 68162
Er-164   1.302E-13 1.915E-14 68164
Er-166   8.174E-13 4.048E-13 68166
Er-167   4.812E-13 2.778E-13 68167
Er-168   1.167E-12 3.266E-13 68168
Er-170   6.405E-13 1.842E-13 68170
Tm-169   3.669E-13 1.856E-13 69169
Yb-168   1.555E-15 1.585E-15 70168
Yb-170   2.518E-13 3.750E-14 70170
Yb-171   5.523E-13 1.772E-13 70171
Yb-172   1.093E-12 2.724E-13 70172
Yb-173   6.055E-13 2.025E-13 70173
Yb-174   2.207E-12 4.018E-13 70174
Yb-176   8.419E-13 1.629E-13 70176
Lu-175   4.341E-13 1.830E-13 71175
Lu-176   2.308E-13 4.528E-14 71176
Hf-174   1.210E-15 1.232E-15 72174
Hf-176   1.133E-13 4.040E-14 72176
Hf-177   3.670E-13 1.439E-13 72177
Hf-178   1.174E-12 2.123E-13 72178
Hf-179   4.402E-13 1.066E-13 72179
Hf-180   2.124E-12 2.770E-13 72180
Ta-180   2.444E-17 2.431E-17 73180
Ta-181   5.811E-13 1.987E-13 73181
W-180    8.774E-16 8.402E-16 74180
W-182    9.631E-13 1.879E-13 74182
W-183    5.893E-13 1.021E-13 74183
W-184    1.472E-12 2.197E-13 74184
W-186    8.522E-13 2.060E-13 74186
Re-185   4.087E-13 1.049E-13 75185
Re-187   3.357E-13 1.775E-13 75187
