H Table: (M=25.0,Z=0.0001)
#H Lifetime: 7.921E+06
#H Mfinal: 6.380E+00
 Isotopes  Yields     
 H-1       9.276E+00  
 H-2       1.046E-05  
 He-3      2.665E-04  
 He-4      8.237E+00  
 Li-7      1.165E-06  
 B-11      3.715E-08  
 C-12      1.848E-01  
 C-13      1.888E-02  
 N-14      1.805E-02  
 N-15      1.008E-02  
 O-16      7.061E-01  
 O-17      1.528E-04  
 O-18      1.049E-05  
 F-19      2.585E-06  
 Ne-20     1.224E-01  
 Ne-21     7.923E-05  
 Ne-22     1.567E-04  
 Na-23     1.018E-03  
 Mg-24     2.093E-02  
 Mg-25     5.320E-04  
 Mg-26     3.164E-04  
 Al-27     1.315E-04  
 Si-28     2.048E-02  
 Si-29     1.041E-04  
 Si-30     4.892E-05  
 P-31      4.724E-05  
 Pb-206    6.569E-11  
 Pb-207    6.195E-11  
 S-32      2.037E-03  
 S-33      3.777E-06  
 S-34      4.586E-06  
 S-36      2.736E-08  
 Cl-35     4.405E-06  
 Cl-37     1.778E-07  
 Ar-36     1.077E-05  
 Ar-38     4.251E-07  
 Ar-40     2.318E-08  
 K-39      1.509E-07  
 K-40      1.931E-09  
 K-41      2.482E-08  
 Ca-40     2.086E-06  
 Ca-42     2.244E-08  
 Ca-43     6.403E-09  
 Ca-44     3.528E-08  
 Ca-46     4.706E-09  
 Ca-48     4.395E-09  
 Sc-45     6.158E-09  
 Ti-46     6.497E-09  
 Ti-47     8.233E-09  
 Ti-48     8.901E-08  
 Ti-49     7.832E-09  
 Ti-50     9.767E-09  
 V-50      9.188E-11  
 V-51      9.473E-09  
 Cr-50     1.341E-08  
 Cr-52     2.873E-07  
 Cr-53     3.447E-08  
 Cr-54     1.884E-08  
 Mn-55     2.135E-07  
 Fe-54     1.332E-06  
 Fe-56     2.260E-05  
 Fe-57     8.039E-07  
 Fe-58     5.094E-07  
 Co-59     2.766E-07  
 Ni-58     9.384E-07  
 Ni-60     9.030E-07  
 Ni-61     3.025E-07  
 Ni-62     5.289E-07  
 Ni-64     1.258E-07  
 Cu-63     1.573E-07  
 Cu-65     6.501E-08  
 Zn-64     3.324E-08  
 Zn-66     6.441E-08  
 Zn-67     2.470E-08  
 Zn-68     3.761E-08  
 Zn-70     2.014E-09  
 Ga-69     9.064E-09  
 Ga-71     2.889E-09  
 Ge-70     2.725E-09  
 Ge-72     3.556E-09  
 Ge-73     1.773E-09  
 Ge-74     5.014E-09  
 Ge-76     7.940E-10  
 As-75     1.355E-09  
 Se-74     1.936E-11  
 Se-76     5.321E-10  
 Se-77     5.717E-10  
 Se-78     1.563E-09  
 Se-80     1.512E-09  
 Se-82     2.790E-10  
 Br-79     4.967E-10  
 Br-81     4.367E-10  
 Kr-78     6.096E-12  
 Kr-80     1.413E-10  
 Kr-82     6.196E-10  
 Kr-83     4.358E-10  
 Kr-84     1.993E-09  
 Kr-86     4.321E-10  
 Rb-85     4.431E-10  
 Rb-87     1.415E-10  
 Sr-84     5.035E-12  
 Sr-86     3.631E-10  
 Sr-87     2.412E-10  
