H Table: (M=2.0,Z=0.0001)
H Lifetime: 7.500E+08
H Mfinal: 6.648E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &9.424E-01 &7.514E-01 &1 &1  
&H-2      &3.098E-06 &1.458E-05 &1 &2  
&He-3     &2.540E-04 &4.125E-05 &2 &3  
&He-4     &3.580E-01 &2.485E-01 &2 &4  
&Li-7     &5.298E-11 &7.612E-14 &3 &7  
&B-11     &3.817E-12 &2.858E-12 &5 &11 
&C-12     &2.356E-02 &1.250E-05 &6 &12 
&C-13     &9.692E-07 &4.160E-08 &6 &13 
&N-14     &3.870E-05 &1.060E-06 &7 &14 
&N-15     &5.275E-09 &4.174E-09 &7 &15 
&O-16     &9.951E-03 &7.409E-05 &8 &16 
&O-17     &1.423E-06 &3.816E-09 &8 &17 
&O-18     &4.985E-08 &2.173E-08 &8 &18 
&F-19     &2.565E-06 &5.616E-10 &9 &19 
&Ne-20    &9.699E-05 &5.753E-06 &10&20 
&Ne-21    &1.201E-06 &4.579E-09 &10&21 
&Ne-22    &8.107E-04 &1.472E-07 &10&22 
&Na-23    &6.375E-06 &4.003E-08 &11&23 
&Mg-24    &6.021E-06 &1.512E-06 &12&24 
&Mg-25    &2.321E-05 &7.740E-08 &12&25 
&Mg-26    &6.155E-05 &8.856E-08 &12&26 
&Al-27    &8.674E-07 &6.487E-08 &13&27 
&Si-28    &2.383E-06 &1.513E-06 &14&28 
&Si-29    &8.672E-08 &3.923E-08 &14&29 
&Si-30    &8.869E-08 &2.675E-08 &14&30 
&P-31     &2.732E-08 &7.113E-09 &15&31 
&Pb-206   &5.123E-11 &2.800E-12 &82&206
&Pb-207   &6.857E-11 &3.092E-12 &82&207
&S-32     &1.433E-06 &1.093E-06 &16&32 
&S-33     &5.239E-09 &3.268E-09 &16&33 
&S-34     &2.933E-08 &1.892E-08 &16&34 
&S-36     &5.762E-10 &8.080E-11 &16&36 
&Cl-35    &8.878E-09 &6.827E-09 &17&35 
&Cl-37    &6.505E-09 &2.308E-09 &17&37 
&Ar-36    &2.116E-07 &1.638E-07 &18&36 
&Ar-38    &2.373E-08 &1.576E-08 &18&38 
&Ar-40    &4.852E-10 &2.653E-11 &18&40 
&K-39     &5.776E-09 &3.903E-09 &19&39 
&K-40     &5.870E-11 &5.010E-13 &19&40 
&K-41     &6.250E-10 &2.961E-10 &19&41 
&Ca-40    &1.566E-07 &1.206E-07 &20&40 
&Ca-42    &1.003E-09 &5.068E-10 &20&42 
&Ca-43    &2.337E-10 &1.083E-10 &20&43 
&Ca-44    &2.613E-09 &1.712E-09 &20&44 
&Ca-46    &7.263E-11 &3.432E-12 &20&46 
&Ca-48    &2.221E-10 &1.674E-10 &20&48 
&Sc-45    &1.570E-10 &5.419E-11 &21&45 
&Ti-46    &5.009E-10 &3.235E-10 &22&46 
&Ti-47    &4.221E-10 &2.980E-10 &22&47 
&Ti-48    &6.950E-09 &5.377E-09 &22&48 
&Ti-49    &4.417E-10 &2.259E-10 &22&49 
&Ti-50    &7.774E-10 &2.210E-10 &22&50 
&V-50     &1.297E-12 &1.016E-12 &23&50 
&V-51     &5.628E-10 &4.141E-10 &23&51 
&Cr-50    &1.056E-09 &8.273E-10 &24&50 
&Cr-52    &2.162E-08 &1.659E-08 &24&52 
&Cr-53    &2.504E-09 &1.917E-09 &24&53 
&Cr-54    &1.036E-09 &4.862E-10 &24&54 
&Mn-55    &1.431E-08 &1.099E-08 &25&55 
&Fe-54    &1.039E-07 &8.126E-08 &26&54 
&Fe-56    &1.710E-06 &1.323E-06 &26&56 
&Fe-57    &4.550E-08 &3.109E-08 &26&57 
&Fe-58    &2.181E-08 &4.211E-09 &26&58 
&Co-59    &1.037E-08 &3.995E-09 &27&59 
&Ni-58    &7.306E-08 &5.716E-08 &28&58 
&Ni-60    &3.566E-08 &2.278E-08 &28&60 
&Ni-61    &3.292E-09 &1.007E-09 &28&61 
&Ni-62    &9.461E-09 &3.262E-09 &28&62 
&Ni-64    &9.088E-09 &8.576E-10 &28&64 
&Cu-63    &4.772E-09 &6.606E-10 &29&63 
&Cu-65    &2.826E-09 &3.037E-10 &29&65 
&Zn-64    &1.724E-09 &1.132E-09 &30&64 
&Zn-66    &3.121E-09 &6.696E-10 &30&66 
&Zn-67    &6.463E-10 &9.989E-11 &30&67 
&Zn-68    &4.148E-09 &4.636E-10 &30&68 
&Zn-70    &3.345E-11 &1.578E-11 &30&70 
&Ga-69    &5.723E-10 &4.555E-11 &31&69 
&Ga-71    &4.247E-10 &3.110E-11 &31&71 
&Ge-70    &8.523E-10 &5.162E-11 &32&70 
&Ge-72    &9.204E-10 &6.917E-11 &32&72 
&Ge-73    &2.703E-10 &1.956E-11 &32&73 
&Ge-74    &1.663E-09 &9.237E-11 &32&74 
&Ge-76    &4.697E-11 &1.965E-11 &32&76 
&As-75    &1.757E-10 &1.431E-11 &33&75 
&Se-74    &1.528E-12 &1.199E-12 &34&74 
&Se-76    &3.720E-10 &1.297E-11 &34&76 
&Se-77    &1.549E-10 &1.071E-11 &34&77 
&Se-78    &9.548E-10 &3.379E-11 &34&78 
&Se-80    &1.165E-09 &7.233E-11 &34&80 
&Se-82    &2.280E-11 &1.305E-11 &34&82 
&Br-79    &2.119E-10 &1.391E-11 &35&79 
&Br-81    &2.142E-10 &1.387E-11 &35&81 
&Kr-78    &4.976E-13 &3.904E-13 &36&78 
&Kr-80    &1.716E-11 &2.577E-12 &36&80 
&Kr-82    &4.775E-10 &1.321E-11 &36&82 
&Kr-83    &1.805E-10 &1.325E-11 &36&83 
&Kr-84    &1.211E-09 &6.608E-11 &36&84 
&Kr-86    &1.448E-09 &2.046E-11 &36&86 
&Rb-85    &4.113E-10 &1.284E-11 &37&85 
&Rb-87    &6.606E-10 &5.067E-12 &37&87 
&Sr-84    &4.118E-13 &3.231E-13 &38&84 
&Sr-86    &2.365E-10 &5.850E-12 &38&86 
&Sr-87    &1.172E-10 &4.447E-12 &38&87 
&Sr-88    &2.161E-09 &5.015E-11 &38&88 
&Y-89     &6.017E-10 &1.230E-11 &39&89 
&Zr-90    &4.159E-10 &1.536E-11 &40&90 
&Zr-91    &1.283E-10 &3.387E-12 &40&91 
&Zr-92    &2.645E-10 &5.231E-12 &40&92 
&Zr-94    &1.923E-10 &5.418E-12 &40&94 
&Zr-96    &1.719E-10 &8.911E-13 &40&96 
&Nb-93    &7.679E-11 &1.902E-12 &41&93 
&Mo-92    &1.293E-12 &1.013E-12 &42&92 
&Mo-94    &8.382E-13 &6.453E-13 &42&94 
&Mo-95    &3.355E-11 &1.123E-12 &42&95 
&Mo-96    &4.589E-11 &1.189E-12 &42&96 
&Mo-97    &1.821E-11 &6.881E-13 &42&97 
&Mo-98    &5.089E-11 &1.756E-12 &42&98 
&Mo-100   &6.090E-12 &7.152E-13 &42&100
&Ru-96    &3.733E-13 &2.928E-13 &44&96 
&Ru-98    &1.285E-13 &1.008E-13 &44&98 
&Ru-99    &7.479E-12 &6.952E-13 &44&99 
&Ru-100   &2.042E-11 &6.934E-13 &44&100
&Ru-101   &5.854E-12 &9.484E-13 &44&101
&Ru-102   &2.869E-11 &1.771E-12 &44&102
&Ru-104   &4.260E-12 &1.066E-12 &44&104
&Rh-103   &6.095E-12 &1.056E-12 &45&103
&Pd-102   &5.411E-14 &4.245E-14 &46&102
&Pd-104   &1.302E-11 &4.727E-13 &46&104
&Pd-105   &4.775E-12 &9.566E-13 &46&105
&Pd-106   &1.678E-11 &1.182E-12 &46&106
&Pd-108   &1.961E-11 &1.166E-12 &46&108
&Pd-110   &3.229E-12 &5.260E-13 &46&110
&Ag-107   &3.981E-12 &7.847E-13 &47&107
&Ag-109   &6.153E-12 &7.427E-13 &47&109
&Cd-106   &8.096E-14 &6.352E-14 &48&106
&Cd-108   &5.921E-14 &4.608E-14 &48&108
&Cd-110   &1.458E-11 &6.586E-13 &48&110
&Cd-111   &5.873E-12 &6.811E-13 &48&111
&Cd-112   &2.013E-11 &1.296E-12 &48&112
&Cd-113   &6.204E-12 &6.619E-13 &48&113
&Cd-114   &2.766E-11 &1.570E-12 &48&114
&Cd-116   &8.680E-12 &4.165E-13 &48&116
&In-113   &3.323E-14 &2.606E-14 &49&113
&In-115   &6.018E-12 &5.920E-13 &49&115
&Sn-112   &1.558E-13 &1.222E-13 &50&112
&Sn-114   &1.077E-13 &8.442E-14 &50&114
&Sn-115   &5.590E-14 &4.381E-14 &50&115
&Sn-116   &3.004E-11 &1.895E-12 &50&116
&Sn-117   &1.152E-11 &1.009E-12 &50&117
&Sn-118   &5.033E-11 &3.212E-12 &50&118
&Sn-119   &1.512E-11 &1.148E-12 &50&119
&Sn-120   &6.921E-11 &4.395E-12 &50&120
&Sn-122   &2.258E-11 &6.346E-13 &50&122
&Sn-124   &2.337E-12 &8.067E-13 &50&124
&Sb-121   &6.048E-12 &6.323E-13 &51&121
&Sb-123   &3.115E-12 &4.807E-13 &51&123
&Te-120   &2.077E-14 &1.630E-14 &52&120
&Te-122   &7.815E-12 &4.493E-13 &52&122
&Te-123   &2.619E-12 &1.580E-13 &52&123
&Te-124   &1.678E-11 &8.449E-13 &52&124
&Te-125   &6.726E-12 &1.262E-12 &52&125
&Te-126   &2.934E-11 &3.378E-12 &52&126
&Te-128   &1.189E-11 &5.738E-12 &52&128
&Te-130   &8.249E-12 &6.216E-12 &52&130
&I-127    &5.130E-12 &1.460E-12 &53&127
&Xe-124   &2.819E-14 &2.211E-14 &54&124
&Xe-126   &2.487E-14 &1.951E-14 &54&126
&Xe-128   &7.678E-12 &3.946E-13 &54&128
&Xe-129   &9.482E-12 &4.897E-12 &54&129
&Xe-130   &1.526E-11 &7.872E-13 &54&130
&Xe-131   &1.035E-11 &3.948E-12 &54&131
&Xe-132   &3.091E-11 &4.811E-12 &54&132
&Xe-134   &1.414E-11 &1.790E-12 &54&134
&Xe-136   &2.727E-12 &1.480E-12 &54&136
&Cs-133   &5.443E-12 &1.427E-12 &55&133
&Ba-130   &2.315E-14 &1.816E-14 &56&130
&Ba-132   &2.248E-14 &1.764E-14 &56&132
&Ba-134   &7.244E-12 &4.276E-13 &56&134
&Ba-135   &8.058E-12 &1.175E-12 &56&135
&Ba-136   &2.079E-11 &1.410E-12 &56&136
&Ba-137   &3.119E-11 &2.032E-12 &56&137
&Ba-138   &1.678E-10 &1.306E-11 &56&138
&La-138   &2.033E-15 &1.606E-15 &57&138
&La-139   &1.942E-11 &1.792E-12 &57&139
&Ce-136   &1.069E-14 &8.389E-15 &58&136
&Ce-138   &1.465E-14 &1.149E-14 &58&138
&Ce-140   &4.448E-11 &4.107E-12 &58&140
&Ce-142   &6.346E-12 &5.234E-13 &58&142
&Pr-141   &5.511E-12 &6.917E-13 &59&141
&Nd-142   &9.230E-12 &9.929E-13 &60&142
&Nd-143   &2.472E-12 &4.488E-13 &60&143
&Nd-144   &7.870E-12 &8.834E-13 &60&144
&Nd-145   &1.652E-12 &3.098E-13 &60&145
&Nd-146   &6.902E-12 &6.454E-13 &60&146
&Nd-148   &1.677E-12 &2.187E-13 &60&148
&Nd-150   &3.115E-13 &2.170E-13 &60&150
&Sm-144   &4.701E-14 &3.687E-14 &62&144
&Sm-147   &9.512E-13 &1.836E-13 &62&147
&Sm-148   &1.286E-12 &1.386E-13 &62&148
&Sm-149   &5.015E-13 &1.715E-13 &62&149
&Sm-150   &1.340E-12 &9.221E-14 &62&150
&Sm-152   &1.525E-12 &3.386E-13 &62&152
&Sm-154   &9.082E-13 &2.919E-13 &62&154
&Eu-151   &4.440E-13 &2.038E-13 &63&151
&Eu-153   &5.021E-13 &2.254E-13 &63&153
&Gd-152   &2.130E-14 &2.950E-15 &64&152
&Gd-154   &4.487E-13 &3.212E-14 &64&154
&Gd-155   &5.593E-13 &2.194E-13 &64&155
&Gd-156   &1.328E-12 &3.054E-13 &64&156
&Gd-157   &7.301E-13 &2.350E-13 &64&157
&Gd-158   &2.172E-12 &3.753E-13 &64&158
&Gd-160   &8.637E-13 &3.346E-13 &64&160
&Tb-159   &7.306E-13 &2.767E-13 &65&159
&Dy-156   &1.280E-15 &1.005E-15 &66&156
&Dy-158   &2.257E-15 &1.744E-15 &66&158
&Dy-160   &5.973E-13 &4.305E-14 &66&160
&Dy-161   &7.739E-13 &3.501E-13 &66&161
&Dy-162   &1.912E-12 &4.752E-13 &66&162
&Dy-163   &1.015E-12 &4.667E-13 &66&163
&Dy-164   &2.633E-12 &5.316E-13 &66&164
&Ho-165   &2.141E-12 &8.495E-13 &67&165
&Er-162   &2.053E-15 &1.610E-15 &68&162
&Er-164   &2.619E-13 &1.915E-14 &68&164
&Er-166   &1.328E-12 &4.048E-13 &68&166
&Er-167   &7.537E-13 &2.778E-13 &68&167
&Er-168   &2.046E-12 &3.266E-13 &68&168
&Er-170   &1.252E-12 &1.842E-13 &68&170
&Tm-169   &5.936E-13 &1.856E-13 &69&169
