H Table: (M=20.0,Z=0.0001)
#H Lifetime: 9.976E+06
#H Mfinal: 2.820E+00
 Isotopes  Yields    
 H-1       7.980E+00 
 H-2       7.146E-06 
 He-3      2.393E-04 
 He-4      6.510E+00 
 Li-7      9.700E-08 
 B-11      3.004E-07 
 C-12      1.796E-01 
 C-13      1.608E-02 
 N-14      2.017E-02 
 N-15      3.029E-03 
 O-16      2.043E+00 
 O-17      2.573E-05 
 O-18      3.146E-07 
 F-19      9.317E-08 
 Ne-20     1.605E-01 
 Ne-21     3.750E-05 
 Ne-22     1.601E-04 
 Na-23     6.145E-04 
 Mg-24     1.104E-01 
 Mg-25     3.567E-03 
 Mg-26     2.033E-03 
 Al-27     1.505E-03 
 Si-28     1.085E-01 
 Si-29     3.198E-03 
 Si-30     2.062E-03 
 P-31      8.482E-04 
 Pb-206    7.236E-11 
 Pb-207    5.037E-11 
 S-32      2.716E-02 
 S-33      3.780E-04 
 S-34      2.447E-03 
 S-36      3.520E-07 
 Cl-35     1.123E-04 
 Cl-37     2.094E-05 
 Ar-36     2.660E-03 
 Ar-38     8.350E-04 
 Ar-40     1.073E-08 
 K-39      6.831E-05 
 K-40      6.267E-08 
 K-41      2.514E-06 
 Ca-40     1.342E-03 
 Ca-42     2.022E-05 
 Ca-43     3.729E-08 
 Ca-44     5.694E-07 
 Ca-46     1.247E-09 
 Ca-48     2.618E-09 
 Sc-45     6.829E-08 
 Ti-46     4.562E-06 
 Ti-47     6.168E-08 
 Ti-48     1.518E-07 
 Ti-49     7.279E-08 
 Ti-50     1.106E-08 
 V-50      7.379E-10 
 V-51      2.255E-07 
 Cr-50     5.475E-06 
 Cr-52     7.435E-07 
 Cr-53     3.268E-07 
 Cr-54     2.394E-08 
 Mn-55     2.297E-06 
 Fe-54     4.864E-05 
 Fe-56     2.567E-05 
 Fe-57     1.186E-06 
 Fe-58     9.931E-07 
 Co-59     6.278E-07 
 Ni-58     5.611E-06 
 Ni-60     1.334E-06 
 Ni-61     1.678E-07 
 Ni-62     4.617E-07 
 Ni-64     9.839E-08 
 Cu-63     8.522E-08 
 Cu-65     7.397E-08 
 Zn-64     4.006E-08 
 Zn-66     9.010E-08 
 Zn-67     2.153E-08 
 Zn-68     6.179E-08 
 Zn-70     2.074E-09 
 Ga-69     8.615E-09 
 Ga-71     5.699E-09 
 Ge-70     8.230E-09 
 Ge-72     1.164E-08 
 Ge-73     2.005E-09 
 Ge-74     9.587E-09 
 Ge-76     9.513E-10 
 As-75     2.289E-09 
 Se-74     7.405E-10 
 Se-76     1.505E-09 
 Se-77     6.997E-10 
 Se-78     2.092E-09 
 Se-80     2.573E-09 
 Se-82     4.416E-10 
 Br-79     5.662E-10 
 Br-81     5.453E-10 
 Kr-78     8.405E-11 
 Kr-80     2.916E-10 
 Kr-82     6.183E-10 
 Kr-83     5.423E-10 
 Kr-84     2.528E-09 
 Kr-86     1.221E-09 
 Rb-85     7.876E-10 
 Rb-87     3.690E-10 
 Sr-84     6.518E-11 
 Sr-86     3.909E-10 
 Sr-87     2.414E-10 
 Sr-88     2.719E-09 
 Y-89      4.986E-10 
 Zr-90     4.746E-10 
 Zr-91     1.086E-10 
 Zr-92     1.434E-10 
 Zr-94     1.143E-10 
 Zr-96     2.043E-11 
 Nb-93     4.656E-11 
 Mo-92     1.737E-11 
 Mo-94     1.150E-11 
 Mo-95     2.477E-11 
 Mo-96     2.182E-11 
 Mo-97     1.372E-11 
 Mo-98     3.921E-11 
 Mo-100    1.245E-11 
 Ru-96     4.825E-12 
 Ru-98     2.318E-12 
 Ru-99     1.115E-11 
 Ru-100    1.247E-11 
 Ru-101    1.384E-11 
 Ru-102    3.211E-11 
 Ru-104    1.748E-11 
 Rh-103    1.605E-11 
 Pd-102    2.643E-12 
 Pd-104    8.450E-12 
 Pd-105    1.348E-11 
 Pd-106    2.007E-11 
 Pd-108    2.260E-11 
 Pd-110    9.030E-12 
 Ag-107    1.145E-11 
 Ag-109    1.093E-11 
 Cd-106    3.026E-12 
 Cd-108    1.970E-12 
