H Table: (M=1.0,Z=0.0001)
H Lifetime: 5.726E+09
H Mfinal: 5.296E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &3.289E-01 &7.514E-01 &1 &1  
&H-2      &2.466E-06 &1.458E-05 &1 &2  
&He-3     &1.120E-04 &4.125E-05 &2 &3  
&He-4     &1.307E-01 &2.485E-01 &2 &4  
&Li-7     &1.434E-08 &7.612E-14 &3 &7  
&B-11     &1.345E-12 &2.858E-12 &5 &11 
&C-12     &8.253E-03 &1.250E-05 &6 &12 
&C-13     &4.549E-04 &4.160E-08 &6 &13 
&N-14     &7.763E-05 &1.060E-06 &7 &14 
&N-15     &5.817E-09 &4.174E-09 &7 &15 
&O-16     &1.828E-03 &7.409E-05 &8 &16 
&O-17     &7.173E-06 &3.816E-09 &8 &17 
&O-18     &2.767E-08 &2.173E-08 &8 &18 
&F-19     &3.522E-08 &5.616E-10 &9 &19 
&Ne-20    &7.188E-06 &5.753E-06 &10&20 
&Ne-21    &9.034E-08 &4.579E-09 &10&21 
&Ne-22    &7.589E-06 &1.472E-07 &10&22 
&Na-23    &1.903E-07 &4.003E-08 &11&23 
&Mg-24    &8.040E-07 &1.512E-06 &12&24 
&Mg-25    &6.873E-08 &7.740E-08 &12&25 
&Mg-26    &1.321E-07 &8.856E-08 &12&26 
&Al-27    &3.506E-08 &6.487E-08 &13&27 
&Si-28    &7.133E-07 &1.513E-06 &14&28 
&Si-29    &2.109E-08 &3.923E-08 &14&29 
&Si-30    &3.009E-08 &2.675E-08 &14&30 
&P-31     &2.192E-08 &7.113E-09 &15&31 
&Pb-206   &1.069E-10 &2.800E-12 &82&206
&Pb-207   &8.527E-11 &3.092E-12 &82&207
&S-32     &4.967E-07 &1.093E-06 &16&32 
&S-33     &1.955E-09 &3.268E-09 &16&33 
&S-34     &1.255E-08 &1.892E-08 &16&34 
&S-36     &9.011E-10 &8.080E-11 &16&36 
&Cl-35    &3.129E-09 &6.827E-09 &17&35 
&Cl-37    &1.592E-09 &2.308E-09 &17&37 
&Ar-36    &7.335E-08 &1.638E-07 &18&36 
&Ar-38    &7.857E-09 &1.576E-08 &18&38 
&Ar-40    &1.071E-09 &2.653E-11 &18&40 
&K-39     &2.008E-09 &3.903E-09 &19&39 
&K-40     &6.987E-13 &5.010E-13 &19&40 
&K-41     &2.239E-10 &2.961E-10 &19&41 
&Ca-40    &5.402E-08 &1.206E-07 &20&40 
&Ca-42    &3.615E-10 &5.068E-10 &20&42 
&Ca-43    &8.509E-11 &1.083E-10 &20&43 
&Ca-44    &1.033E-09 &1.712E-09 &20&44 
&Ca-46    &2.938E-10 &3.432E-12 &20&46 
&Ca-48    &1.076E-10 &1.674E-10 &20&48 
&Sc-45    &1.170E-10 &5.419E-11 &21&45 
&Ti-46    &1.603E-10 &3.235E-10 &22&46 
&Ti-47    &1.889E-10 &2.980E-10 &22&47 
&Ti-48    &2.483E-09 &5.377E-09 &22&48 
&Ti-49    &2.077E-10 &2.259E-10 &22&49 
&Ti-50    &7.981E-10 &2.210E-10 &22&50 
&V-50     &4.550E-13 &1.016E-12 &23&50 
&V-51     &2.140E-10 &4.141E-10 &23&51 
&Cr-50    &3.704E-10 &8.273E-10 &24&50 
&Cr-52    &7.629E-09 &1.659E-08 &24&52 
&Cr-53    &8.753E-10 &1.917E-09 &24&53 
&Cr-54    &3.956E-10 &4.862E-10 &24&54 
&Mn-55    &4.946E-09 &1.099E-08 &25&55 
&Fe-54    &3.638E-08 &8.126E-08 &26&54 
&Fe-56    &5.926E-07 &1.323E-06 &26&56 
&Fe-57    &1.399E-08 &3.109E-08 &26&57 
&Fe-58    &2.342E-09 &4.211E-09 &26&58 
&Co-59    &2.015E-09 &3.995E-09 &27&59 
&Ni-58    &2.559E-08 &5.716E-08 &28&58 
&Ni-60    &1.208E-08 &2.278E-08 &28&60 
&Ni-61    &5.922E-10 &1.007E-09 &28&61 
&Ni-62    &1.835E-09 &3.262E-09 &28&62 
&Ni-64    &3.006E-09 &8.576E-10 &28&64 
&Cu-63    &7.520E-10 &6.606E-10 &29&63 
&Cu-65    &9.579E-10 &3.037E-10 &29&65 
&Zn-64    &5.071E-10 &1.132E-09 &30&64 
