H Table: (M=12.0,Z=0.0001)
#H Lifetime: 1.924E+07
#H Mfinal: 1.620E+00
 Isotopes  Yields    
 H-1       5.489E+00 
 H-2       6.408E-06 
 He-3      2.037E-04 
 He-4      4.011E+00 
 Li-7      8.012E-14 
 B-11      2.434E-11 
 C-12      1.226E-01 
 C-13      2.412E-06 
 N-14      2.164E-04 
 N-15      9.342E-08 
 O-16      2.828E-01 
 O-17      3.906E-06 
 O-18      4.495E-06 
 F-19      2.752E-08 
 Ne-20     6.568E-03 
 Ne-21     4.981E-06 
 Ne-22     9.554E-05 
 Na-23     1.812E-05 
 Mg-24     1.633E-02 
 Mg-25     3.117E-05 
 Mg-26     1.867E-05 
 Al-27     6.219E-05 
 Si-28     9.255E-02 
 Si-29     1.413E-04 
 Si-30     2.022E-04 
 P-31      1.143E-04 
 Pb-206    2.715E-11 
 Pb-207    2.924E-11 
 S-32      5.327E-02 
 S-33      1.399E-04 
 S-34      1.049E-03 
 S-36      6.452E-09 
 Cl-35     5.858E-05 
 Cl-37     1.747E-05 
 Ar-36     1.037E-02 
 Ar-38     4.634E-04 
 Ar-40     1.423E-09 
 K-39      6.803E-05 
 K-40      9.093E-09 
 K-41      2.438E-06 
 Ca-40     8.543E-03 
 Ca-42     1.411E-05 
 Ca-43     3.295E-06 
 Ca-44     1.252E-04 
 Ca-46     3.037E-10 
 Ca-48     1.568E-09 
 Sc-45     1.693E-07 
 Ti-46     3.396E-06 
 Ti-47     8.399E-07 
 Ti-48     6.687E-04 
 Ti-49     1.532E-05 
 Ti-50     2.961E-09 
 V-50      1.862E-10 
 V-51      1.491E-05 
 Cr-50     2.050E-05 
 Cr-52     3.191E-03 
 Cr-53     1.557E-04 
 Cr-54     8.388E-09 
 Mn-55     3.995E-04 
 Fe-54     1.168E-03 
 Fe-56     2.370E-01 
 Fe-57     6.201E-03 
 Fe-58     1.384E-07 
 Co-59     2.734E-03 
 Ni-58     1.452E-02 
 Ni-60     1.431E-02 
 Ni-61     1.719E-04 
 Ni-62     3.323E-03 
 Ni-64     1.454E-08 
 Cu-63     1.115E-04 
 Cu-65     8.441E-06 
 Zn-64     4.102E-05 
 Zn-66     6.042E-05 
 Zn-67     8.781E-08 
 Zn-68     2.692E-07 
 Zn-70     3.024E-10 
 Ga-69     2.809E-07 
 Ga-71     1.619E-08 
 Ge-70     4.192E-07 
 Ge-72     9.607E-09 
 Ge-73     5.267E-09 
 Ge-74     9.662E-10 
 Ge-76     2.081E-10 
 As-75     5.727E-10 
 Se-74     9.483E-09 
 Se-76     9.934E-10 
 Se-77     1.853E-10 
 Se-78     4.188E-10 
 Se-80     6.707E-10 
 Se-82     1.477E-10 
 Br-79     1.649E-10 
 Br-81     1.543E-10 
 Kr-78     1.555E-10 
 Kr-80     1.891E-10 
 Kr-82     1.592E-10 
 Kr-83     1.398E-10 
 Kr-84     6.347E-10 
 Kr-86     2.225E-10 
 Rb-85     1.417E-10 
 Rb-87     6.388E-11 
 Sr-84     3.505E-11 
 Sr-86     1.024E-10 
 Sr-87     4.780E-11 
 Sr-88     5.366E-10 
 Y-89      1.478E-10 
 Zr-90     1.933E-10 
 Zr-91     3.599E-11 
 Zr-92     5.241E-11 
 Zr-94     5.250E-11 
 Zr-96     1.143E-11 
 Nb-93     2.156E-11 
 Mo-92     1.070E-11 
 Mo-94     6.691E-12 
 Mo-95     1.278E-11 
 Mo-96     1.131E-11 
 Mo-97     8.554E-12 
 Mo-98     1.787E-11 
 Mo-100    7.080E-12 
 Ru-96     3.106E-12 
 Ru-98     1.143E-12 
 Ru-99     7.048E-12 
 Ru-100    7.169E-12 
 Ru-101    8.824E-12 
 Ru-102    1.713E-11 
 Ru-104    1.003E-11 
 Rh-103    9.621E-12 
 Pd-102    1.273E-12 
 Pd-104    5.085E-12 
 Pd-105    8.761E-12 
 Pd-106    1.220E-11 
 Pd-108    1.134E-11 
 Pd-110    5.122E-12 
 Ag-107    7.379E-12 
 Ag-109    6.747E-12 
 Cd-106    1.546E-12 
 Cd-108    8.653E-13 
 Cd-110    7.782E-12 
 Cd-111    6.217E-12 
 Cd-112    1.277E-11 
 Cd-113    6.101E-12 
 Cd-114    1.518E-11 
 Cd-116    4.427E-12 
 In-113    2.627E-13 
 In-115    5.428E-12 
 Sn-112    3.414E-12 
 Sn-114    2.123E-12 
 Sn-115    4.014E-13 
 Sn-116    1.757E-11 
 Sn-117    9.365E-12 
 Sn-118    3.021E-11 
 Sn-119    1.070E-11 
 Sn-120    4.196E-11 
 Sn-122    7.423E-12 
 Sn-124    9.741E-12 
 Sb-121    6.004E-12 
 Sb-123    4.623E-12 
 Te-120    1.956E-13 
 Te-122    4.786E-12 
 Te-123    1.520E-12 
 Te-124    7.930E-12 
 Te-125    1.149E-11 
 Te-126    3.206E-11 
 Te-128    5.266E-11 
 Te-130    5.776E-11 
 I-127     1.324E-11 
 Xe-124    3.677E-13 
 Xe-126    4.283E-13 
 Xe-128    4.638E-12 
 Xe-129    4.243E-11 
 Xe-130    9.778E-12 
 Xe-131    3.527E-11 
 Xe-132    4.774E-11 
 Xe-134    1.871E-11 
 Xe-136    1.833E-11 
 Cs-133    1.416E-11 
 Ba-130    1.262E-12 
 Ba-132    2.358E-13 
 Ba-134    4.765E-12 
 Ba-135    1.116E-11 
 Ba-136    1.409E-11 
 Ba-137    1.893E-11 
 Ba-138    1.266E-10 
 La-138    1.275E-14 
 La-139    1.725E-11 
 Ce-136    5.645E-13 
 Ce-138    1.948E-13 
 Ce-140    3.969E-11 
 Ce-142    5.474E-12 
 Pr-141    6.731E-12 
 Nd-142    9.415E-12 
 Nd-143    4.175E-12 
 Nd-144    8.432E-12 
 Nd-145    2.821E-12 
 Nd-146    6.254E-12 
 Nd-148    2.202E-12 
 Nd-150    2.224E-12 
 Sm-144    1.597E-12 
 Sm-147    1.721E-12 
 Sm-148    1.347E-12 
 Sm-149    1.603E-12 
 Sm-150    9.220E-13 
 Sm-152    3.178E-12 
 Sm-154    2.812E-12 
 Eu-151    1.899E-12 
 Eu-153    1.975E-12 
 Gd-152    8.773E-14 
 Gd-154    4.014E-13 
 Gd-155    1.963E-12 
 Gd-156    3.239E-12 
 Gd-157    2.134E-12 
 Gd-158    3.720E-12 
 Gd-160    3.045E-12 
 Tb-159    2.505E-12 
 Dy-156    1.432E-14 
 Dy-158    2.550E-14 
 Dy-160    5.667E-13 
 Dy-161    3.060E-12 
 Dy-162    4.494E-12 
 Dy-163    4.048E-12 
 Dy-164    5.115E-12 
 Ho-165    7.479E-12 
 Er-162    2.229E-14 
 Er-164    3.404E-13 
 Er-166    3.969E-12 
 Er-167    2.528E-12 
 Er-168    3.492E-12 
 Er-170    1.846E-12 
 Tm-169    1.740E-12 
 Yb-168    5.004E-14 
 Yb-170    6.069E-13 
 Yb-171    1.677E-12 
 Yb-172    2.802E-12 
 Yb-173    1.901E-12 
 Yb-174    4.083E-12 
 Yb-176    1.760E-12 
 Lu-175    1.671E-12 
 Lu-176    5.291E-13 
 Hf-174    5.742E-14 
 Hf-176    4.728E-13 
 Hf-177    1.356E-12 
 Hf-178    2.327E-12 
 Hf-179    1.044E-12 
 Hf-180    3.030E-12 
 Ta-180    3.575E-16 
 Ta-181    1.838E-12 
 W-180     1.151E-13 
 W-182     2.130E-12 
 W-183     1.031E-12 
 W-184     2.372E-12 
 W-186     2.159E-12 
 Re-185    1.019E-12 
 Re-187    1.639E-12 
 Os-184    7.265E-14 
 Os-186    6.034E-13 
 Os-187    4.741E-13 
 Os-188    4.534E-12 
 Os-189    5.100E-12 
 Os-190    8.989E-12 
 Os-192    1.366E-11 
 Ir-191    1.152E-11 
 Ir-193    1.982E-11 
 Pt-190    3.711E-14 
 Pt-192    1.042E-12 
 Pt-194    2.297E-11 
 Pt-195    2.252E-11 
 Pt-196    1.934E-11 
 Pt-198    5.411E-12 
 Au-197    1.009E-11 
 Hg-196    2.606E-13 
 Hg-198    2.845E-12 
 Hg-199    3.670E-12 
 Hg-200    5.576E-12 
 Hg-201    2.982E-12 
 Hg-202    6.890E-12 
 Hg-204    2.391E-12 
 Tl-203    4.110E-12 
 Tl-205    7.777E-12 
 Pb-204    2.936E-12 
 Pb-208    8.564E-11 
 Bi-209    8.313E-12 
