H Table: (M=5.0,Z=0.001)
#H Lifetime: 9.316E+07
#H Mfinal: 9.855E-01
 Isotopes  Yields   
 Yb-171    9.207E-12
 Yb-172    1.491E-11
 Yb-173    1.013E-11
 Yb-174    2.553E-11
 Yb-176    1.072E-11
 Lu-175    8.524E-12
 Lu-176    2.790E-12
 Hf-174    4.742E-14
 Hf-176    1.960E-12
 Hf-177    6.902E-12
 Hf-178    1.377E-11
 Hf-179    6.059E-12
 Hf-180    2.085E-11
 Ta-180    9.498E-16
 Ta-181    9.962E-12
 W-180     3.370E-14
 W-182     1.190E-11
 W-183     6.781E-12
 W-184     1.509E-11
 W-186     1.227E-11
 Re-185    5.905E-12
 Re-187    8.015E-12
 Os-184    2.761E-14
 Os-186    3.959E-12
 Os-187    2.728E-12
 Os-188    2.530E-11
 Os-189    2.426E-11
 Os-190    4.568E-11
 Os-192    6.573E-11
 Ir-191    5.325E-11
 Ir-193    9.136E-11
 Pt-190    3.930E-14
 Pt-192    5.228E-12
 Pt-194    1.085E-10
 Pt-195    1.034E-10
 Pt-196    9.092E-11
 Pt-198    2.428E-11
 Au-197    4.621E-11
 Hg-196    1.188E-13
 Hg-198    1.735E-11
 Hg-199    1.790E-11
 Hg-200    3.175E-11
 Hg-201    1.625E-11
 Hg-202    4.391E-11
 Hg-204    7.906E-12
 Tl-203    2.208E-11
 Tl-205    4.443E-11
 Pb-204    2.128E-11
 Pb-208    1.593E-09
 Bi-209    1.160E-10
