H Table: (M=15.0,Z=0.001)
#H Lifetime: 1.432E+07
#H Mfinal: 1.620E+00
 Isotopes  Yields     
 H-1       6.549E+00  
 H-2       8.710E-06  
 He-3      2.714E-04  
 He-4      4.873E+00  
 Li-7      5.758E-13  
 B-11      3.060E-10  
 C-12      1.537E-01  
 C-13      3.379E-05  
 N-14      2.675E-03  
 N-15      9.472E-07  
 O-16      1.148E+00  
 O-17      9.748E-06  
 O-18      3.680E-05  
 F-19      4.026E-07  
 Ne-20     2.079E-01  
 Ne-21     7.019E-05  
 Ne-22     1.264E-03  
 Na-23     6.705E-04  
 Mg-24     8.508E-02  
 Mg-25     1.481E-03  
 Mg-26     1.669E-03  
 Al-27     9.428E-04  
 Si-28     9.166E-02  
 Si-29     1.089E-03  
 Si-30     7.039E-04  
 P-31      2.448E-04  
 Pb-206    5.358E-10  
 Pb-207    4.635E-10  
 S-32      3.976E-02  
 S-33      1.239E-04  
 S-34      6.106E-04  
 S-36      2.259E-07  
 Cl-35     3.576E-05  
 Cl-37     9.370E-06  
 Ar-36     7.013E-03  
 Ar-38     1.691E-04  
 Ar-40     1.355E-07  
 K-39      2.625E-05  
 K-40      5.066E-08  
 K-41      1.330E-06  
 Ca-40     5.097E-03  
 Ca-42     1.536E-05  
 Ca-43     1.383E-06  
 Ca-44     4.508E-06  
 Ca-46     2.448E-08  
 Ca-48     2.461E-08  
 Sc-45     1.303E-06  
 Ti-46     1.476E-05  
 Ti-47     6.894E-06  
 Ti-48     2.709E-04  
 Ti-49     1.676E-05  
 Ti-50     1.296E-07  
 V-50      3.223E-09  
 V-51      1.966E-05  
 Cr-50     3.229E-05  
 Cr-52     2.815E-03  
 Cr-53     1.167E-04  
 Cr-54     1.757E-07  
 Mn-55     2.520E-04  
 Fe-54     6.958E-04  
 Fe-56     5.280E-02  
 Fe-57     5.653E-04  
 Fe-58     5.033E-06  
 Co-59     3.237E-03  
 Ni-58     8.744E-02  
 Ni-60     3.278E-02  
 Ni-61     1.462E-03  
 Ni-62     7.536E-03  
 Ni-64     1.869E-06  
 Cu-63     6.684E-04  
 Cu-65     3.844E-05  
 Zn-64     1.497E-02  
 Zn-66     5.170E-05  
 Zn-67     1.219E-05  
