H Table: (M=6.0,Z=0.001)
#H Lifetime: 6.388E+07
#H Mfinal: 1.122E+00
 Isotopes  Yields    
 H-1       3.066E+00 
 H-2       8.129E-09 
 He-3      9.510E-06 
 He-4      1.804E+00 
 Li-7      8.573E-09 
 B-11      1.394E-10 
 C-12      3.453E-04 
 C-13      7.854E-05 
 N-14      5.149E-03 
 N-15      6.122E-07 
 O-16      1.239E-03 
 O-17      1.286E-05 
 O-18      1.940E-07 
 F-19      3.525E-09 
 Ne-20     3.065E-04 
 Ne-21     2.781E-08 
 Ne-22     9.322E-06 
 Na-23     1.276E-06 
 Mg-24     7.187E-06 
 Mg-25     8.407E-05 
 Mg-26     1.704E-05 
 Al-27     7.882E-06 
 Si-28     7.672E-05 
 Si-29     1.966E-06 
 Si-30     1.379E-06 
 P-31      3.696E-07 
 Pb-206    1.395E-10 
 Pb-207    1.538E-10 
 S-32      5.329E-05 
 S-33      1.644E-07 
 S-34      9.249E-07 
 S-36      4.665E-09 
 Cl-35     3.343E-07 
 Cl-37     1.244E-07 
 Ar-36     7.976E-06 
 Ar-38     7.706E-07 
 Ar-40     1.753E-09 
 K-39      1.910E-07 
 K-40      2.766E-10 
 K-41      1.791E-08 
 Ca-40     5.874E-06 
 Ca-42     2.508E-08 
 Ca-43     5.336E-09 
 Ca-44     8.369E-08 
 Ca-46     2.913E-10 
 Ca-48     8.166E-09 
 Sc-45     2.758E-09 
 Ti-46     1.579E-08 
 Ti-47     1.444E-08 
 Ti-48     2.614E-07 
 Ti-49     1.185E-08 
 Ti-50     1.108E-08 
 V-50      4.908E-11 
 V-51      2.038E-08 
 Cr-50     3.994E-08 
 Cr-52     8.086E-07 
 Cr-53     9.263E-08 
 Cr-54     2.534E-08 
 Mn-55     5.515E-07 
 Fe-54     3.938E-06 
 Fe-56     6.444E-05 
 Fe-57     1.550E-06 
 Fe-58     2.297E-07 
 Co-59     2.058E-07 
 Ni-58     2.779E-06 
 Ni-60     1.117E-06 
 Ni-61     5.387E-08 
 Ni-62     1.625E-07 
 Ni-64     4.761E-08 
 Cu-63     3.588E-08 
 Cu-65     1.657E-08 
 Zn-64     5.508E-08 
 Zn-66     3.372E-08 
 Zn-67     5.154E-09 
 Zn-68     2.437E-08 
 Zn-70     7.837E-10 
 Ga-69     2.510E-09 
 Ga-71     1.649E-09 
 Ge-70     2.894E-09 
 Ge-72     3.772E-09 
 Ge-73     1.074E-09 
 Ge-74     5.227E-09 
 Ge-76     9.806E-10 
 As-75     7.639E-10 
 Se-74     5.693E-11 
 Se-76     8.124E-10 
 Se-77     5.818E-10 
 Se-78     2.077E-09 
 Se-80     4.032E-09 
 Se-82     6.469E-10 
 Br-79     7.462E-10 
 Br-81     7.796E-10 
 Kr-78     1.870E-11 
 Kr-80     1.523E-10 
 Kr-82     8.836E-10 
 Kr-83     7.198E-10 
 Kr-84     3.792E-09 
 Kr-86     2.052E-09 
 Rb-85     8.445E-10 
 Rb-87     7.647E-10 
 Sr-84     1.525E-11 
 Sr-86     3.762E-10 
 Sr-87     2.502E-10 
 Sr-88     3.425E-09 
 Y-89      8.593E-10 
 Zr-90     9.161E-10 
 Zr-91     2.186E-10 
 Zr-92     3.618E-10 
 Zr-94     3.437E-10 
 Zr-96     2.036E-10 
 Nb-93     1.237E-10 
 Mo-92     4.883E-11 
 Mo-94     3.377E-11 
 Mo-95     7.485E-11 
 Mo-96     7.302E-11 
 Mo-97     4.179E-11 
 Mo-98     1.078E-10 
 Mo-100    3.781E-11 
