H Table: (M=12.0,Z=0.001)
#H Lifetime: 1.964E+07
#H Mfinal: 1.620E+00
 Isotopes  Yields     
 Dy-158    3.817E-13  
 Dy-160    7.305E-12  
 Dy-161    3.218E-11  
 Dy-162    4.669E-11  
 Dy-163    4.132E-11  
 Dy-164    5.150E-11  
 Ho-165    7.567E-11  
 Er-162    5.435E-13  
 Er-164    6.914E-12  
 Er-166    4.098E-11  
 Er-167    2.554E-11  
 Er-168    3.348E-11  
 Er-170    1.914E-11  
 Tm-169    1.751E-11  
 Yb-168    1.926E-12  
 Yb-170    8.291E-12  
 Yb-171    1.724E-11  
 Yb-172    2.970E-11  
 Yb-173    1.921E-11  
 Yb-174    3.994E-11  
 Yb-176    1.812E-11  
 Lu-175    1.687E-11  
 Lu-176    6.206E-12  
 Hf-174    1.187E-12  
 Hf-176    5.645E-12  
 Hf-177    1.399E-11  
 Hf-178    2.409E-11  
 Hf-179    1.054E-11  
 Hf-180    3.093E-11  
 Ta-180    3.264E-15  
 Ta-181    1.856E-11  
 W-180     2.411E-12  
 W-182     2.257E-11  
 W-183     1.107E-11  
 W-184     2.461E-11  
 W-186     2.114E-11  
 Re-185    1.017E-11  
 Re-187    1.697E-11  
 Os-184    5.517E-13  
 Os-186    5.874E-12  
 Os-187    4.746E-12  
 Os-188    4.740E-11  
 Os-189    5.209E-11  
 Os-190    9.052E-11  
 Os-192    1.378E-10  
 Ir-191    1.170E-10  
 Ir-193    2.011E-10  
 Pt-190    2.342E-13  
 Pt-192    9.158E-12  
 Pt-194    2.300E-10  
 Pt-195    2.275E-10  
 Pt-196    1.918E-10  
 Pt-198    5.462E-11  
 Au-197    1.019E-10  
 Hg-196    1.612E-11  
 Hg-198    2.765E-11  
 Hg-199    3.709E-11  
 Hg-200    5.536E-11  
 Hg-201    2.976E-11  
 Hg-202    7.466E-11  
 Hg-204    3.306E-11  
 Tl-203    3.953E-11  
 Tl-205    7.769E-11  
 Pb-204    3.142E-11  
 Pb-208    8.871E-10  
 Bi-209    8.570E-11  
