H Table: (M=7.0,Z=0.001)
#H Lifetime: 4.710E+07
#H Mfinal: 1.259E+00
 Isotopes  Yields   
 Yb-171    1.013E-11
 Yb-172    1.636E-11
 Yb-173    1.151E-11
 Yb-174    2.422E-11
 Yb-176    9.909E-12
 Lu-175    1.005E-11
 Lu-176    2.829E-12
 Hf-174    6.591E-14
 Hf-176    2.494E-12
 Hf-177    7.932E-12
 Hf-178    1.291E-11
 Hf-179    6.163E-12
 Hf-180    1.683E-11
 Ta-180    1.291E-15
 Ta-181    1.092E-11
 W-180     4.598E-14
 W-182     1.145E-11
 W-183     6.045E-12
 W-184     1.300E-11
 W-186     1.179E-11
 Re-185    5.880E-12
 Re-187    9.540E-12
 Os-184    3.856E-14
 Os-186    3.710E-12
 Os-187    3.398E-12
 Os-188    2.857E-11
 Os-189    3.208E-11
 Os-190    5.736E-11
 Os-192    8.672E-11
 Ir-191    7.257E-11
 Ir-193    1.252E-10
 Pt-190    5.503E-14
 Pt-192    7.639E-12
 Pt-194    1.470E-10
 Pt-195    1.428E-10
 Pt-196    1.204E-10
 Pt-198    3.140E-11
 Au-197    6.142E-11
 Hg-196    1.680E-13
 Hg-198    1.644E-11
 Hg-199    1.990E-11
 Hg-200    2.819E-11
 Hg-201    1.545E-11
 Hg-202    3.607E-11
 Hg-204    8.154E-12
 Tl-203    1.892E-11
 Tl-205    4.534E-11
 Pb-204    1.748E-11
 Pb-208    5.205E-10
 Bi-209    5.082E-11
