H Table: (M=7.0,Z=0.01)
#H Lifetime: 5.094E+07
#H Mfinal: 1.114E+00
 Isotopes  Yields     X0         Z  A  
 H-1       3.613E+00  7.290E-01  1  1  
 H-2       1.979E-08  1.414E-05  1  2  
 He-3      1.140E-05  4.331E-05  2  3  
 He-4      2.201E+00  2.609E-01  2  4  
 Li-7      4.320E-08  7.774E-10  3  7  
 B-11      8.405E-09  1.428E-09  5  11 
 C-12      1.715E-03  1.712E-03  6  12 
 C-13      4.390E-04  2.078E-05  6  13 
 N-14      3.151E-02  5.294E-04  7  14 
 N-15      4.596E-06  2.085E-06  7  15 
 O-16      1.817E-02  4.812E-03  8  16 
 O-17      1.762E-04  1.907E-06  8  17 
 O-18      2.138E-06  1.086E-05  8  18 
 F-19      8.982E-08  2.805E-07  9  19 
 Ne-20     6.292E-03  9.089E-04  10 20 
 Ne-21     7.338E-07  2.288E-06  10 21 
 Ne-22     3.833E-04  7.351E-05  10 22 
 Na-23     4.612E-05  2.000E-05  11 23 
 Mg-24     7.237E-04  2.931E-04  12 24 
 Mg-25     2.265E-03  3.867E-05  12 25 
 Mg-26     4.770E-04  4.424E-05  12 26 
 Al-27     2.175E-04  3.241E-05  13 27 
 Si-28     2.223E-03  3.726E-04  14 28 
 Si-29     1.167E-04  1.960E-05  14 29 
 Si-30     8.068E-05  1.336E-05  14 30 
 P-31      2.135E-05  3.553E-06  15 31 
 Pb-206    8.331E-09  1.399E-09  82 206
 Pb-207    9.210E-09  1.545E-09  82 207
 S-32      1.179E-03  2.005E-04  16 32 
 S-33      9.656E-06  1.632E-06  16 33 
 S-34      5.581E-05  9.452E-06  16 34 
 S-36      2.854E-07  4.036E-08  16 36 
 Cl-35     2.005E-05  3.411E-06  17 35 
 Cl-37     7.209E-06  1.153E-06  17 37 
 Ar-36     2.408E-04  4.101E-05  18 36 
 Ar-38     4.650E-05  7.871E-06  18 38 
 Ar-40     1.124E-07  1.325E-08  18 40 
 K-39      1.152E-05  1.950E-06  19 39 
 K-40      1.622E-08  2.503E-10  19 40 
 K-41      9.711E-07  1.479E-07  19 41 
 Ca-40     2.122E-04  3.613E-05  20 40 
 Ca-42     1.515E-06  2.532E-07  20 42 
 Ca-43     3.245E-07  5.408E-08  20 43 
 Ca-44     5.049E-06  8.551E-07  20 44 
 Ca-46     1.649E-08  1.714E-09  20 46 
 Ca-48     4.921E-07  8.362E-08  20 48 
 Sc-45     1.687E-07  2.707E-08  21 45 
 Ti-46     9.518E-07  1.616E-07  22 46 
 Ti-47     8.721E-07  1.488E-07  22 47 
 Ti-48     8.840E-06  1.507E-06  22 48 
 Ti-49     6.902E-07  1.129E-07  22 49 
 Ti-50     6.746E-07  1.104E-07  22 50 
 V-50      2.962E-09  5.077E-10  23 50 
 V-51      1.224E-06  2.069E-07  23 51 
 Cr-50     2.411E-06  4.133E-07  24 50 
 Cr-52     4.870E-05  8.288E-06  24 52 
 Cr-53     5.597E-06  9.578E-07  24 53 
 Cr-54     1.533E-06  2.429E-07  24 54 
 Mn-55     3.294E-05  5.491E-06  25 55 
 Fe-54     2.374E-04  4.059E-05  26 54 
 Fe-56     3.881E-03  6.608E-04  26 56 
 Fe-57     9.350E-05  1.553E-05  26 57 
 Fe-58     1.519E-05  2.103E-06  26 58 
 Co-59     1.285E-05  1.996E-06  27 59 
 Ni-58     1.674E-04  2.855E-05  28 58 
 Ni-60     6.781E-05  1.138E-05  28 60 
 Ni-61     3.359E-06  5.029E-07  28 61 
 Ni-62     1.031E-05  1.630E-06  28 62 
 Ni-64     3.438E-06  4.284E-07  28 64 
 Cu-63     2.460E-06  3.300E-07  29 63 
 Cu-65     1.199E-06  1.517E-07  29 65 
 Zn-64     3.357E-06  5.654E-07  30 64 
 Zn-66     2.228E-06  3.345E-07  30 66 
 Zn-67     3.552E-07  4.990E-08  30 67 
 Zn-68     1.689E-06  2.316E-07  30 68 
 Zn-70     4.988E-08  7.884E-09  30 70 
 Ga-69     1.785E-07  2.275E-08  31 69 
 Ga-71     1.130E-07  1.554E-08  31 71 
 Ge-70     2.112E-07  2.579E-08  32 70 
 Ge-72     2.629E-07  3.455E-08  32 72 
 Ge-73     7.560E-08  9.773E-09  32 73 
 Ge-74     3.587E-07  4.614E-08  32 74 
 Ge-76     6.082E-08  9.815E-09  32 76 
 As-75     5.072E-08  7.150E-09  33 75 
 Se-74     3.452E-09  5.989E-10  34 74 
 Se-76     5.722E-08  6.481E-09  34 76 
 Se-77     3.844E-08  5.352E-09  34 77 
 Se-78     1.399E-07  1.688E-08  34 78 
 Se-80     2.500E-07  3.613E-08  34 80 
 Se-82     3.885E-08  6.518E-09  34 82 
 Br-79     4.834E-08  6.947E-09  35 79 
 Br-81     4.779E-08  6.930E-09  35 81 
 Kr-78     1.131E-09  1.950E-10  36 78 
 Kr-80     9.107E-09  1.287E-09  36 80 
 Kr-82     5.340E-08  6.598E-09  36 82 
 Kr-83     4.360E-08  6.621E-09  36 83 
 Kr-84     2.242E-07  3.301E-08  36 84 
 Kr-86     8.638E-08  1.022E-08  36 86 
 Rb-85     4.812E-08  6.412E-09  37 85 
 Rb-87     2.961E-08  2.531E-09  37 87 
 Sr-84     9.260E-10  1.614E-10  38 84 
 Sr-86     2.132E-08  2.922E-09  38 86 
 Sr-87     1.448E-08  2.222E-09  38 87 
 Sr-88     1.697E-07  2.505E-08  38 88 
 Y-89      4.098E-08  6.147E-09  39 89 
 Zr-90     4.767E-08  7.672E-09  40 90 
 Zr-91     1.075E-08  1.692E-09  40 91 
 Zr-92     1.679E-08  2.613E-09  40 92 
 Zr-94     1.677E-08  2.707E-09  40 94 
 Zr-96     3.883E-09  4.452E-10  40 96 
 Nb-93     5.943E-09  9.500E-10  41 93 
 Mo-92     2.949E-09  5.062E-10  42 92 
 Mo-94     1.993E-09  3.224E-10  42 94 
 Mo-95     3.520E-09  5.609E-10  42 95 
 Mo-96     3.680E-09  5.938E-10  42 96 
 Mo-97     2.087E-09  3.438E-10  42 97 
 Mo-98     5.343E-09  8.772E-10  42 98 
 Mo-100    2.104E-09  3.573E-10  42 100
 Ru-96     8.477E-10  1.463E-10  44 96 
 Ru-98     2.950E-10  5.035E-11  44 98 
 Ru-99     2.037E-09  3.473E-10  44 99 
 Ru-100    2.145E-09  3.464E-10  44 100
 Ru-101    2.711E-09  4.738E-10  44 101
 Ru-102    5.359E-09  8.849E-10  44 102
 Ru-104    3.104E-09  5.325E-10  44 104
 Rh-103    3.048E-09  5.273E-10  45 103
 Pd-102    1.217E-10  2.121E-11  46 102
 Pd-104    1.530E-09  2.361E-10  46 104
 Pd-105    2.744E-09  4.779E-10  46 105
 Pd-106    3.602E-09  5.905E-10  46 106
 Pd-108    3.480E-09  5.825E-10  46 108
 Pd-110    1.540E-09  2.628E-10  46 110
 Ag-107    2.282E-09  3.920E-10  47 107
 Ag-109    2.167E-09  3.710E-10  47 109
 Cd-106    1.827E-10  3.173E-11  48 106
 Cd-108    2.005E-10  2.302E-11  48 108
 Cd-110    2.032E-09  3.290E-10  48 110
 Cd-111    1.993E-09  3.402E-10  48 111
 Cd-112    3.890E-09  6.472E-10  48 112
 Cd-113    1.942E-09  3.307E-10  48 113
 Cd-114    4.723E-09  7.843E-10  48 114
 Cd-116    1.259E-09  2.081E-10  48 116
 In-113    7.610E-11  1.302E-11  49 113
 In-115    1.730E-09  2.957E-10  49 115
 Sn-112    3.533E-10  6.105E-11  50 112
 Sn-114    2.497E-10  4.217E-11  50 114
 Sn-115    1.286E-10  2.189E-11  50 115
 Sn-116    5.667E-09  9.466E-10  50 116
 Sn-117    2.983E-09  5.042E-10  50 117
 Sn-118    9.576E-09  1.605E-09  50 118
 Sn-119    3.412E-09  5.735E-10  50 119
 Sn-120    1.310E-08  2.196E-09  50 120
 Sn-122    1.971E-09  3.170E-10  50 122
 Sn-124    2.376E-09  4.030E-10  50 124
 Sb-121    1.856E-09  3.159E-10  51 121
 Sb-123    1.395E-09  2.401E-10  51 123
 Te-120    4.642E-11  8.142E-12  52 120
 Te-122    1.367E-09  2.244E-10  52 122
 Te-123    4.784E-10  7.893E-11  52 123
 Te-124    2.553E-09  4.220E-10  52 124
 Te-125    3.649E-09  6.307E-10  52 125
 Te-126    1.002E-08  1.688E-09  52 126
 Te-128    1.681E-08  2.866E-09  52 128
 Te-130    1.822E-08  3.105E-09  52 130
 I-127     4.196E-09  7.296E-10  53 127
 Xe-124    6.258E-11  1.105E-11  54 124
 Xe-126    5.592E-11  9.746E-12  54 126
 Xe-128    1.301E-09  1.971E-10  54 128
 Xe-129    1.398E-08  2.446E-09  54 129
 Xe-130    2.779E-09  3.933E-10  54 130
 Xe-131    1.138E-08  1.972E-09  54 131
 Xe-132    1.441E-08  2.403E-09  54 132
 Xe-134    5.323E-09  8.940E-10  54 134
 Xe-136    4.361E-09  7.392E-10  54 136
 Cs-133    4.136E-09  7.130E-10  55 133
 Ba-130    5.135E-11  9.072E-12  56 130
 Ba-132    5.052E-11  8.811E-12  56 132
 Ba-134    1.402E-09  2.136E-10  56 134
 Ba-135    3.406E-09  5.870E-10  56 135
 Ba-136    4.276E-09  7.044E-10  56 136
 Ba-137    6.092E-09  1.015E-09  56 137
 Ba-138    3.889E-08  6.526E-09  56 138
 La-138    4.259E-12  8.020E-13  57 138
 La-139    5.318E-09  8.951E-10  57 139
 Ce-136    2.404E-11  4.191E-12  58 136
 Ce-138    3.349E-11  5.739E-12  58 138
 Ce-140    1.217E-08  2.052E-09  58 140
 Ce-142    1.569E-09  2.615E-10  58 142
 Pr-141    2.034E-09  3.455E-10  59 141
 Nd-142    2.941E-09  4.960E-10  60 142
