H Table: (M=4.0,Z=0.01)
#H Lifetime: 1.878E+08
#H Mfinal: 8.415E-01
 Isotopes  Yields     X0         Z  A  
 H-1       2.139E+00  7.290E-01  1  1  
 H-2       8.212E-07  1.414E-05  1  2  
 He-3      2.813E-04  4.331E-05  2  3  
 He-4      9.633E-01  2.609E-01  2  4  
 Li-7      4.516E-08  3.803E-11  3  7  
 B-11      4.510E-09  1.428E-09  5  11 
 C-12      1.971E-02  1.712E-03  6  12 
 C-13      1.922E-04  2.078E-05  6  13 
 N-14      5.835E-03  5.294E-04  7  14 
 N-15      2.513E-06  2.085E-06  7  15 
 O-16      1.977E-02  4.812E-03  8  16 
 O-17      2.535E-05  1.907E-06  8  17 
 O-18      2.213E-05  1.086E-05  8  18 
 F-19      9.432E-07  2.805E-07  9  19 
 Ne-20     2.988E-03  9.089E-04  10 20 
 Ne-21     1.357E-05  2.288E-06  10 21 
 Ne-22     5.163E-04  7.351E-05  10 22 
 Na-23     1.035E-04  2.000E-05  11 23 
 Mg-24     9.218E-04  2.931E-04  12 24 
 Mg-25     2.157E-04  3.867E-05  12 25 
 Mg-26     4.112E-04  4.424E-05  12 26 
 Al-27     1.151E-04  3.241E-05  13 27 
 Si-28     1.183E-03  3.726E-04  14 28 
 Si-29     6.348E-05  1.960E-05  14 29 
 Si-30     4.654E-05  1.336E-05  14 30 
 P-31      1.230E-05  3.553E-06  15 31 
 Pb-206    8.075E-09  1.399E-09  82 206
 Pb-207    9.408E-09  1.545E-09  82 207
 S-32      6.304E-04  2.005E-04  16 32 
 S-33      5.236E-06  1.632E-06  16 33 
 S-34      3.047E-05  9.452E-06  16 34 
 S-36      2.372E-07  4.036E-08  16 36 
 Cl-35     1.070E-05  3.411E-06  17 35 
 Cl-37     4.142E-06  1.153E-06  17 37 
 Ar-36     1.285E-04  4.101E-05  18 36 
 Ar-38     2.528E-05  7.871E-06  18 38 
 Ar-40     1.142E-07  1.325E-08  18 40 
 K-39      6.237E-06  1.950E-06  19 39 
 K-40      1.209E-08  2.503E-10  19 40 
 K-41      5.119E-07  1.479E-07  19 41 
 Ca-40     1.134E-04  3.613E-05  20 40 
 Ca-42     8.571E-07  2.532E-07  20 42 
 Ca-43     1.874E-07  5.408E-08  20 43 
 Ca-44     2.743E-06  8.551E-07  20 44 
 Ca-46     2.134E-08  1.714E-09  20 46 
 Ca-48     2.638E-07  8.362E-08  20 48 
 Sc-45     1.029E-07  2.707E-08  21 45 
 Ti-46     5.155E-07  1.616E-07  22 46 
 Ti-47     4.709E-07  1.488E-07  22 47 
 Ti-48     4.716E-06  1.507E-06  22 48 
 Ti-49     3.798E-07  1.129E-07  22 49 
 Ti-50     4.155E-07  1.104E-07  22 50 
 V-50      1.584E-09  5.077E-10  23 50 
 V-51      6.519E-07  2.069E-07  23 51 
 Cr-50     1.289E-06  4.133E-07  24 50 
 Cr-52     2.600E-05  8.288E-06  24 52 
 Cr-53     3.010E-06  9.578E-07  24 53 
 Cr-54     8.959E-07  2.429E-07  24 54 
 Mn-55     1.725E-05  5.491E-06  25 55 
