H Table: (M=15.0,Z=0.01)
#H Lifetime: 1.422E+07
#H Mfinal: 1.610E+00
 Isotopes  Yields     X0         Z  A  
 H-1       6.590E+00  7.290E-01  1  1  
 H-2       1.372E-05  1.414E-05  1  2  
 He-3      3.227E-04  4.331E-05  2  3  
 He-4      4.947E+00  2.609E-01  2  4  
 Li-7      3.845E-11  3.803E-11  3  7  
 B-11      1.520E-08  1.428E-09  5  11 
 C-12      1.594E-01  1.712E-03  6  12 
 C-13      5.471E-04  2.078E-05  6  13 
 N-14      2.608E-02  5.294E-04  7  14 
 N-15      3.008E-05  2.085E-06  7  15 
 O-16      8.890E-01  4.812E-03  8  16 
 O-17      3.823E-05  1.907E-06  8  17 
 O-18      1.398E-03  1.086E-05  8  18 
 F-19      7.502E-06  2.805E-07  9  19 
 Ne-20     1.614E-01  9.089E-04  10 20 
 Ne-21     7.259E-04  2.288E-06  10 21 
 Ne-22     7.301E-03  7.351E-05  10 22 
 Na-23     3.242E-03  2.000E-05  11 23 
 Mg-24     5.655E-02  2.931E-04  12 24 
 Mg-25     5.474E-03  3.867E-05  12 25 
 Mg-26     7.682E-03  4.424E-05  12 26 
 Al-27     4.299E-03  3.241E-05  13 27 
 Si-28     1.201E-01  3.726E-04  14 28 
 Si-29     1.175E-02  1.960E-05  14 29 
 Si-30     9.359E-02  1.336E-05  14 30 
 P-31      1.508E-02  3.553E-06  15 31 
 Pb-206    2.424E-08  1.399E-09  82 206
 Pb-207    2.125E-08  1.545E-09  82 207
 S-32      3.160E-02  2.005E-04  16 32 
 S-33      1.317E-03  1.632E-06  16 33 
 S-34      1.173E-01  9.452E-06  16 34 
 S-36      1.129E-03  4.036E-08  16 36 
 Cl-35     8.122E-03  3.411E-06  17 35 
 Cl-37     4.868E-04  1.153E-06  17 37 
 Ar-36     3.381E-03  4.101E-05  18 36 
 Ar-38     1.077E-02  7.871E-06  18 38 
 Ar-40     5.439E-05  1.325E-08  18 40 
 K-39      5.783E-04  1.950E-06  19 39 
 K-40      3.437E-05  2.503E-10  19 40 
 K-41      2.922E-05  1.479E-07  19 41 
 Ca-40     1.600E-03  3.613E-05  20 40 
 Ca-42     1.288E-04  2.532E-07  20 42 
 Ca-43     1.056E-05  5.408E-08  20 43 
 Ca-44     3.536E-05  8.551E-07  20 44 
