H Table: (M=12.0,Z=0.01)
#H Lifetime: 1.970E+07
#H Mfinal: 1.610E+00
 Isotopes  Yields     X0         Z  A  
 H-1       5.693E+00  7.290E-01  1  1  
 H-2       1.478E-05  1.414E-05  1  2  
 He-3      3.016E-04  4.331E-05  2  3  
 He-4      4.023E+00  2.609E-01  2  4  
 Li-7      4.066E-11  3.803E-11  3  7  
 B-11      1.292E-08  1.428E-09  5  11 
 C-12      9.009E-02  1.712E-03  6  12 
 C-13      4.548E-04  2.078E-05  6  13 
 N-14      2.134E-02  5.294E-04  7  14 
 N-15      2.389E-05  2.085E-06  7  15 
 O-16      1.229E-01  4.812E-03  8  16 
 O-17      2.745E-05  1.907E-06  8  17 
 O-18      1.065E-03  1.086E-05  8  18 
 F-19      5.457E-06  2.805E-07  9  19 
 Ne-20     1.208E-02  9.089E-04  10 20 
 Ne-21     3.734E-04  2.288E-06  10 21 
 Ne-22     3.170E-03  7.351E-05  10 22 
 Na-23     5.101E-04  2.000E-05  11 23 
 Mg-24     9.544E-03  2.931E-04  12 24 
 Mg-25     6.783E-04  3.867E-05  12 25 
 Mg-26     1.258E-03  4.424E-05  12 26 
 Al-27     4.904E-04  3.241E-05  13 27 
 Si-28     8.095E-02  3.726E-04  14 28 
 Si-29     7.966E-04  1.960E-05  14 29 
 Si-30     8.042E-04  1.336E-05  14 30 
 P-31      5.860E-04  3.553E-06  15 31 
 Pb-206    1.394E-08  1.399E-09  82 206
 Pb-207    1.489E-08  1.545E-09  82 207
 S-32      6.215E-02  2.005E-04  16 32 
 S-33      3.379E-04  1.632E-06  16 33 
 S-34      8.557E-04  9.452E-06  16 34 
 S-36      5.629E-06  4.036E-08  16 36 
 Cl-35     9.234E-04  3.411E-06  17 35 
 Cl-37     6.154E-05  1.153E-06  17 37 
 Ar-36     1.231E-02  4.101E-05  18 36 
 Ar-38     8.064E-04  7.871E-06  18 38 
 Ar-40     2.244E-06  1.325E-08  18 40 
 K-39      4.659E-04  1.950E-06  19 39 
