H Table: (M=25.0,Z=0.01)
#H Lifetime: 7.854E+06
#H Mfinal: 6.050E+00
 Isotopes  Yields     X0         Z  A  
 Ru-102    2.325E-08  8.849E-10  44 102
 Ru-104    1.654E-08  5.325E-10  44 104
 Rh-103    1.493E-08  5.273E-10  45 103
 Pd-102    3.365E-10  2.121E-11  46 102
 Pd-104    4.336E-09  2.361E-10  46 104
 Pd-105    1.099E-08  4.779E-10  46 105
 Pd-106    1.308E-08  5.905E-10  46 106
 Pd-108    1.246E-08  5.825E-10  46 108
 Pd-110    6.536E-09  2.628E-10  46 110
 Ag-107    7.808E-09  3.920E-10  47 107
 Ag-109    7.646E-09  3.710E-10  47 109
 Cd-106    5.042E-10  3.173E-11  48 106
 Cd-108    4.720E-10  2.302E-11  48 108
 Cd-110    5.911E-09  3.290E-10  48 110
 Cd-111    6.944E-09  3.402E-10  48 111
 Cd-112    1.294E-08  6.472E-10  48 112
 Cd-113    6.453E-09  3.307E-10  48 113
 Cd-114    1.601E-08  7.843E-10  48 114
 Cd-116    5.515E-09  2.081E-10  48 116
 In-113    2.287E-10  1.302E-11  49 113
 In-115    5.340E-09  2.957E-10  49 115
 Sn-112    9.728E-10  6.105E-11  50 112
 Sn-114    8.447E-10  4.217E-11  50 114
 Sn-115    4.346E-10  2.189E-11  50 115
 Sn-116    1.666E-08  9.466E-10  50 116
 Sn-117    9.623E-09  5.042E-10  50 117
 Sn-118    2.996E-08  1.605E-09  50 118
 Sn-119    1.041E-08  5.735E-10  50 119
 Sn-120    4.115E-08  2.196E-09  50 120
 Sn-122    7.734E-09  3.170E-10  50 122
 Sn-124    1.247E-08  4.030E-10  50 124
 Sb-121    6.283E-09  3.159E-10  51 121
 Sb-123    5.008E-09  2.401E-10  51 123
 Te-120    1.289E-10  8.142E-12  52 120
 Te-122    3.859E-09  2.244E-10  52 122
 Te-123    1.356E-09  7.893E-11  52 123
 Te-124    7.541E-09  4.220E-10  52 124
 Te-125    1.189E-08  6.307E-10  52 125
 Te-126    3.281E-08  1.688E-09  52 126
 Te-128    5.050E-08  2.866E-09  52 128
 Te-130    5.497E-08  3.105E-09  52 130
 I-127     1.394E-08  7.296E-10  53 127
 Xe-124    1.748E-10  1.105E-11  54 124
 Xe-126    1.549E-10  9.746E-12  54 126
 Xe-128    3.597E-09  1.971E-10  54 128
 Xe-129    4.135E-08  2.446E-09  54 129
 Xe-130    7.807E-09  3.933E-10  54 130
 Xe-131    3.432E-08  1.972E-09  54 131
 Xe-132    4.427E-08  2.403E-09  54 132
 Xe-134    2.679E-08  8.940E-10  54 134
 Xe-136    2.636E-08  7.392E-10  54 136
 Cs-133    1.378E-08  7.130E-10  55 133
 Ba-130    1.435E-10  9.072E-12  56 130
 Ba-132    1.399E-10  8.811E-12  56 132
 Ba-134    4.063E-09  2.136E-10  56 134
 Ba-135    1.103E-08  5.870E-10  56 135
 Ba-136    1.393E-08  7.044E-10  56 136
 Ba-137    1.924E-08  1.015E-09  56 137
 Ba-138    1.489E-07  6.526E-09  56 138
 La-138    1.264E-11  8.020E-13  57 138
 La-139    1.925E-08  8.951E-10  57 139
 Ce-136    6.659E-11  4.191E-12  58 136
 Ce-138    9.202E-11  5.739E-12  58 138
 Ce-140    4.295E-08  2.052E-09  58 140
 Ce-142    6.268E-09  2.615E-10  58 142
 Pr-141    7.206E-09  3.455E-10  59 141
 Nd-142    9.448E-09  4.960E-10  60 142
 Nd-143    4.610E-09  2.242E-10  60 143
 Nd-144    1.126E-08  4.413E-10  60 144
 Nd-145    3.915E-09  1.548E-10  60 145
 Nd-146    7.146E-09  3.224E-10  60 146
 Nd-148    2.459E-09  1.093E-10  60 148
 Nd-150    2.377E-09  1.084E-10  60 150
 Sm-144    3.057E-10  1.842E-11  62 144
 Sm-147    2.876E-09  9.172E-11  62 147
 Sm-148    1.282E-09  6.923E-11  62 148
 Sm-149    1.760E-09  8.569E-11  62 149
 Sm-150    8.203E-10  4.607E-11  62 150
 Sm-152    3.560E-09  1.692E-10  62 152
 Sm-154    3.264E-09  1.458E-10  62 154
 Eu-151    1.999E-09  1.018E-10  63 151
 Eu-153    2.024E-09  1.126E-10  63 153
 Gd-152    3.342E-11  1.474E-12  64 152
 Gd-154    2.812E-10  1.605E-11  64 154
 Gd-155    2.362E-09  1.096E-10  64 155
 Gd-156    3.416E-09  1.526E-10  64 156
 Gd-157    2.354E-09  1.174E-10  64 157
 Gd-158    3.807E-09  1.875E-10  64 158
 Gd-160    3.365E-09  1.671E-10  64 160
 Tb-159    2.585E-09  1.382E-10  65 159
 Dy-156    7.935E-12  5.018E-13  66 156
 Dy-158    1.803E-11  8.713E-13  66 158
 Dy-160    4.225E-10  2.151E-11  66 160
 Dy-161    3.323E-09  1.749E-10  66 161
 Dy-162    4.634E-09  2.374E-10  66 162
 Dy-163    4.209E-09  2.332E-10  66 163
 Dy-164    5.081E-09  2.656E-10  66 164
 Ho-165    7.178E-09  4.244E-10  67 165
 Er-162    1.379E-11  8.044E-13  68 162
 Er-164    1.897E-10  9.564E-12  68 164
 Er-166    3.772E-09  2.022E-10  68 166
 Er-167    2.462E-09  1.388E-10  68 167
 Er-168    3.103E-09  1.631E-10  68 168
 Er-170    1.800E-09  9.199E-11  68 170
 Tm-169    1.648E-09  9.271E-11  69 169
 Yb-168    1.753E-11  7.916E-13  70 168
 Yb-170    5.155E-10  1.873E-11  70 170
 Yb-171    1.650E-09  8.851E-11  70 171
 Yb-172    2.865E-09  1.361E-10  70 172
 Yb-173    1.876E-09  1.011E-10  70 173
 Yb-174    3.848E-09  2.007E-10  70 174
 Yb-176    1.666E-09  8.140E-11  70 176
 Lu-175    1.694E-09  9.139E-11  71 175
 Lu-176    4.990E-10  2.262E-11  71 176
 Hf-174    5.785E-11  6.156E-13  72 174
 Hf-176    4.552E-10  2.018E-11  72 176
 Hf-177    1.433E-09  7.189E-11  72 177
 Hf-178    2.700E-09  1.061E-10  72 178
 Hf-179    1.144E-09  5.326E-11  72 179
 Hf-180    3.049E-09  1.384E-10  72 180
 Ta-180    5.013E-12  1.215E-14  73 180
 Ta-181    2.017E-09  9.928E-11  73 181
