H Table: (M=6.0,Z=0.01)
#H Lifetime: 7.106E+07
#H Mfinal: 9.938E-01
 Isotopes  Yields     X0         Z  A  
 H-1       3.133E+00  7.290E-01  1  1  
 H-2       2.380E-08  1.414E-05  1  2  
 He-3      1.494E-05  4.331E-05  2  3  
 He-4      1.805E+00  2.609E-01  2  4  
 Li-7      3.478E-08  7.774E-10  3  7  
 B-11      7.149E-09  1.428E-09  5  11 
 C-12      2.839E-03  1.712E-03  6  12 
 C-13      4.648E-04  2.078E-05  6  13 
 N-14      2.974E-02  5.294E-04  7  14 
 N-15      1.022E-06  2.085E-06  7  15 
 O-16      1.935E-02  4.812E-03  8  16 
 O-17      7.664E-05  1.907E-06  8  17 
 O-18      1.504E-06  1.086E-05  8  18 
 F-19      1.050E-07  2.805E-07  9  19 
 Ne-20     4.763E-03  9.089E-04  10 20 
 Ne-21     1.674E-06  2.288E-06  10 21 
 Ne-22     4.531E-04  7.351E-05  10 22 
 Na-23     1.076E-04  2.000E-05  11 23 
 Mg-24     1.122E-03  2.931E-04  12 24 
 Mg-25     6.956E-04  3.867E-05  12 25 
 Mg-26     4.787E-04  4.424E-05  12 26 
 Al-27     1.770E-04  3.241E-05  13 27 
 Si-28     1.882E-03  3.726E-04  14 28 
 Si-29     1.007E-04  1.960E-05  14 29 
 Si-30     7.186E-05  1.336E-05  14 30 
 P-31      1.895E-05  3.553E-06  15 31 
 Pb-206    7.504E-09  1.399E-09  82 206
 Pb-207    8.357E-09  1.545E-09  82 207
 S-32      1.001E-03  2.005E-04  16 32 
 S-33      8.238E-06  1.632E-06  16 33 
 S-34      4.782E-05  9.452E-06  16 34 
 S-36      2.995E-07  4.036E-08  16 36 
 Cl-35     1.701E-05  3.411E-06  17 35 
 Cl-37     6.275E-06  1.153E-06  17 37 
 Ar-36     2.043E-04  4.101E-05  18 36 
 Ar-38     3.975E-05  7.871E-06  18 38 
 Ar-40     1.408E-07  1.325E-08  18 40 
 K-39      9.835E-06  1.950E-06  19 39 
 K-40      1.269E-08  2.503E-10  19 40 
 K-41      8.184E-07  1.479E-07  19 41 
 Ca-40     1.802E-04  3.613E-05  20 40 
 Ca-42     1.315E-06  2.532E-07  20 42 
 Ca-43     2.844E-07  5.408E-08  20 43 
 Ca-44     4.317E-06  8.551E-07  20 44 
 Ca-46     2.775E-08  1.714E-09  20 46 
 Ca-48     4.185E-07  8.362E-08  20 48 
 Sc-45     1.533E-07  2.707E-08  21 45 
 Ti-46     8.114E-07  1.616E-07  22 46 
 Ti-47     7.432E-07  1.488E-07  22 47 
 Ti-48     7.501E-06  1.507E-06  22 48 
 Ti-49     5.893E-07  1.129E-07  22 49 
 Ti-50     6.033E-07  1.104E-07  22 50 
 V-50      2.516E-09  5.077E-10  23 50 
 V-51      1.038E-06  2.069E-07  23 51 
 Cr-50     2.048E-06  4.133E-07  24 50 
 Cr-52     4.133E-05  8.288E-06  24 52 
 Cr-53     4.762E-06  9.578E-07  24 53 
 Cr-54     1.352E-06  2.429E-07  24 54 
 Mn-55     2.774E-05  5.491E-06  25 55 
 Fe-54     2.015E-04  4.059E-05  26 54 
 Fe-56     3.293E-03  6.608E-04  26 56 
 Fe-57     7.970E-05  1.553E-05  26 57 
 Fe-58     1.612E-05  2.103E-06  26 58 
 Co-59     1.209E-05  1.996E-06  27 59 
 Ni-58     1.419E-04  2.855E-05  28 58 
 Ni-60     5.946E-05  1.138E-05  28 60 
 Ni-61     3.164E-06  5.029E-07  28 61 
 Ni-62     9.502E-06  1.630E-06  28 62 
 Ni-64     3.989E-06  4.284E-07  28 64 
 Cu-63     2.637E-06  3.300E-07  29 63 
 Cu-65     1.204E-06  1.517E-07  29 65 
 Zn-64     2.828E-06  5.654E-07  30 64 
 Zn-66     2.014E-06  3.345E-07  30 66 
 Zn-67     3.285E-07  4.990E-08  30 67 
 Zn-68     1.651E-06  2.316E-07  30 68 
 Zn-70     4.334E-08  7.884E-09  30 70 
 Ga-69     1.827E-07  2.275E-08  31 69 
 Ga-71     1.163E-07  1.554E-08  31 71 
 Ge-70     2.285E-07  2.579E-08  32 70 
 Ge-72     2.754E-07  3.455E-08  32 72 
 Ge-73     7.957E-08  9.773E-09  32 73 
 Ge-74     3.989E-07  4.614E-08  32 74 
 Ge-76     5.384E-08  9.815E-09  32 76 
 As-75     5.267E-08  7.150E-09  33 75 
 Se-74     2.945E-09  5.989E-10  34 74 
 Se-76     6.988E-08  6.481E-09  34 76 
 Se-77     4.118E-08  5.352E-09  34 77 
 Se-78     1.742E-07  1.688E-08  34 78 
 Se-80     2.803E-07  3.613E-08  34 80 
 Se-82     3.403E-08  6.518E-09  34 82 
 Br-79     5.303E-08  6.947E-09  35 79 
 Br-81     5.305E-08  6.930E-09  35 81 
 Kr-78     9.628E-10  1.950E-10  36 78 
 Kr-80     8.606E-09  1.287E-09  36 80 
 Kr-82     7.402E-08  6.598E-09  36 82 
 Kr-83     4.744E-08  6.621E-09  36 83 
 Kr-84     2.538E-07  3.301E-08  36 84 
 Kr-86     1.557E-07  1.022E-08  36 86 
 Rb-85     6.379E-08  6.412E-09  37 85 
 Rb-87     6.359E-08  2.531E-09  37 87 
 Sr-84     7.911E-10  1.614E-10  38 84 
 Sr-86     2.744E-08  2.922E-09  38 86 
 Sr-87     1.605E-08  2.222E-09  38 87 
 Sr-88     2.096E-07  2.505E-08  38 88 
 Y-89      5.075E-08  6.147E-09  39 89 
 Zr-90     4.978E-08  7.672E-09  40 90 
 Zr-91     1.204E-08  1.692E-09  40 91 
 Zr-92     1.972E-08  2.613E-09  40 92 
 Zr-94     1.807E-08  2.707E-09  40 94 
 Zr-96     8.295E-09  4.452E-10  40 96 
 Nb-93     6.648E-09  9.500E-10  41 93 
 Mo-92     2.506E-09  5.062E-10  42 92 
 Mo-94     1.661E-09  3.224E-10  42 94 
 Mo-95     3.755E-09  5.609E-10  42 95 
 Mo-96     3.954E-09  5.938E-10  42 96 
 Mo-97     2.121E-09  3.438E-10  42 97 
 Mo-98     5.403E-09  8.772E-10  42 98 
 Mo-100    1.882E-09  3.573E-10  42 100
 Ru-96     7.218E-10  1.463E-10  44 96 
 Ru-98     2.501E-10  5.035E-11  44 98 
 Ru-99     1.852E-09  3.473E-10  44 99 
 Ru-100    2.137E-09  3.464E-10  44 100
 Ru-101    2.399E-09  4.738E-10  44 101
 Ru-102    4.949E-09  8.849E-10  44 102
 Ru-104    2.701E-09  5.325E-10  44 104
 Rh-103    2.676E-09  5.273E-10  45 103
 Pd-102    1.039E-10  2.121E-11  46 102
 Pd-104    1.455E-09  2.361E-10  46 104
 Pd-105    2.399E-09  4.779E-10  46 105
 Pd-106    3.261E-09  5.905E-10  46 106
 Pd-108    3.211E-09  5.825E-10  46 108
 Pd-110    1.363E-09  2.628E-10  46 110
 Ag-107    1.986E-09  3.920E-10  47 107
 Ag-109    1.922E-09  3.710E-10  47 109
 Cd-106    1.559E-10  3.173E-11  48 106
 Cd-108    1.527E-10  2.302E-11  48 108
 Cd-110    1.893E-09  3.290E-10  48 110
 Cd-111    1.764E-09  3.402E-10  48 111
 Cd-112    3.547E-09  6.472E-10  48 112
 Cd-113    1.723E-09  3.307E-10  48 113
 Cd-114    4.344E-09  7.843E-10  48 114
 Cd-116    1.218E-09  2.081E-10  48 116
 In-113    6.463E-11  1.302E-11  49 113
 In-115    1.544E-09  2.957E-10  49 115
 Sn-112    3.010E-10  6.105E-11  50 112
 Sn-114    2.110E-10  4.217E-11  50 114
 Sn-115    1.090E-10  2.189E-11  50 115
 Sn-116    5.145E-09  9.466E-10  50 116
 Sn-117    2.670E-09  5.042E-10  50 117
 Sn-118    8.746E-09  1.605E-09  50 118
 Sn-119    3.075E-09  5.735E-10  50 119
 Sn-120    1.196E-08  2.196E-09  50 120
 Sn-122    2.095E-09  3.170E-10  50 122
 Sn-124    2.077E-09  4.030E-10  50 124
 Sb-121    1.649E-09  3.159E-10  51 121
 Sb-123    1.234E-09  2.401E-10  51 123
 Te-120    3.973E-11  8.142E-12  52 120
 Te-122    1.246E-09  2.244E-10  52 122
 Te-123    4.341E-10  7.893E-11  52 123
 Te-124    2.379E-09  4.220E-10  52 124
 Te-125    3.186E-09  6.307E-10  52 125
 Te-126    8.834E-09  1.688E-09  52 126
 Te-128    1.435E-08  2.866E-09  52 128
 Te-130    1.547E-08  3.105E-09  52 130
 I-127     3.629E-09  7.296E-10  53 127
 Xe-124    5.367E-11  1.105E-11  54 124
 Xe-126    4.777E-11  9.746E-12  54 126
 Xe-128    1.164E-09  1.971E-10  54 128
 Xe-129    1.201E-08  2.446E-09  54 129
 Xe-130    2.421E-09  3.933E-10  54 130
 Xe-131    9.773E-09  1.972E-09  54 131
 Xe-132    1.245E-08  2.403E-09  54 132
 Xe-134    4.729E-09  8.940E-10  54 134
 Xe-136    3.755E-09  7.392E-10  54 136
 Cs-133    3.567E-09  7.130E-10  55 133
 Ba-130    4.405E-11  9.072E-12  56 130
 Ba-132    4.317E-11  8.811E-12  56 132
 Ba-134    1.228E-09  2.136E-10  56 134
 Ba-135    2.993E-09  5.870E-10  56 135
 Ba-136    3.817E-09  7.044E-10  56 136
 Ba-137    5.660E-09  1.015E-09  56 137
 Ba-138    3.460E-08  6.526E-09  56 138
 La-138    3.678E-12  8.020E-13  57 138
 La-139    4.699E-09  8.951E-10  57 139
 Ce-136    2.054E-11  4.191E-12  58 136
 Ce-138    2.848E-11  5.739E-12  58 138
 Ce-140    1.068E-08  2.052E-09  58 140
 Ce-142    1.426E-09  2.615E-10  58 142
 Pr-141    1.776E-09  3.455E-10  59 141
 Nd-142    2.552E-09  4.960E-10  60 142
 Nd-143    1.134E-09  2.242E-10  60 143
 Nd-144    2.310E-09  4.413E-10  60 144
 Nd-145    7.818E-10  1.548E-10  60 145
 Nd-146    1.702E-09  3.224E-10  60 146
 Nd-148    5.621E-10  1.093E-10  60 148
 Nd-150    5.349E-10  1.084E-10  60 150
 Sm-144    9.124E-11  1.842E-11  62 144
 Sm-147    4.563E-10  9.172E-11  62 147
 Sm-148    3.697E-10  6.923E-11  62 148
 Sm-149    4.158E-10  8.569E-11  62 149
 Sm-150    2.609E-10  4.607E-11  62 150
 Sm-152    8.473E-10  1.692E-10  62 152
 Sm-154    7.276E-10  1.458E-10  62 154
 Eu-151    4.881E-10  1.018E-10  63 151
 Eu-153    5.489E-10  1.126E-10  63 153
 Gd-152    2.077E-11  1.474E-12  64 152
 Gd-154    1.094E-10  1.605E-11  64 154
 Gd-155    5.364E-10  1.096E-10  64 155
 Gd-156    7.868E-10  1.526E-10  64 156
 Gd-157    5.835E-10  1.174E-10  64 157
 Gd-158    9.763E-10  1.875E-10  64 158
 Gd-160    8.324E-10  1.671E-10  64 160
 Tb-159    6.767E-10  1.382E-10  65 159
 Dy-156    2.402E-12  5.018E-13  66 156
 Dy-158    4.195E-12  8.713E-13  66 158
 Dy-160    1.337E-10  2.151E-11  66 160
 Dy-161    8.492E-10  1.749E-10  66 161
 Dy-162    1.218E-09  2.374E-10  66 162
 Dy-163    1.140E-09  2.332E-10  66 163
 Dy-164    1.378E-09  2.656E-10  66 164
 Ho-165    2.084E-09  4.244E-10  67 165
 Er-162    3.847E-12  8.044E-13  68 162
 Er-164    5.678E-11  9.564E-12  68 164
 Er-166    1.033E-09  2.022E-10  68 166
 Er-167    6.856E-10  1.388E-10  68 167
 Er-168    8.608E-10  1.631E-10  68 168
 Er-170    4.706E-10  9.199E-11  68 170
