H Table: (M=2.0,Z=0.01)

Isotopes Yields		
Cu-63	4.8563301E-07	
Cu-64	1.0561106E-99	
Cu-65	2.3433501E-07	
Cu-66	1.0561106E-99	
Cu-67	1.0561106E-99	
Cu-68	1.0561106E-99	
Cu-69	1.0561106E-99	
Cu-70	1.0561106E-99	
Cu-71	1.0561106E-99	
Zn-62	1.0561106E-99	
Zn-63	1.0561106E-99	
Zn-64	6.2850176E-07	
Zn-65	1.7112575E-10	
Zn-66	4.0644378E-07	
Zn-67	6.3853184E-08	
Zn-68	2.8967182E-07	
Zn-69	1.0561106E-99	
Zn-70	8.2595356E-09	
Zn-71	1.0561106E-99	
Zn-72	1.0561106E-99	
Zn-73	1.0561106E-99	
Zn-74	1.0561106E-99	
Ga-65	1.0561106E-99	
Ga-66	1.0561106E-99	
Ga-67	1.0561106E-99	
Ga-68	1.0561106E-99	
Ga-69	3.0128920E-08	
Ga-70	1.0561106E-99	
Ga-71	2.0426767E-08	
Ga-72	1.0561106E-99	
Ga-73	1.0561106E-99	
Ga-74	1.0561106E-99	
Ga-75	1.0561106E-99	
Ge-66	1.0561106E-99	
Ge-67	1.0561106E-99	
Ge-68	1.0561106E-99	
Ge-69	1.0561106E-99	
Ge-70	3.5651936E-08	
Ge-71	1.0561106E-99	
Ge-72	4.3889265E-08	
Ge-73	1.2398790E-08	
Ge-74	5.9109003E-08	
Ge-75	1.0561106E-99	
Ge-76	1.0263330E-08	
Ge-77	1.0561106E-99	
Ge-78	1.0561106E-99	
As-69	1.0561106E-99	
As-70	1.0561106E-99	
As-71	1.0561106E-99	
As-72	1.0561106E-99	
As-73	1.0561106E-99	
As-74	1.5561594E-25	
As-75	8.5276654E-09	
As-76	1.0561106E-99	
As-77	1.0561106E-99	
As-78	1.0561106E-99	
As-79	1.0561106E-99	
As-80	1.0561106E-99	
As-81	1.0561106E-99	
Se-72	1.0561106E-99	
Se-73	1.0561106E-99	
Se-74	6.2037348E-10	
Se-75	1.0561106E-99	
Se-76	9.1221019E-09	
Se-77	6.4784692E-09	
Se-78	2.3070511E-08	
Se-79	9.9530946E-10	
Se-80	4.2591644E-08	
Se-81	1.0561106E-99	
Se-82	6.8360867E-09	
Se-83	1.0561106E-99	
Se-84	1.0561106E-99	
Br-74	1.0561106E-99	
Br-75	1.0561106E-99	
Br-76	1.0561106E-99	
Br-77	1.0561106E-99	
Br-78	1.0561106E-99	
Br-79	7.3250533E-09	
Br-80	1.0561106E-99	
Br-81	8.0835593E-09	
Br-82	1.0561106E-99	
Br-83	1.0561106E-99	
Br-84	1.0561106E-99	
Br-85	1.0561106E-99	
Br-86	1.0561106E-99	
Br-87	1.0561106E-99	
Kr-76	1.0561106E-99	
Kr-77	1.0561106E-99	
Kr-78	2.0197431E-10	
Kr-79	1.0561106E-99	
Kr-80	1.4767507E-09	
Kr-81	7.9154837E-11	
Kr-82	9.7330306E-09	
Kr-83	7.9215355E-09	
Kr-84	4.1042996E-08	
Kr-85	2.7680844E-15	
Kr-86	1.3538701E-08	
Kr-87	1.0561106E-99	
Kr-88	1.0561106E-99	
Kr-89	1.0561106E-99	
Kr-90	1.0561106E-99	
Rb-79	1.0561106E-99	
Rb-80	1.0561106E-99	
Rb-81	1.0561106E-99	
Rb-82	1.0561106E-99	
Rb-83	1.0561106E-99	
Rb-84	7.0124179E-28	
Rb-85	8.3187703E-09	
Rb-86	1.0561106E-99	
Rb-87	3.8697851E-09	
Rb-88	1.0561106E-99	
Rb-89	1.0561106E-99	
Rb-90	1.0561106E-99	
Rb-91	1.0561106E-99	
Sr-80	1.0561106E-99	
Sr-81	1.0561106E-99	
Sr-82	1.0561106E-99	
Sr-83	1.0561106E-99	
Sr-84	1.6714700E-10	
Sr-85	1.0561106E-99	
Sr-86	5.3212810E-09	
Sr-87	3.8189437E-09	
Sr-88	5.2080300E-08	
Sr-89	1.0561106E-99	
Sr-90	2.5246912E-13	
Sr-91	1.0561106E-99	
Sr-92	1.0561106E-99	
Sr-93	1.0561106E-99	
Sr-94	1.0561106E-99	
Y-85	1.0561106E-99	
Y-86	1.0561106E-99	
Y-87	1.0561106E-99	
Y-88	1.0561106E-99	
Y-89	1.3823370E-08	
Y-90	6.4227648E-17	
Y-91	1.0561106E-99	
Y-92	1.0561106E-99	
Y-93	1.0561106E-99	
Y-94	1.0561106E-99	
Y-95	1.0561106E-99	
Y-96	1.0561106E-99	
Zr-86	1.0561106E-99	
