H Table: (M=1.65,Z=0.01)
H Lifetime: 1.872E+09
H Mfinal: 6.207E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &7.267E-01 &7.290E-01 &1 &1  
&H-2      &4.465E-06 &1.414E-05 &1 &2  
&He-3     &3.617E-04 &4.331E-05 &2 &3  
&He-4     &2.873E-01 &2.609E-01 &2 &4  
&Li-7     &1.297E-11 &3.803E-11 &3 &7  
&B-11     &1.470E-09 &1.428E-09 &5 &11 
&C-12     &4.603E-03 &1.712E-03 &6 &12 
&C-13     &5.215E-05 &2.078E-05 &6 &13 
&N-14     &1.247E-03 &5.294E-04 &7 &14 
&N-15     &1.070E-06 &2.085E-06 &7 &15 
&O-16     &5.892E-03 &4.812E-03 &8 &16 
&O-17     &8.612E-06 &1.907E-06 &8 &17 
&O-18     &8.300E-06 &1.086E-05 &8 &18 
&F-19     &4.096E-07 &2.805E-07 &9 &19 
&Ne-20    &9.350E-04 &9.089E-04 &10&20 
&Ne-21    &2.355E-06 &2.288E-06 &10&21 
&Ne-22    &1.657E-04 &7.351E-05 &10&22 
&Na-23    &2.378E-05 &2.000E-05 &11&23 
&Mg-24    &3.033E-04 &2.931E-04 &12&24 
&Mg-25    &4.106E-05 &3.867E-05 &12&25 
&Mg-26    &4.842E-05 &4.424E-05 &12&26 
&Al-27    &3.373E-05 &3.241E-05 &13&27 
&Si-28    &3.835E-04 &3.726E-04 &14&28 
&Si-29    &2.021E-05 &1.960E-05 &14&29 
&Si-30    &1.386E-05 &1.336E-05 &14&30 
&P-31     &3.666E-06 &3.553E-06 &15&31 
&Pb-206   &1.530E-09 &1.399E-09 &82&206
&Pb-207   &1.667E-09 &1.545E-09 &82&207
&S-32     &2.063E-04 &2.005E-04 &16&32 
&S-33     &1.701E-06 &1.632E-06 &16&33 
&S-34     &9.745E-06 &9.452E-06 &16&34 
&S-36     &4.517E-08 &4.036E-08 &16&36 
&Cl-35    &3.505E-06 &3.411E-06 &17&35 
&Cl-37    &1.234E-06 &1.153E-06 &17&37 
&Ar-36    &4.215E-05 &4.101E-05 &18&36 
&Ar-38    &8.117E-06 &7.871E-06 &18&38 
&Ar-40    &1.404E-08 &1.325E-08 &18&40 
&K-39     &2.008E-06 &1.950E-06 &19&39 
&K-40     &1.864E-09 &2.503E-10 &19&40 
&K-41     &1.633E-07 &1.479E-07 &19&41 
&Ca-40    &3.715E-05 &3.613E-05 &20&40 
&Ca-42    &2.656E-07 &2.532E-07 &20&42 
&Ca-43    &5.644E-08 &5.408E-08 &20&43 
&Ca-44    &8.801E-07 &8.551E-07 &20&44 
&Ca-46    &1.786E-09 &1.714E-09 &20&46 
&Ca-48    &8.606E-08 &8.362E-08 &20&48 
&Sc-45    &2.839E-08 &2.707E-08 &21&45 
&Ti-46    &1.664E-07 &1.616E-07 &22&46 
&Ti-47    &1.527E-07 &1.488E-07 &22&47 
&Ti-48    &1.546E-06 &1.507E-06 &22&48 
&Ti-49    &1.204E-07 &1.129E-07 &22&49 
&Ti-50    &1.158E-07 &1.104E-07 &22&50 
&V-50     &5.202E-10 &5.077E-10 &23&50 
&V-51     &2.131E-07 &2.069E-07 &23&51 
&Cr-50    &4.234E-07 &4.133E-07 &24&50 
&Cr-52    &8.523E-06 &8.288E-06 &24&52 
&Cr-53    &9.851E-07 &9.578E-07 &24&53 
&Cr-54    &2.597E-07 &2.429E-07 &24&54 
&Mn-55    &5.703E-06 &5.491E-06 &25&55 
&Fe-54    &4.162E-05 &4.059E-05 &26&54 
&Fe-56    &6.793E-04 &6.608E-04 &26&56 
&Fe-57    &1.645E-05 &1.553E-05 &26&57 
&Fe-58    &2.598E-06 &2.103E-06 &26&58 
&Co-59    &2.159E-06 &1.996E-06 &27&59 
&Ni-58    &2.928E-05 &2.855E-05 &28&58 
&Ni-60    &1.174E-05 &1.138E-05 &28&60 
&Ni-61    &5.460E-07 &5.029E-07 &28&61 
&Ni-62    &1.706E-06 &1.630E-06 &28&62 
&Ni-64    &4.461E-07 &4.284E-07 &28&64 
&Cu-63    &3.516E-07 &3.300E-07 &29&63 
&Cu-65    &1.597E-07 &1.517E-07 &29&65 
&Zn-64    &5.823E-07 &5.654E-07 &30&64 
&Zn-66    &3.454E-07 &3.345E-07 &30&66 
&Zn-67    &5.172E-08 &4.990E-08 &30&67 
&Zn-68    &2.396E-07 &2.316E-07 &30&68 
&Zn-70    &8.094E-09 &7.884E-09 &30&70 
&Ga-69    &2.364E-08 &2.275E-08 &31&69 
&Ga-71    &1.615E-08 &1.554E-08 &31&71 
&Ge-70    &2.685E-08 &2.579E-08 &32&70 
&Ge-72    &3.573E-08 &3.455E-08 &32&72 
&Ge-73    &1.010E-08 &9.773E-09 &32&73 
&Ge-74    &4.773E-08 &4.614E-08 &32&74 
&Ge-76    &1.008E-08 &9.815E-09 &32&76 
&As-75    &7.363E-09 &7.150E-09 &33&75 
&Se-74    &6.120E-10 &5.989E-10 &34&74 
&Se-76    &6.747E-09 &6.481E-09 &34&76 
&Se-77    &5.519E-09 &5.352E-09 &34&77 
&Se-78    &1.753E-08 &1.688E-08 &34&78 
&Se-80    &3.717E-08 &3.613E-08 &34&80 
&Se-82    &6.700E-09 &6.518E-09 &34&82 
&Br-79    &7.145E-09 &6.947E-09 &35&79 
&Br-81    &7.141E-09 &6.930E-09 &35&81 
&Kr-78    &1.993E-10 &1.950E-10 &36&78 
&Kr-80    &1.335E-09 &1.287E-09 &36&80 
&Kr-82    &6.917E-09 &6.598E-09 &36&82 
&Kr-83    &6.826E-09 &6.621E-09 &36&83 
