H Table: (M=1.0,Z=0.01)
H Lifetime: 9.900E+09
H Mfinal: 5.593E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &3.123E-01 &7.290E-01 &1 &1  
&H-2      &3.633E-06 &1.414E-05 &1 &2  
&He-3     &1.491E-04 &4.331E-05 &2 &3  
&He-4     &1.237E-01 &2.609E-01 &2 &4  
&Li-7     &1.665E-10 &3.803E-11 &3 &7  
&B-11     &6.293E-10 &1.428E-09 &5 &11 
&C-12     &6.964E-04 &1.712E-03 &6 &12 
&C-13     &3.298E-05 &2.078E-05 &6 &13 
&N-14     &3.513E-04 &5.294E-04 &7 &14 
&N-15     &6.607E-07 &2.085E-06 &7 &15 
&O-16     &2.122E-03 &4.812E-03 &8 &16 
&O-17     &8.663E-07 &1.907E-06 &8 &17 
&O-18     &4.515E-06 &1.086E-05 &8 &18 
&F-19     &1.258E-07 &2.805E-07 &9 &19 
&Ne-20    &4.005E-04 &9.089E-04 &10&20 
&Ne-21    &1.008E-06 &2.288E-06 &10&21 
&Ne-22    &3.473E-05 &7.351E-05 &10&22 
&Na-23    &8.853E-06 &2.000E-05 &11&23 
&Mg-24    &1.292E-04 &2.931E-04 &12&24 
&Mg-25    &1.704E-05 &3.867E-05 &12&25 
&Mg-26    &1.950E-05 &4.424E-05 &12&26 
&Al-27    &1.429E-05 &3.241E-05 &13&27 
&Si-28    &1.642E-04 &3.726E-04 &14&28 
&Si-29    &8.636E-06 &1.960E-05 &14&29 
&Si-30    &5.890E-06 &1.336E-05 &14&30 
&P-31     &1.566E-06 &3.553E-06 &15&31 
&Pb-206   &6.164E-10 &1.399E-09 &82&206
&Pb-207   &6.808E-10 &1.545E-09 &82&207
&S-32     &8.837E-05 &2.005E-04 &16&32 
&S-33     &7.196E-07 &1.632E-06 &16&33 
&S-34     &4.165E-06 &9.452E-06 &16&34 
&S-36     &1.780E-08 &4.036E-08 &16&36 
&Cl-35    &1.503E-06 &3.411E-06 &17&35 
&Cl-37    &5.085E-07 &1.153E-06 &17&37 
&Ar-36    &1.807E-05 &4.101E-05 &18&36 
&Ar-38    &3.468E-06 &7.871E-06 &18&38 
&Ar-40    &5.840E-09 &1.325E-08 &18&40 
&K-39     &8.593E-07 &1.950E-06 &19&39 
&K-40     &9.427E-11 &2.503E-10 &19&40 
&K-41     &6.538E-08 &1.479E-07 &19&41 
&Ca-40    &1.592E-05 &3.613E-05 &20&40 
&Ca-42    &1.116E-07 &2.532E-07 &20&42 
&Ca-43    &2.383E-08 &5.408E-08 &20&43 
&Ca-44    &3.768E-07 &8.551E-07 &20&44 
&Ca-46    &7.554E-10 &1.714E-09 &20&46 
&Ca-48    &3.685E-08 &8.362E-08 &20&48 
&Sc-45    &1.193E-08 &2.707E-08 &21&45 
&Ti-46    &7.121E-08 &1.616E-07 &22&46 
&Ti-47    &6.559E-08 &1.488E-07 &22&47 
&Ti-48    &6.640E-07 &1.507E-06 &22&48 
&Ti-49    &4.979E-08 &1.129E-07 &22&49 
&Ti-50    &4.866E-08 &1.104E-07 &22&50 
&V-50     &2.237E-10 &5.077E-10 &23&50 
&V-51     &9.118E-08 &2.069E-07 &23&51 
&Cr-50    &1.821E-07 &4.133E-07 &24&50 
&Cr-52    &3.652E-06 &8.288E-06 &24&52 
&Cr-53    &4.221E-07 &9.578E-07 &24&53 
&Cr-54    &1.071E-07 &2.429E-07 &24&54 
