H Table: (M=20.0,Z=0.01)
#H Lifetime: 9.915E+06
#H Mfinal: 2.770E+00
 Isotopes  Yields     X0         Z  A  
 H-1       8.054E+00  7.290E-01  1  1  
 H-2       1.043E-05  1.414E-05  1  2  
 He-3      3.814E-04  4.331E-05  2  3  
 He-4      6.460E+00  2.609E-01  2  4  
 Li-7      2.856E-11  3.803E-11  3  7  
 B-11      1.926E-08  1.428E-09  5  11 
 C-12      2.331E-01  1.712E-03  6  12 
 C-13      5.041E-04  2.078E-05  6  13 
 N-14      3.536E-02  5.294E-04  7  14 
 N-15      1.813E-05  2.085E-06  7  15 
 O-16      1.326E+00  4.812E-03  8  16 
 O-17      5.458E-05  1.907E-06  8  17 
 O-18      1.722E-04  1.086E-05  8  18 
 F-19      1.139E-05  2.805E-07  9  19 
 Ne-20     3.064E-01  9.089E-04  10 20 
 Ne-21     4.940E-04  2.288E-06  10 21 
 Ne-22     1.602E-02  7.351E-05  10 22 
 Na-23     5.902E-03  2.000E-05  11 23 
 Mg-24     5.501E-02  2.931E-04  12 24 
 Mg-25     9.009E-03  3.867E-05  12 25 
 Mg-26     1.348E-02  4.424E-05  12 26 
 Al-27     3.125E-03  3.241E-05  13 27 
 Si-28     5.115E-02  3.726E-04  14 28 
 Si-29     3.967E-03  1.960E-05  14 29 
 Si-30     3.460E-02  1.336E-05  14 30 
 P-31      3.823E-03  3.553E-06  15 31 
 Pb-206    2.842E-08  1.399E-09  82 206
 Pb-207    3.271E-08  1.545E-09  82 207
 S-32      1.185E-02  2.005E-04  16 32 
 S-33      1.233E-03  1.632E-06  16 33 
 S-34      5.068E-02  9.452E-06  16 34 
 S-36      1.555E-05  4.036E-08  16 36 
 Cl-35     1.845E-03  3.411E-06  17 35 
 Cl-37     1.066E-04  1.153E-06  17 37 
 Ar-36     1.288E-03  4.101E-05  18 36 
 Ar-38     6.765E-03  7.871E-06  18 38 
 Ar-40     5.770E-06  1.325E-08  18 40 
 K-39      3.657E-04  1.950E-06  19 39 
 K-40      6.564E-06  2.503E-10  19 40 
 K-41      8.868E-06  1.479E-07  19 41 
 Ca-40     5.516E-04  3.613E-05  20 40 
 Ca-42     1.172E-04  2.532E-07  20 42 
 Ca-43     7.972E-06  5.408E-08  20 43 
 Ca-44     2.717E-05  8.551E-07  20 44 
 Ca-46     1.001E-06  1.714E-09  20 46 
 Ca-48     1.447E-06  8.362E-08  20 48 
 Sc-45     4.294E-06  2.707E-08  21 45 
 Ti-46     5.738E-06  1.616E-07  22 46 
 Ti-47     3.701E-06  1.488E-07  22 47 
 Ti-48     2.365E-04  1.507E-06  22 48 
 Ti-49     2.326E-05  1.129E-07  22 49 
 Ti-50     2.526E-04  1.104E-07  22 50 
 V-50      3.310E-06  5.077E-10  23 50 
 V-51      3.423E-04  2.069E-07  23 51 
 Cr-50     2.048E-05  4.133E-07  24 50 
 Cr-52     2.432E-01  8.288E-06  24 52 
 Cr-53     1.028E-02  9.578E-07  24 53 
 Cr-54     4.036E-03  2.429E-07  24 54 
 Mn-55     2.661E-03  5.491E-06  25 55 
 Fe-54     2.024E-03  4.059E-05  26 54 
 Fe-56     2.645E-01  6.608E-04  26 56 
 Fe-57     5.079E-03  1.553E-05  26 57 
 Fe-58     5.001E-03  2.103E-06  26 58 
 Co-59     1.082E-03  1.996E-06  27 59 
 Ni-58     4.511E-04  2.855E-05  28 58 
 Ni-60     1.997E-03  1.138E-05  28 60 
 Ni-61     1.610E-04  5.029E-07  28 61 
 Ni-62     5.787E-04  1.630E-06  28 62 
 Ni-64     9.250E-05  4.284E-07  28 64 
 Cu-63     7.800E-05  3.300E-07  29 63 
 Cu-65     5.492E-05  1.517E-07  29 65 
 Zn-64     1.996E-05  5.654E-07  30 64 
 Zn-66     5.482E-05  3.345E-07  30 66 
 Zn-67     1.637E-05  4.990E-08  30 67 
 Zn-68     4.914E-05  2.316E-07  30 68 
 Zn-70     2.809E-06  7.884E-09  30 70 
 Ga-69     8.541E-06  2.275E-08  31 69 
 Ga-71     5.001E-06  1.554E-08  31 71 
 Ge-70     6.281E-06  2.579E-08  32 70 
 Ge-72     9.862E-06  3.455E-08  32 72 
 Ge-73     3.504E-06  9.773E-09  32 73 
 Ge-74     1.010E-05  4.614E-08  32 74 
 Ge-76     9.356E-07  9.815E-09  32 76 
 As-75     2.556E-06  7.150E-09  33 75 
 Se-74     7.034E-08  5.989E-10  34 74 
 Se-76     1.699E-06  6.481E-09  34 76 
 Se-77     9.899E-07  5.352E-09  34 77 
 Se-78     4.075E-06  1.688E-08  34 78 
 Se-80     2.638E-06  3.613E-08  34 80 
 Se-82     3.144E-07  6.518E-09  34 82 
 Br-79     1.103E-06  6.947E-09  35 79 
 Br-81     6.551E-07  6.930E-09  35 81 
 Kr-78     5.106E-09  1.950E-10  36 78 
 Kr-80     5.734E-07  1.287E-09  36 80 
 Kr-82     1.623E-06  6.598E-09  36 82 
 Kr-83     6.919E-07  6.621E-09  36 83 
 Kr-84     3.514E-06  3.301E-08  36 84 
 Kr-86     8.816E-07  1.022E-08  36 86 
 Rb-85     1.048E-06  6.412E-09  37 85 
 Rb-87     3.717E-07  2.531E-09  37 87 
 Sr-84     2.709E-09  1.614E-10  38 84 
