H Table: (M=12.0,Z=0.006)
#H Lifetime: 1.980E+07
#H Mfinal: 1.620E+00
 Isotopes  Yields     X0         Z  A  
 H-1       5.630E+00  7.380E-01  1  1  
 H-2       1.762E-05  1.432E-05  1  2  
 He-3      2.911E-04  4.248E-05  2  3  
 He-4      4.033E+00  2.559E-01  2  4  
 Li-7      8.081E-12  4.567E-12  3  7  
 B-11      1.498E-09  1.715E-10  5  11 
 C-12      1.021E-01  7.502E-04  6  12 
 C-13      1.668E-04  2.496E-06  6  13 
 N-14      1.219E-02  6.359E-05  7  14 
 N-15      1.435E-05  2.505E-07  7  15 
 O-16      1.929E-01  4.445E-03  8  16 
 O-17      1.626E-05  2.290E-07  8  17 
 O-18      4.884E-04  1.304E-06  8  18 
 F-19      3.162E-06  3.370E-08  9  19 
 Ne-20     8.310E-03  3.452E-04  10 20 
 Ne-21     2.880E-04  2.748E-07  10 21 
 Ne-22     1.814E-03  8.829E-06  10 22 
 Na-23     1.487E-04  2.402E-06  11 23 
 Mg-24     1.012E-02  9.070E-05  12 24 
 Mg-25     3.905E-04  4.644E-06  12 25 
 Mg-26     8.458E-04  5.314E-06  12 26 
 Al-27     2.580E-04  3.892E-06  13 27 
 Si-28     8.699E-02  9.075E-05  14 28 
 Si-29     7.215E-04  2.354E-06  14 29 
 Si-30     8.314E-04  1.605E-06  14 30 
 P-31      6.595E-04  4.268E-07  15 31 
 Pb-206    1.697E-09  1.680E-10  82 206
 Pb-207    1.761E-09  1.855E-10  82 207
 S-32      6.084E-02  6.558E-05  16 32 
 S-33      3.122E-04  1.961E-07  16 33 
 S-34      1.395E-03  1.135E-06  16 34 
 S-36      2.538E-06  4.848E-09  16 36 
 Cl-35     7.230E-04  4.096E-07  17 35 
 Cl-37     4.209E-05  1.385E-07  17 37 
 Ar-36     1.084E-02  9.828E-06  18 36 
 Ar-38     8.418E-04  9.453E-07  18 38 
 Ar-40     5.811E-07  1.592E-09  18 40 
 K-39      2.423E-04  2.342E-07  19 39 
 K-40      5.900E-07  3.006E-11  19 40 
 K-41      5.649E-06  1.777E-08  19 41 
 Ca-40     8.108E-03  7.234E-06  20 40 
 Ca-42     4.235E-05  3.041E-08  20 42 
 Ca-43     4.294E-06  6.496E-09  20 43 
 Ca-44     1.109E-04  1.027E-07  20 44 
 Ca-46     1.120E-07  2.059E-10  20 46 
 Ca-48     1.613E-07  1.004E-08  20 48 
 Sc-45     1.530E-06  3.251E-09  21 45 
 Ti-46     1.013E-05  1.941E-08  22 46 
 Ti-47     1.269E-06  1.788E-08  22 47 
 Ti-48     5.299E-04  3.226E-07  22 48 
 Ti-49     1.960E-05  1.356E-08  22 49 
 Ti-50     1.886E-07  1.326E-08  22 50 
 V-50      2.349E-08  6.098E-11  23 50 
 V-51      3.730E-05  2.485E-08  23 51 
 Cr-50     6.400E-05  4.964E-08  24 50 
 Cr-52     2.689E-03  9.954E-07  24 52 
 Cr-53     1.656E-04  1.150E-07  24 53 
 Cr-54     4.091E-07  2.917E-08  24 54 
 Mn-55     6.122E-04  6.595E-07  25 55 
 Fe-54     2.885E-03  4.875E-06  26 54 
 Fe-56     1.789E-01  7.937E-05  26 56 
 Fe-57     4.566E-03  1.866E-06  26 57 
 Fe-58     6.575E-06  2.526E-07  26 58 
 Co-59     2.388E-03  2.397E-07  27 59 
 Ni-58     8.028E-03  3.430E-06  28 58 
 Ni-60     1.096E-02  1.367E-06  28 60 
 Ni-61     1.103E-04  6.040E-08  28 61 
 Ni-62     1.950E-03  1.957E-07  28 62 
 Ni-64     7.488E-06  5.146E-08  28 64 
 Cu-63     9.645E-05  3.964E-08  29 63 
 Cu-65     9.208E-06  1.822E-08  29 65 
 Zn-64     8.713E-05  6.791E-08  30 64 
 Zn-66     3.466E-05  4.018E-08  30 66 
 Zn-67     1.685E-06  5.994E-09  30 67 
 Zn-68     1.870E-06  2.782E-08  30 68 
 Zn-70     2.077E-07  9.469E-10  30 70 
 Ga-69     9.583E-07  2.733E-09  31 69 
 Ga-71     3.886E-07  1.866E-09  31 71 
 Ge-70     6.962E-07  3.097E-09  32 70 
 Ge-72     9.575E-07  4.150E-09  32 72 
 Ge-73     1.306E-07  1.174E-09  32 73 
 Ge-74     2.154E-07  5.542E-09  32 74 
 Ge-76     1.156E-07  1.179E-09  32 76 
 As-75     1.934E-07  8.588E-10  33 75 
 Se-74     1.321E-07  7.194E-11  34 74 
 Se-76     2.909E-07  7.784E-10  34 76 
 Se-77     1.539E-07  6.429E-10  34 77 
 Se-78     2.312E-07  2.028E-09  34 78 
 Se-80     1.057E-07  4.340E-09  34 80 
 Se-82     1.557E-07  7.829E-10  34 82 
 Br-79     8.286E-08  8.343E-10  35 79 
 Br-81     7.595E-08  8.323E-10  35 81 
