H Table: (M=1.0,Z=0.006)
H Lifetime: 8.248E+09
H Mfinal: 5.678E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &3.103E-01 &7.380E-01 &1 &1  
&H-2      &3.358E-06 &1.432E-05 &1 &2  
&He-3     &1.434E-04 &4.248E-05 &2 &3  
&He-4     &1.192E-01 &2.559E-01 &2 &4  
&Li-7     &1.642E-12 &4.567E-12 &3 &7  
&B-11     &7.413E-11 &1.715E-10 &5 &11 
&C-12     &2.658E-04 &7.502E-04 &6 &12 
&C-13     &7.780E-06 &2.496E-06 &6 &13 
&N-14     &8.930E-05 &6.359E-05 &7 &14 
&N-15     &7.498E-08 &2.505E-07 &7 &15 
&O-16     &1.920E-03 &4.445E-03 &8 &16 
&O-17     &2.466E-07 &2.290E-07 &8 &17 
&O-18     &5.149E-07 &1.304E-06 &8 &18 
&F-19     &1.459E-08 &3.370E-08 &9 &19 
&Ne-20    &1.492E-04 &3.452E-04 &10&20 
&Ne-21    &1.188E-07 &2.748E-07 &10&21 
&Ne-22    &3.806E-06 &8.829E-06 &10&22 
&Na-23    &1.051E-06 &2.402E-06 &11&23 
&Mg-24    &3.920E-05 &9.070E-05 &12&24 
&Mg-25    &2.007E-06 &4.644E-06 &12&25 
&Mg-26    &2.297E-06 &5.314E-06 &12&26 
&Al-27    &1.682E-06 &3.892E-06 &13&27 
&Si-28    &3.922E-05 &9.075E-05 &14&28 
&Si-29    &1.017E-06 &2.354E-06 &14&29 
&Si-30    &6.938E-07 &1.605E-06 &14&30 
&P-31     &1.845E-07 &4.268E-07 &15&31 
&Pb-206   &7.262E-11 &1.680E-10 &82&206
&Pb-207   &8.020E-11 &1.855E-10 &82&207
&S-32     &2.835E-05 &6.558E-05 &16&32 
&S-33     &8.474E-08 &1.961E-07 &16&33 
&S-34     &4.907E-07 &1.135E-06 &16&34 
&S-36     &2.095E-09 &4.848E-09 &16&36 
&Cl-35    &1.770E-07 &4.096E-07 &17&35 
&Cl-37    &5.985E-08 &1.385E-07 &17&37 
&Ar-36    &4.248E-06 &9.828E-06 &18&36 
&Ar-38    &4.086E-07 &9.453E-07 &18&38 
&Ar-40    &6.880E-10 &1.592E-09 &18&40 
&K-39     &1.012E-07 &2.342E-07 &19&39 
&K-40     &8.268E-12 &3.006E-11 &19&40 
&K-41     &7.680E-09 &1.777E-08 &19&41 
&Ca-40    &3.127E-06 &7.234E-06 &20&40 
&Ca-42    &1.314E-08 &3.041E-08 &20&42 
&Ca-43    &2.808E-09 &6.496E-09 &20&43 
&Ca-44    &4.439E-08 &1.027E-07 &20&44 
&Ca-46    &8.901E-11 &2.059E-10 &20&46 
&Ca-48    &4.341E-09 &1.004E-08 &20&48 
&Sc-45    &1.405E-09 &3.251E-09 &21&45 
&Ti-46    &8.388E-09 &1.941E-08 &22&46 
&Ti-47    &7.727E-09 &1.788E-08 &22&47 
&Ti-48    &1.394E-07 &3.226E-07 &22&48 
&Ti-49    &5.859E-09 &1.356E-08 &22&49 
&Ti-50    &5.731E-09 &1.326E-08 &22&50 
&V-50     &2.636E-11 &6.098E-11 &23&50 
&V-51     &1.074E-08 &2.485E-08 &23&51 
&Cr-50    &2.145E-08 &4.964E-08 &24&50 
&Cr-52    &4.302E-07 &9.954E-07 &24&52 
&Cr-53    &4.972E-08 &1.150E-07 &24&53 
&Cr-54    &1.261E-08 &2.917E-08 &24&54 
&Mn-55    &2.850E-07 &6.595E-07 &25&55 
&Fe-54    &2.107E-06 &4.875E-06 &26&54 
&Fe-56    &3.430E-05 &7.937E-05 &26&56 
&Fe-57    &8.064E-07 &1.866E-06 &26&57 
&Fe-58    &1.092E-07 &2.526E-07 &26&58 
&Co-59    &1.036E-07 &2.397E-07 &27&59 
&Ni-58    &1.482E-06 &3.430E-06 &28&58 
&Ni-60    &5.907E-07 &1.367E-06 &28&60 
&Ni-61    &2.611E-08 &6.040E-08 &28&61 
&Ni-62    &8.460E-08 &1.957E-07 &28&62 
&Ni-64    &2.224E-08 &5.146E-08 &28&64 
&Cu-63    &1.713E-08 &3.964E-08 &29&63 
&Cu-65    &7.877E-09 &1.822E-08 &29&65 
&Zn-64    &2.935E-08 &6.791E-08 &30&64 
&Zn-66    &1.737E-08 &4.018E-08 &30&66 
&Zn-67    &2.591E-09 &5.994E-09 &30&67 
&Zn-68    &1.202E-08 &2.782E-08 &30&68 
&Zn-70    &4.093E-10 &9.469E-10 &30&70 
&Ga-69    &1.181E-09 &2.733E-09 &31&69 
&Ga-71    &8.066E-10 &1.866E-09 &31&71 
&Ge-70    &1.339E-09 &3.097E-09 &32&70 
&Ge-72    &1.794E-09 &4.150E-09 &32&72 
&Ge-73    &5.073E-10 &1.174E-09 &32&73 
&Ge-74    &2.395E-09 &5.542E-09 &32&74 
&Ge-76    &5.095E-10 &1.179E-09 &32&76 
&As-75    &3.712E-10 &8.588E-10 &33&75 
&Se-74    &3.109E-11 &7.194E-11 &34&74 
&Se-76    &3.364E-10 &7.784E-10 &34&76 
&Se-77    &2.779E-10 &6.429E-10 &34&77 
&Se-78    &8.764E-10 &2.028E-09 &34&78 
&Se-80    &1.876E-09 &4.340E-09 &34&80 
&Se-82    &3.384E-10 &7.829E-10 &34&82 
&Br-79    &3.606E-10 &8.343E-10 &35&79 
&Br-81    &3.597E-10 &8.323E-10 &35&81 
&Kr-78    &1.012E-11 &2.342E-11 &36&78 
&Kr-80    &6.683E-11 &1.546E-10 &36&80 
&Kr-82    &3.425E-10 &7.924E-10 &36&82 
&Kr-83    &3.437E-10 &7.952E-10 &36&83 
&Kr-84    &1.714E-09 &3.965E-09 &36&84 
&Kr-86    &5.307E-10 &1.228E-09 &36&86 
&Rb-85    &3.329E-10 &7.701E-10 &37&85 
&Rb-87    &1.267E-10 &3.040E-10 &37&87 
&Sr-84    &8.379E-12 &1.939E-11 &38&84 
&Sr-86    &1.517E-10 &3.510E-10 &38&86 
&Sr-87    &1.201E-10 &2.668E-10 &38&87 
&Sr-88    &1.301E-09 &3.009E-09 &38&88 
&Y-89     &3.191E-10 &7.383E-10 &39&89 
&Zr-90    &3.983E-10 &9.214E-10 &40&90 
&Zr-91    &8.784E-11 &2.032E-10 &40&91 
&Zr-92    &1.357E-10 &3.139E-10 &40&92 
&Zr-94    &1.405E-10 &3.251E-10 &40&94 
&Zr-96    &2.311E-11 &5.347E-11 &40&96 
&Nb-93    &4.932E-11 &1.141E-10 &41&93 
&Mo-92    &2.628E-11 &6.080E-11 &42&92 
&Mo-94    &1.674E-11 &3.872E-11 &42&94 
&Mo-95    &2.912E-11 &6.737E-11 &42&95 
&Mo-96    &3.082E-11 &7.131E-11 &42&96 
&Mo-97    &1.785E-11 &4.129E-11 &42&97 
&Mo-98    &4.554E-11 &1.054E-10 &42&98 
&Mo-100   &1.855E-11 &4.291E-11 &42&100
&Ru-96    &7.594E-12 &1.757E-11 &44&96 
&Ru-98    &2.614E-12 &6.048E-12 &44&98 
&Ru-99    &1.803E-11 &4.171E-11 &44&99 
&Ru-100   &1.798E-11 &4.160E-11 &44&100
&Ru-101   &2.459E-11 &5.690E-11 &44&101
&Ru-102   &4.594E-11 &1.063E-10 &44&102
&Ru-104   &2.764E-11 &6.395E-11 &44&104
&Rh-103   &2.738E-11 &6.334E-11 &45&103
&Pd-102   &1.101E-12 &2.547E-12 &46&102
&Pd-104   &1.226E-11 &2.836E-11 &46&104
&Pd-105   &2.481E-11 &5.740E-11 &46&105
&Pd-106   &3.065E-11 &7.092E-11 &46&106
&Pd-108   &3.024E-11 &6.996E-11 &46&108
&Pd-110   &1.364E-11 &3.156E-11 &46&110
&Ag-107   &2.035E-11 &4.708E-11 &47&107
&Ag-109   &1.926E-11 &4.456E-11 &47&109
&Cd-106   &1.647E-12 &3.811E-12 &48&106
&Cd-108   &1.195E-12 &2.765E-12 &48&108
&Cd-110   &1.708E-11 &3.952E-11 &48&110
&Cd-111   &1.766E-11 &4.087E-11 &48&111
&Cd-112   &3.360E-11 &7.773E-11 &48&112
&Cd-113   &1.717E-11 &3.972E-11 &48&113
