H Table: (M=4.0,Z=0.006)
#H Lifetime: 1.727E+08
#H Mfinal: 8.611E-01
 Isotopes  Yields     
 Dy-158    3.282E-13  
 Dy-160    2.990E-11  
 Dy-161    8.051E-11  
 Dy-162    1.435E-10  
 Dy-163    1.060E-10  
 Dy-164    1.811E-10  
 Ho-165    2.037E-10  
 Er-162    3.015E-13  
 Er-164    1.375E-11  
 Er-166    1.084E-10  
 Er-167    6.912E-11  
 Er-168    1.278E-10  
 Er-170    8.546E-11  
 Tm-169    5.066E-11  
 Yb-168    2.967E-13  
 Yb-170    2.286E-11  
 Yb-171    6.712E-11  
 Yb-172    1.147E-10  
 Yb-173    7.193E-11  
 Yb-174    2.199E-10  
 Yb-176    8.319E-11  
 Lu-175    5.585E-11  
 Lu-176    2.284E-11  
 Hf-174    2.308E-13  
 Hf-176    1.177E-11  
 Hf-177    4.628E-11  
 Hf-178    1.170E-10  
 Hf-179    4.753E-11  
 Hf-180    1.950E-10  
 Ta-180    4.810E-15  
 Ta-181    6.926E-11  
 W-180     1.794E-13  
 W-182     9.464E-11  
 W-183     5.746E-11  
 W-184     1.322E-10  
 W-186     9.177E-11  
 Re-185    4.383E-11  
 Re-187    4.828E-11  
 Os-184    1.332E-13  
 Os-186    3.543E-11  
 Os-187    1.732E-11  
 Os-188    1.652E-10  
 Os-189    1.288E-10  
 Os-190    2.639E-10  
 Os-192    3.463E-10  
 Ir-191    2.693E-10  
 Ir-193    4.566E-10  
 Pt-190    1.890E-13  
 Pt-192    2.587E-11  
 Pt-194    5.508E-10  
 Pt-195    5.123E-10  
 Pt-196    4.929E-10  
 Pt-198    1.267E-10  
 Au-197    2.444E-10  
 Hg-196    5.641E-13  
 Hg-198    1.415E-10  
 Hg-199    1.180E-10  
 Hg-200    2.516E-10  
 Hg-201    1.220E-10  
 Hg-202    3.622E-10  
 Hg-204    4.955E-11  
 Tl-203    1.773E-10  
 Tl-205    3.081E-10  
 Pb-204    1.845E-10  
 Pb-208    2.166E-08  
 Bi-209    1.386E-09  




















































































































































































































































































































































































































































































































































































































































































































































































































































































