H Table: (M=3.0,Z=0.006)
#H Lifetime: 3.639E+08
#H Mfinal: 7.097E-01
 Isotopes  Yields    
 H-1       1.613E+00 
 H-2       1.329E-10 
 He-3      3.346E-04 
 He-4      6.388E-01 
 Li-7      5.287E-11 
 B-11      3.928E-10 
 C-12      1.852E-02 
 C-13      4.139E-05 
 N-14      1.693E-03 
 N-15      2.757E-07 
 O-16      1.575E-02 
 O-17      1.816E-05 
 O-18      1.992E-06 
 F-19      1.121E-06 
 Ne-20     8.442E-04 
 Ne-21     1.703E-06 
 Ne-22     5.015E-04 
 Na-23     1.233E-05 
 Mg-24     2.097E-04 
 Mg-25     3.848E-05 
 Mg-26     9.236E-05 
 Al-27     1.022E-05 
 Si-28     2.079E-04 
 Si-29     5.687E-06 
 Si-30     4.777E-06 
 P-31      1.267E-06 
 Pb-206    1.655E-09 
 Pb-207    2.160E-09 
 S-32      1.491E-04 
 S-33      4.867E-07 
 S-34      2.760E-06 
 S-36      2.776E-08 
 Cl-35     9.289E-07 
 Cl-37     4.511E-07 
 Ar-36     2.223E-05 
 Ar-38     2.271E-06 
 Ar-40     1.874E-08 
 K-39      5.566E-07 
 K-40      1.990E-09 
 K-41      4.972E-08 
 Ca-40     1.640E-05 
 Ca-42     8.213E-08 
 Ca-43     1.831E-08 
 Ca-44     2.460E-07 
 Ca-46     3.081E-09 
 Ca-48     2.296E-08 
 Sc-45     1.054E-08 
 Ti-46     4.632E-08 
 Ti-47     4.153E-08 
 Ti-48     7.286E-07 
 Ti-49     3.594E-08 
 Ti-50     4.506E-08 
 V-50      1.372E-10 
 V-51      5.704E-08 
 Cr-50     1.117E-07 
 Cr-52     2.258E-06 
 Cr-53     2.613E-07 
 Cr-54     8.316E-08 
 Mn-55     1.497E-06 
 Fe-54     1.098E-05 
 Fe-56     1.796E-04 
 Fe-57     4.474E-06 
 Fe-58     1.339E-06 
 Co-59     7.878E-07 
 Ni-58     7.720E-06 
 Ni-60     3.379E-06 
 Ni-61     2.242E-07 
 Ni-62     6.660E-07 
 Ni-64     4.244E-07 
 Cu-63     2.524E-07 
 Cu-65     1.251E-07 
 Zn-64     1.604E-07 
 Zn-66     1.639E-07 
 Zn-67     3.020E-08 
 Zn-68     1.722E-07 
 Zn-70     2.693E-09 
 Ga-69     2.174E-08 
 Ga-71     1.521E-08 
 Ge-70     3.028E-08 
 Ge-72     3.324E-08 
 Ge-73     9.693E-09 
 Ge-74     5.461E-08 
