H Table: (M=2.0,Z=0.006)
#H Lifetime: 1.129E+09
#H Mfinal: 6.176E-01
 Isotopes  Yields    
 H-1       9.621E-01 
 H-2       4.529E-06 
 He-3      3.625E-04 
 He-4      3.862E-01 
 Li-7      4.186E-11 
 B-11      2.371E-10 
 C-12      1.783E-02 
 C-13      2.510E-05 
 N-14      7.846E-04 
 N-15      1.737E-07 
 O-16      1.328E-02 
 O-17      1.730E-05 
 O-18      1.239E-06 
 F-19      1.822E-06 
 Ne-20     5.049E-04 
 Ne-21     7.278E-07 
 Ne-22     7.521E-04 
 Na-23     9.941E-06 
 Mg-24     1.295E-04 
 Mg-25     2.011E-05 
 Mg-26     4.086E-05 
 Al-27     5.781E-06 
 Si-28     1.253E-04 
 Si-29     3.431E-06 
 Si-30     2.884E-06 
 P-31      7.249E-07 
 Pb-206    1.006E-09 
 Pb-207    1.300E-09 
 S-32      8.996E-05 
 S-33      3.148E-07 
 S-34      1.668E-06 
 S-36      1.625E-08 
 Cl-35     5.581E-07 
 Cl-37     3.201E-07 
 Ar-36     1.337E-05 
 Ar-38     1.386E-06 
 Ar-40     6.752E-09 
 K-39      3.361E-07 
 K-40      2.421E-09 
 K-41      3.492E-08 
 Ca-40     9.879E-06 
 Ca-42     5.434E-08 
 Ca-43     1.200E-08 
 Ca-44     1.502E-07 
 Ca-46     7.300E-10 
 Ca-48     1.385E-08 
 Sc-45     6.294E-09 
 Ti-46     2.873E-08 
 Ti-47     2.503E-08 
 Ti-48     4.365E-07 
 Ti-49     2.358E-08 
 Ti-50     2.826E-08 
 V-50      8.203E-11 
 V-51      3.424E-08 
 Cr-50     6.676E-08 
 Cr-52     1.360E-06 
 Cr-53     1.574E-07 
 Cr-54     5.417E-08 
 Mn-55     9.113E-07 
 Fe-54     6.571E-06 
 Fe-56     1.081E-04 
 Fe-57     2.845E-06 
 Fe-58     1.056E-06 
 Co-59     5.273E-07 
 Ni-58     4.622E-06 
 Ni-60     2.053E-06 
 Ni-61     1.613E-07 
 Ni-62     4.394E-07 
 Ni-64     2.092E-07 
 Cu-63     1.583E-07 
 Cu-65     7.782E-08 
 Zn-64     1.151E-07 
 Zn-66     1.022E-07 
 Zn-67     1.829E-08 
 Zn-68     8.683E-08 
 Zn-70     1.316E-09 
 Ga-69     1.044E-08 
 Ga-71     7.428E-09 
 Ge-70     1.383E-08 
