H Table: (M=20.0,Z=0.006)
#H Lifetime: 1.004E+07
#H Mfinal: 2.790E+00
 Isotopes  Yields     X0         Z  A  
 H-1       8.074E+00  7.380E-01  1  1  
 H-2       8.810E-06  1.432E-05  1  2  
 He-3      3.705E-04  4.248E-05  2  3  
 He-4      6.403E+00  2.559E-01  2  4  
 Li-7      4.387E-12  4.567E-12  3  7  
 B-11      2.210E-09  1.715E-10  5  11 
 C-12      1.481E-01  7.502E-04  6  12 
 C-13      2.069E-04  2.496E-06  6  13 
 N-14      2.215E-02  6.359E-05  7  14 
 N-15      9.135E-06  2.505E-07  7  15 
 O-16      1.448E+00  4.445E-03  8  16 
 O-17      1.763E-05  2.290E-07  8  17 
 O-18      2.905E-05  1.304E-06  8  18 
 F-19      8.829E-06  3.370E-08  9  19 
 Ne-20     1.397E-02  3.452E-04  10 20 
 Ne-21     7.423E-05  2.748E-07  10 21 
 Ne-22     6.669E-03  8.829E-06  10 22 
 Na-23     3.707E-04  2.402E-06  11 23 
 Mg-24     7.421E-02  9.070E-05  12 24 
 Mg-25     1.274E-03  4.644E-06  12 25 
 Mg-26     2.514E-03  5.314E-06  12 26 
 Al-27     1.523E-03  3.892E-06  13 27 
 Si-28     3.623E-01  9.075E-05  14 28 
 Si-29     4.261E-03  2.354E-06  14 29 
 Si-30     6.004E-03  1.605E-06  14 30 
 P-31      3.062E-03  4.268E-07  15 31 
 Pb-206    2.784E-09  1.680E-10  82 206
 Pb-207    2.654E-09  1.855E-10  82 207
 S-32      1.935E-01  6.558E-05  16 32 
 S-33      1.813E-03  1.961E-07  16 33 
 S-34      9.702E-03  1.135E-06  16 34 
 S-36      1.574E-05  4.848E-09  16 36 
 Cl-35     2.388E-03  4.096E-07  17 35 
 Cl-37     1.551E-04  1.385E-07  17 37 
 Ar-36     3.736E-02  9.828E-06  18 36 
 Ar-38     3.533E-03  9.453E-07  18 38 
 Ar-40     2.163E-06  1.592E-09  18 40 
 K-39      2.949E-03  2.342E-07  19 39 
 K-40      5.165E-06  3.006E-11  19 40 
 K-41      5.696E-05  1.777E-08  19 41 
 Ca-40     2.436E-02  7.234E-06  20 40 
 Ca-42     2.668E-04  3.041E-08  20 42 
 Ca-43     1.601E-04  6.496E-09  20 43 
 Ca-44     7.189E-04  1.027E-07  20 44 
 Ca-46     2.881E-07  2.059E-10  20 46 
 Ca-48     3.131E-07  1.004E-08  20 48 
 Sc-45     4.250E-05  3.251E-09  21 45 
 Ti-46     4.820E-05  1.941E-08  22 46 
 Ti-47     4.285E-05  1.788E-08  22 47 
 Ti-48     1.065E-03  3.226E-07  22 48 
 Ti-49     8.215E-05  1.356E-08  22 49 
 Ti-50     4.441E-07  1.326E-08  22 50 
 V-50      2.306E-07  6.098E-11  23 50 
 V-51      1.348E-04  2.485E-08  23 51 
 Cr-50     3.423E-04  4.964E-08  24 50 
 Cr-52     1.020E-02  9.954E-07  24 52 
 Cr-53     5.356E-04  1.150E-07  24 53 
 Cr-54     9.000E-07  2.917E-08  24 54 
 Mn-55     1.792E-03  6.595E-07  25 55 
 Fe-54     9.019E-03  4.875E-06  26 54 
 Fe-56     3.157E-01  7.937E-05  26 56 
 Fe-57     2.809E-03  1.866E-06  26 57 
 Fe-58     1.457E-05  2.526E-07  26 58 
 Co-59     5.131E-04  2.397E-07  27 59 
 Ni-58     1.250E-02  3.430E-06  28 58 
 Ni-60     4.346E-03  1.367E-06  28 60 
 Ni-61     5.620E-05  6.040E-08  28 61 
 Ni-62     1.332E-03  1.957E-07  28 62 
 Ni-64     2.303E-05  5.146E-08  28 64 
 Cu-63     1.636E-05  3.964E-08  29 63 
 Cu-65     1.365E-05  1.822E-08  29 65 
 Zn-64     1.182E-05  6.791E-08  30 64 
 Zn-66     4.335E-05  4.018E-08  30 66 
 Zn-67     6.774E-06  5.994E-09  30 67 
 Zn-68     1.356E-05  2.782E-08  30 68 
 Zn-70     8.782E-07  9.469E-10  30 70 
 Ga-69     5.831E-06  2.733E-09  31 69 
 Ga-71     3.167E-06  1.866E-09  31 71 
 Ge-70     7.252E-06  3.097E-09  32 70 
 Ge-72     1.040E-05  4.150E-09  32 72 
 Ge-73     6.239E-07  1.174E-09  32 73 
 Ge-74     4.791E-06  5.542E-09  32 74 
 Ge-76     1.418E-06  1.179E-09  32 76 
 As-75     3.936E-06  8.588E-10  33 75 
 Se-74     1.580E-06  7.194E-11  34 74 
 Se-76     3.981E-06  7.784E-10  34 76 
 Se-77     2.143E-06  6.429E-10  34 77 
 Se-78     2.114E-06  2.028E-09  34 78 
 Se-80     1.960E-06  4.340E-09  34 80 
 Se-82     2.514E-06  7.829E-10  34 82 
 Br-79     5.038E-07  8.343E-10  35 79 
 Br-81     9.924E-07  8.323E-10  35 81 
 Kr-78     3.660E-07  2.342E-11  36 78 
 Kr-80     1.090E-06  1.546E-10  36 80 
 Kr-82     7.393E-07  7.924E-10  36 82 
 Kr-83     5.738E-07  7.952E-10  36 83 
 Kr-84     1.206E-06  3.965E-09  36 84 
 Kr-86     5.113E-06  1.228E-09  36 86 
 Rb-85     5.843E-07  7.701E-10  37 85 
 Rb-87     1.734E-06  3.040E-10  37 87 
 Sr-84     4.482E-07  1.939E-11  38 84 
 Sr-86     1.033E-06  3.510E-10  38 86 
 Sr-87     1.306E-07  2.668E-10  38 87 
 Sr-88     9.851E-06  3.009E-09  38 88 
 Y-89      2.575E-06  7.383E-10  39 89 
 Zr-90     3.012E-06  9.214E-10  40 90 
 Zr-91     4.831E-08  2.032E-10  40 91 
 Zr-92     2.000E-07  3.139E-10  40 92 
 Zr-94     1.363E-08  3.251E-10  40 94 
 Zr-96     6.482E-09  5.347E-11  40 96 
 Nb-93     1.295E-08  1.141E-10  41 93 
 Mo-92     3.995E-08  6.080E-11  42 92 
 Mo-94     5.418E-08  3.872E-11  42 94 
 Mo-95     6.164E-09  6.737E-11  42 95 
 Mo-96     4.599E-08  7.131E-11  42 96 
 Mo-97     4.026E-09  4.129E-11  42 97 
 Mo-98     3.601E-09  1.054E-10  42 98 
 Mo-100    1.205E-09  4.291E-11  42 100
 Ru-96     1.017E-08  1.757E-11  44 96 
 Ru-98     2.226E-08  6.048E-12  44 98 
 Ru-99     2.047E-09  4.171E-11  44 99 
 Ru-100    5.923E-08  4.160E-11  44 100
 Ru-101    4.059E-09  5.690E-11  44 101
 Ru-102    4.116E-09  1.063E-10  44 102
 Ru-104    2.258E-09  6.395E-11  44 104
 Rh-103    4.194E-09  6.334E-11  45 103
 Pd-102    2.121E-08  2.547E-12  46 102
 Pd-104    2.118E-08  2.836E-11  46 104
 Pd-105    3.421E-09  5.740E-11  46 105
 Pd-106    2.828E-08  7.092E-11  46 106
 Pd-108    1.831E-09  6.996E-11  46 108
 Pd-110    8.868E-10  3.156E-11  46 110
 Ag-107    2.794E-09  4.708E-11  47 107
 Ag-109    1.930E-09  4.456E-11  47 109
 Cd-106    1.324E-08  3.811E-12  48 106
 Cd-108    1.875E-08  2.765E-12  48 108
 Cd-110    5.321E-08  3.952E-11  48 110
 Cd-111    2.929E-09  4.087E-11  48 111
 Cd-112    7.609E-09  7.773E-11  48 112
 Cd-113    6.472E-10  3.972E-11  48 113
 Cd-114    1.841E-09  9.420E-11  48 114
 Cd-116    6.278E-10  2.499E-11  48 116
 In-113    9.208E-10  1.564E-12  49 113
 In-115    7.569E-10  3.552E-11  49 115
 Sn-112    2.624E-08  7.333E-12  50 112
 Sn-114    8.015E-08  5.065E-12  50 114
 Sn-115    4.919E-10  2.629E-12  50 115
 Sn-116    3.257E-08  1.137E-10  50 116
 Sn-117    2.444E-09  6.055E-11  50 117
 Sn-118    1.641E-08  1.927E-10  50 118
 Sn-119    1.377E-09  6.888E-11  50 119
 Sn-120    4.299E-08  2.637E-10  50 120
 Sn-122    8.497E-10  3.808E-11  50 122
 Sn-124    3.222E-09  4.840E-11  50 124
 Sb-121    9.260E-10  3.794E-11  51 121
 Sb-123    4.440E-10  2.884E-11  51 123
 Te-120    2.821E-09  9.779E-13  52 120
 Te-122    2.203E-08  2.696E-11  52 122
 Te-123    1.828E-09  9.480E-12  52 123
 Te-124    2.862E-09  5.069E-11  52 124
 Te-125    1.733E-09  7.575E-11  52 125
 Te-126    3.797E-09  2.027E-10  52 126
 Te-128    7.467E-09  3.443E-10  52 128
 Te-130    5.561E-09  3.730E-10  52 130
 I-127     1.959E-09  8.763E-11  53 127
 Xe-124    6.333E-09  1.327E-12  54 124
 Xe-126    3.663E-09  1.171E-12  54 126
 Xe-128    2.400E-08  2.368E-11  54 128
 Xe-129    5.142E-09  2.938E-10  54 129
 Xe-130    1.018E-09  4.723E-11  54 130
 Xe-131    3.745E-09  2.369E-10  54 131
 Xe-132    4.594E-09  2.886E-10  54 132
 Xe-134    4.386E-09  1.074E-10  54 134
 Xe-136    2.391E-09  8.878E-11  54 136
 Cs-133    1.846E-09  8.564E-11  55 133
 Ba-130    1.873E-08  1.090E-12  56 130
 Ba-132    3.111E-09  1.058E-12  56 132
 Ba-134    2.081E-09  2.566E-11  56 134
 Ba-135    1.291E-09  7.050E-11  56 135
 Ba-136    1.570E-08  8.461E-11  56 136
 Ba-137    1.892E-09  1.219E-10  56 137
 Ba-138    2.463E-08  7.838E-10  56 138
 La-138    3.058E-12  9.633E-14  57 138
 La-139    3.872E-09  1.075E-10  57 139
 Ce-136    1.517E-09  5.034E-13  58 136
 Ce-138    1.105E-09  6.893E-13  58 138
