H Table: (M=1.65,Z=0.006)
H Lifetime: 1.644E+09
H Mfinal: 6.140E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &7.341E-01 &7.380E-01 &1 &1  
&Zr-96    &7.255E-11 &5.347E-11 &40&96 
&Nb-93    &1.426E-10 &1.141E-10 &41&93 
&Mo-92    &6.207E-11 &6.080E-11 &42&92 
&Mo-94    &3.980E-11 &3.872E-11 &42&94 
&Mo-95    &7.992E-11 &6.737E-11 &42&95 
&Mo-96    &9.148E-11 &7.131E-11 &42&96 
&Mo-97    &4.857E-11 &4.129E-11 &42&97 
&Mo-98    &1.298E-10 &1.054E-10 &42&98 
&Mo-100   &4.522E-11 &4.291E-11 &42&100
&Ru-96    &1.792E-11 &1.757E-11 &44&96 
&Ru-98    &6.173E-12 &6.048E-12 &44&98 
&Ru-99    &4.560E-11 &4.171E-11 &44&99 
&Ru-100   &5.295E-11 &4.160E-11 &44&100
&Ru-101   &6.043E-11 &5.690E-11 &44&101
&Ru-102   &1.237E-10 &1.063E-10 &44&102
&Ru-104   &6.628E-11 &6.395E-11 &44&104
&Rh-103   &6.735E-11 &6.334E-11 &45&103
&Pd-102   &2.597E-12 &2.547E-12 &46&102
&Pd-104   &3.683E-11 &2.836E-11 &46&104
&Pd-105   &6.070E-11 &5.740E-11 &46&105
&Pd-106   &8.210E-11 &7.092E-11 &46&106
&Pd-108   &8.369E-11 &6.996E-11 &46&108
&Pd-110   &3.313E-11 &3.156E-11 &46&110
&Ag-107   &4.994E-11 &4.708E-11 &47&107
&Ag-109   &4.904E-11 &4.456E-11 &47&109
&Cd-106   &3.886E-12 &3.811E-12 &48&106
&Cd-108   &2.833E-12 &2.765E-12 &48&108
&Cd-110   &5.052E-11 &3.952E-11 &48&110
&Cd-111   &4.524E-11 &4.087E-11 &48&111
&Cd-112   &9.300E-11 &7.773E-11 &48&112
&Cd-113   &4.453E-11 &3.972E-11 &48&113
&Cd-114   &1.164E-10 &9.420E-11 &48&114
&Cd-116   &2.827E-11 &2.499E-11 &48&116
&In-113   &1.595E-12 &1.564E-12 &49&113
&In-115   &4.035E-11 &3.552E-11 &49&115
&Sn-112   &7.478E-12 &7.333E-12 &50&112
&Sn-114   &5.173E-12 &5.065E-12 &50&114
&Sn-115   &2.685E-12 &2.629E-12 &50&115
&Sn-116   &1.418E-10 &1.137E-10 &50&116
&Sn-117   &7.037E-11 &6.055E-11 &50&117
&Sn-118   &2.390E-10 &1.927E-10 &50&118
&Sn-119   &8.313E-11 &6.888E-11 &50&119
&Sn-120   &3.361E-10 &2.637E-10 &50&120
&Sn-122   &4.653E-11 &3.808E-11 &50&122
&Sn-124   &4.969E-11 &4.840E-11 &50&124
&Sb-121   &4.409E-11 &3.794E-11 &51&121
&Sb-123   &3.065E-11 &2.884E-11 &51&123
&Te-120   &9.971E-13 &9.779E-13 &52&120
&Te-122   &3.553E-11 &2.696E-11 &52&122
&Te-123   &1.244E-11 &9.480E-12 &52&123
&Te-124   &6.806E-11 &5.069E-11 &52&124
&Te-125   &8.268E-11 &7.575E-11 &52&125
&Te-126   &2.380E-10 &2.027E-10 &52&126
&Te-128   &3.549E-10 &3.443E-10 &52&128
&Te-130   &3.825E-10 &3.730E-10 &52&130
&I-127    &9.351E-11 &8.763E-11 &53&127
&Xe-124   &1.353E-12 &1.327E-12 &54&124
&Xe-126   &1.194E-12 &1.171E-12 &54&126
&Xe-128   &3.389E-11 &2.368E-11 &54&128
&Xe-129   &3.039E-10 &2.938E-10 &54&129
&Xe-130   &6.937E-11 &4.723E-11 &54&130
&Xe-131   &2.499E-10 &2.369E-10 &54&131
&Xe-132   &3.387E-10 &2.886E-10 &54&132
&Xe-134   &1.157E-10 &1.074E-10 &54&134
&Xe-136   &9.189E-11 &8.878E-11 &54&136
&Cs-133   &9.367E-11 &8.564E-11 &55&133
&Ba-130   &1.111E-12 &1.090E-12 &56&130
&Ba-132   &1.079E-12 &1.058E-12 &56&132
&Ba-134   &3.993E-11 &2.566E-11 &56&134
&Ba-135   &8.155E-11 &7.050E-11 &56&135
&Ba-136   &1.310E-10 &8.461E-11 &56&136
&Ba-137   &1.641E-10 &1.219E-10 &56&137
&Ba-138   &1.301E-09 &7.838E-10 &56&138
&La-138   &9.731E-14 &9.633E-14 &57&138
&La-139   &1.687E-10 &1.075E-10 &57&139
&Ce-136   &5.133E-13 &5.034E-13 &58&136
&Ce-138   &7.033E-13 &6.893E-13 &58&138
&Ce-140   &4.275E-10 &2.464E-10 &58&140
&Ce-142   &3.817E-11 &3.140E-11 &58&142
&Pr-141   &6.050E-11 &4.150E-11 &59&141
&Nd-142   &1.057E-10 &5.957E-11 &60&142
