H Table: (M=6.0,Z=0.006)
#H Lifetime: 6.880E+07
#H Mfinal: 1.053E+00
 Isotopes  Yields     X0         Z  A  
 H-1       3.142E+00  7.380E-01  1  1  
 H-2       1.503E-08  1.432E-05  1  2  
 He-3      1.557E-05  4.248E-05  2  3  
 He-4      1.771E+00  2.559E-01  2  4  
 Li-7      3.321E-08  7.774E-10  3  7  
 B-11      8.484E-10  1.715E-10  5  11 
 C-12      1.313E-03  7.502E-04  6  12 
 C-13      1.855E-04  2.496E-06  6  13 
 N-14      1.453E-02  6.359E-05  7  14 
 N-15      6.201E-07  2.505E-07  7  15 
 O-16      1.403E-02  4.445E-03  8  16 
 O-17      7.579E-05  2.290E-07  8  17 
 O-18      3.119E-07  1.304E-06  8  18 
 F-19      3.147E-08  3.370E-08  9  19 
 Ne-20     1.712E-03  3.452E-04  10 20 
 Ne-21     2.834E-07  2.748E-07  10 21 
 Ne-22     8.510E-05  8.829E-06  10 22 
 Na-23     1.081E-05  2.402E-06  11 23 
 Mg-24     1.807E-04  9.070E-05  12 24 
 Mg-25     3.144E-04  4.644E-06  12 25 
 Mg-26     8.474E-05  5.314E-06  12 26 
 Al-27     2.226E-05  3.892E-06  13 27 
 Si-28     4.518E-04  9.075E-05  14 28 
 Si-29     1.211E-05  2.354E-06  14 29 
 Si-30     8.992E-06  1.605E-06  14 30 
 P-31      2.481E-06  4.268E-07  15 31 
 Pb-206    1.016E-09  1.680E-10  82 206
 Pb-207    1.101E-09  1.855E-10  82 207
 S-32      3.241E-04  6.558E-05  16 32 
 S-33      9.951E-07  1.961E-07  16 33 
 S-34      5.683E-06  1.135E-06  16 34 
 S-36      3.394E-08  4.848E-09  16 36 
 Cl-35     2.024E-06  4.096E-07  17 35 
 Cl-37     7.510E-07  1.385E-07  17 37 
 Ar-36     4.850E-05  9.828E-06  18 36 
 Ar-38     4.704E-06  9.453E-07  18 38 
 Ar-40     1.836E-08  1.592E-09  18 40 
 K-39      1.166E-06  2.342E-07  19 39 
 K-40      1.250E-09  3.006E-11  19 40 
 K-41      1.036E-07  1.777E-08  19 41 
 Ca-40     3.572E-05  7.234E-06  20 40 
 Ca-42     1.537E-07  3.041E-08  20 42 
 Ca-43     3.297E-08  6.496E-09  20 43 
 Ca-44     5.118E-07  1.027E-07  20 44 
 Ca-46     4.113E-09  2.059E-10  20 46 
 Ca-48     4.979E-08  1.004E-08  20 48 
 Sc-45     1.776E-08  3.251E-09  21 45 
 Ti-46     9.636E-08  1.941E-08  22 46 
 Ti-47     8.841E-08  1.788E-08  22 47 
 Ti-48     1.591E-06  3.226E-07  22 48 
 Ti-49     7.123E-08  1.356E-08  22 49 
 Ti-50     7.031E-08  1.326E-08  22 50 
 V-50      2.993E-10  6.098E-11  23 50 
 V-51      1.238E-07  2.485E-08  23 51 
 Cr-50     2.435E-07  4.964E-08  24 50 
 Cr-52     4.917E-06  9.954E-07  24 52 
