H Table: (M=1.65,Z=0.02)
H Lifetime: 2.272E+09
H Mfinal: 6.510E-01
&Isotopes &Yields    &X0        &Z &A  
&H-1      &6.849E-01 &7.064E-01 &1 &1  
&H-2      &4.412E-06 &1.371E-05 &1 &2  
&He-3     &3.661E-04 &4.540E-05 &2 &3  
&He-4     &2.907E-01 &2.735E-01 &2 &4  
&Li-7     &2.613E-11 &7.605E-11 &3 &7  
&B-11     &2.853E-09 &2.856E-09 &5 &11 
&C-12     &4.647E-03 &3.425E-03 &6 &12 
&C-13     &1.033E-04 &4.156E-05 &6 &13 
&N-14     &2.325E-03 &1.059E-03 &7 &14 
&N-15     &2.165E-06 &4.171E-06 &7 &15 
&O-16     &9.983E-03 &9.624E-03 &8 &16 
&O-17     &1.185E-05 &3.813E-06 &8 &17 
&O-18     &1.666E-05 &2.171E-05 &8 &18 
&F-19     &7.602E-07 &5.611E-07 &9 &19 
&Ne-20    &1.815E-03 &1.818E-03 &10&20 
&Ne-21    &4.553E-06 &4.575E-06 &10&21 
&Ne-22    &2.809E-04 &1.470E-04 &10&22 
&Na-23    &4.409E-05 &4.000E-05 &11&23 
&Mg-24    &5.873E-04 &5.862E-04 &12&24 
&Mg-25    &7.837E-05 &7.733E-05 &12&25 
&Mg-26    &9.169E-05 &8.848E-05 &12&26 
&Al-27    &6.518E-05 &6.481E-05 &13&27 
&Si-28    &7.445E-04 &7.453E-04 &14&28 
&Si-29    &3.920E-05 &3.919E-05 &14&29 
&Si-30    &2.682E-05 &2.673E-05 &14&30 
&P-31     &7.109E-06 &7.106E-06 &15&31 
&Pb-206   &2.805E-09 &2.798E-09 &82&206
&Pb-207   &3.092E-09 &3.090E-09 &82&207
&S-32     &4.006E-04 &4.011E-04 &16&32 
&S-33     &3.290E-06 &3.265E-06 &16&33 
&S-34     &1.890E-05 &1.890E-05 &16&34 
&S-36     &8.448E-08 &8.073E-08 &16&36 
&Cl-35    &6.808E-06 &6.821E-06 &17&35 
&Cl-37    &2.360E-06 &2.306E-06 &17&37 
&Ar-36    &8.188E-05 &8.202E-05 &18&36 
&Ar-38    &1.574E-05 &1.574E-05 &18&38 
&Ar-40    &2.685E-08 &2.650E-08 &18&40 
&K-39     &3.897E-06 &3.900E-06 &19&39 
&K-40     &2.564E-09 &5.005E-10 &19&40 
&K-41     &3.103E-07 &2.959E-07 &19&41 
&Ca-40    &7.214E-05 &7.225E-05 &20&40 
&Ca-42    &5.111E-07 &5.063E-07 &20&42 
&Ca-43    &1.088E-07 &1.082E-07 &20&43 
&Ca-44    &1.708E-06 &1.710E-06 &20&44 
&Ca-46    &3.444E-09 &3.428E-09 &20&46 
&Ca-48    &1.671E-07 &1.672E-07 &20&48 
&Sc-45    &5.475E-08 &5.414E-08 &21&45 
&Ti-46    &3.229E-07 &3.232E-07 &22&46 
&Ti-47    &2.968E-07 &2.977E-07 &22&47 
&Ti-48    &3.005E-06 &3.014E-06 &22&48 
&Ti-49    &2.311E-07 &2.257E-07 &22&49 
&Ti-50    &2.229E-07 &2.208E-07 &22&50 
&V-50     &1.011E-09 &1.015E-09 &23&50 
&V-51     &4.138E-07 &4.138E-07 &23&51 
&Cr-50    &8.231E-07 &8.265E-07 &24&50 
&Cr-52    &1.655E-05 &1.658E-05 &24&52 
&Cr-53    &1.913E-06 &1.916E-06 &24&53 
&Cr-54    &4.969E-07 &4.858E-07 &24&54 
&Mn-55    &1.105E-05 &1.098E-05 &25&55 
&Fe-54    &8.091E-05 &8.118E-05 &26&54 
&Fe-56    &1.319E-03 &1.322E-03 &26&56 
&Fe-57    &3.164E-05 &3.107E-05 &26&57 
&Fe-58    &4.665E-06 &4.207E-06 &26&58 
&Co-59    &4.102E-06 &3.991E-06 &27&59 
&Ni-58    &5.692E-05 &5.711E-05 &28&58 
&Ni-60    &2.276E-05 &2.276E-05 &28&60 
&Ni-61    &1.040E-06 &1.006E-06 &28&61 
&Ni-62    &3.285E-06 &3.259E-06 &28&62 
&Ni-64    &8.600E-07 &8.568E-07 &28&64 
&Cu-63    &6.716E-07 &6.600E-07 &29&63 
&Cu-65    &3.070E-07 &3.035E-07 &29&65 
&Zn-64    &1.130E-06 &1.131E-06 &30&64 
&Zn-66    &6.693E-07 &6.690E-07 &30&66 
&Zn-67    &1.001E-07 &9.980E-08 &30&67 
&Zn-68    &4.640E-07 &4.632E-07 &30&68 
&Zn-70    &1.573E-08 &1.577E-08 &30&70 
&Ga-69    &4.571E-08 &4.551E-08 &31&69 
&Ga-71    &3.121E-08 &3.108E-08 &31&71 
&Ge-70    &5.186E-08 &5.157E-08 &32&70 
&Ge-72    &6.918E-08 &6.910E-08 &32&72 
&Ge-73    &1.956E-08 &1.955E-08 &32&73 
&Ge-74    &9.243E-08 &9.228E-08 &32&74 
&Ge-76    &1.958E-08 &1.963E-08 &32&76 
&As-75    &1.428E-08 &1.430E-08 &33&75 
&Se-74    &1.190E-09 &1.198E-09 &34&74 
&Se-76    &1.304E-08 &1.296E-08 &34&76 
&Se-77    &1.070E-08 &1.070E-08 &34&77 
&Se-78    &3.390E-08 &3.376E-08 &34&78 
&Se-80    &7.214E-08 &7.226E-08 &34&80 
&Se-82    &1.301E-08 &1.304E-08 &34&82 
&Br-79    &1.385E-08 &1.389E-08 &35&79 
&Br-81    &1.386E-08 &1.386E-08 &35&81 
&Kr-78    &3.875E-10 &3.900E-10 &36&78 
&Kr-80    &2.597E-09 &2.575E-09 &36&80 
