H Table: (M=20.0,Z=0.02)
#H Lifetime: 9.589E+06
#H Mfinal: 2.730E+00
 Isotopes  Yields    
 H-1       8.105E+00 
 H-2       3.163E-05 
 He-3      3.824E-04 
 He-4      6.647E+00 
 Li-7      1.768E-10 
 B-11      3.860E-08 
 C-12      2.041E-01 
 C-13      1.030E-03 
 N-14      6.933E-02 
 N-15      4.603E-05 
 O-16      1.541E+00 
 O-17      8.067E-05 
 O-18      2.187E-03 
 F-19      1.348E-05 
 Ne-20     2.676E-01 
 Ne-21     1.397E-03 
 Ne-22     1.674E-02 
 Na-23     5.977E-03 
 Mg-24     1.053E-01 
 Mg-25     1.354E-02 
 Mg-26     2.128E-02 
 Al-27     5.693E-03 
 Si-28     1.220E-01 
 Si-29     1.545E-02 
 Si-30     1.493E-02 
 P-31      4.791E-03 
 Pb-206    6.377E-08 
 Pb-207    5.604E-08 
 S-32      5.119E-02 
 S-33      1.400E-03 
 S-34      1.329E-02 
 S-36      9.690E-05 
 Cl-35     2.549E-03 
 Cl-37     1.670E-04 
 Ar-36     4.325E-03 
 Ar-38     3.112E-03 
 Ar-40     2.517E-05 
 K-39      5.509E-04 
 K-40      4.293E-06 
 K-41      2.362E-05 
 Ca-40     1.308E-03 
 Ca-42     7.767E-05 
 Ca-43     1.389E-05 
 Ca-44     3.690E-05 
 Ca-46     5.151E-06 
 Ca-48     4.837E-06 
 Sc-45     7.659E-06 
 Ti-46     1.455E-05 
 Ti-47     1.085E-05 
 Ti-48     4.732E-05 
 Ti-49     6.967E-06 
 Ti-50     1.084E-05 
 V-50      2.794E-07 
 V-51      1.025E-05 
 Cr-50     1.546E-05 
 Cr-52     2.568E-04 
 Cr-53     3.169E-05 
 Cr-54     2.267E-05 
 Mn-55     1.749E-04 
 Fe-54     1.173E-03 
 Fe-56     1.904E-02 
 Fe-57     6.200E-04 
 Fe-58     7.157E-04 
 Co-59     4.604E-04 
 Ni-58     8.066E-04 
 Ni-60     1.169E-03 
 Ni-61     2.801E-04 
 Ni-62     1.029E-03 
 Ni-64     4.904E-04 
 Cu-63     2.947E-04 
 Cu-65     1.734E-04 
 Zn-64     2.956E-05 
 Zn-66     1.851E-04 
 Zn-67     7.426E-05 
 Zn-68     1.736E-04 
 Zn-70     2.006E-05 
 Ga-69     3.785E-05 
 Ga-71     2.019E-05 
 Ge-70     1.188E-05 
 Ge-72     3.570E-05 
 Ge-73     9.540E-06 
 Ge-74     3.548E-05 
 Ge-76     1.052E-05 
 As-75     8.656E-06 
 Se-74     1.294E-06 
 Se-76     4.458E-06 
 Se-77     5.119E-06 
 Se-78     9.253E-06 
 Se-80     8.175E-06 
 Se-82     5.960E-06 
 Br-79     2.880E-06 
 Br-81     2.125E-06 
 Kr-78     3.012E-07 
 Kr-80     1.312E-06 
 Kr-82     2.260E-06 
 Kr-83     1.673E-06 
 Kr-84     6.833E-06 
 Kr-86     9.587E-06 
 Rb-85     2.801E-06 
 Rb-87     1.690E-06 
 Sr-84     1.622E-07 
 Sr-86     1.179E-06 
 Sr-87     6.515E-07 
 Sr-88     9.129E-06 
