H Table: (M=4.0,Z=0.02)
 #H Lifetime: 2.151E+08
 #H Mfinal: 8.180E-01
 Isotopes  Yields     X0         Z  A  
 H-1       2.115E+00  7.064E-01  1  1  
 H-2       6.522E-07  1.371E-05  1  2  
 He-3      2.939E-04  4.540E-05  2  3  
 He-4      9.660E-01  2.735E-01  2  4  
 Li-7      3.245E-08  7.605E-11  3  7  
 B-11      9.088E-09  2.856E-09  5  11 
 C-12      3.064E-02  3.425E-03  6  12 
 C-13      3.302E-04  4.156E-05  6  13 
 N-14      1.041E-02  1.059E-03  7  14 
 N-15      5.541E-06  4.171E-06  7  15 
 O-16      3.833E-02  9.624E-03  8  16 
 O-17      6.187E-05  3.813E-06  8  17 
 O-18      4.729E-05  2.171E-05  8  18 
 F-19      2.124E-06  5.611E-07  9  19 
 Ne-20     6.002E-03  1.818E-03  10 20 
 Ne-21     2.026E-05  4.575E-06  10 21 
 Ne-22     1.367E-03  1.470E-04  10 22 
 Na-23     1.987E-04  4.000E-05  11 23 
 Mg-24     1.856E-03  5.862E-04  12 24 
 Mg-25     5.418E-04  7.733E-05  12 25 
 Mg-26     1.053E-03  8.848E-05  12 26 
 Al-27     2.284E-04  6.481E-05  13 27 
 Si-28     2.377E-03  7.453E-04  14 28 
 Si-29     1.285E-04  3.919E-05  14 29 
 Si-30     9.734E-05  2.673E-05  14 30 
 P-31      2.558E-05  7.106E-06  15 31 
 Pb-206    1.440E-08  2.798E-09  82 206
 Pb-207    1.518E-08  3.090E-09  82 207
 S-32      1.267E-03  4.011E-04  16 32 
 S-33      1.066E-05  3.265E-06  16 33 
 S-34      6.203E-05  1.890E-05  16 34 
 S-36      5.898E-07  8.073E-08  16 36 
 Cl-35     2.146E-05  6.821E-06  17 35 
 Cl-37     8.947E-06  2.306E-06  17 37 
 Ar-36     2.577E-04  8.202E-05  18 36 
 Ar-38     5.140E-05  1.574E-05  18 38 
 Ar-40     2.932E-07  2.650E-08  18 40 
 K-39      1.265E-05  3.900E-06  19 39 
 K-40      3.839E-08  5.005E-10  19 40 
 K-41      1.085E-06  2.959E-07  19 41 
 Ca-40     2.276E-04  7.225E-05  20 40 
 Ca-42     1.794E-06  5.063E-07  20 42 
 Ca-43     3.968E-07  1.082E-07  20 43 
 Ca-44     5.569E-06  1.710E-06  20 44 
 Ca-46     5.715E-08  3.428E-09  20 46 
 Ca-48     5.311E-07  1.672E-07  20 48 
 Sc-45     2.267E-07  5.414E-08  21 45 
 Ti-46     1.043E-06  3.232E-07  22 46 
 Ti-47     9.485E-07  2.977E-07  22 47 
 Ti-48     9.449E-06  3.014E-06  22 48 
 Ti-49     7.936E-07  2.257E-07  22 49 
 Ti-50     9.098E-07  2.208E-07  22 50 
 V-50      3.168E-09  1.015E-09  23 50 
 V-51      1.311E-06  4.138E-07  23 51 
 Cr-50     2.578E-06  8.265E-07  24 50 
 Cr-52     5.218E-05  1.658E-05  24 52 
 Cr-53     6.048E-06  1.916E-06  24 53 
 Cr-54     1.959E-06  4.858E-07  24 54 
 Mn-55     3.467E-05  1.098E-05  25 55 
 Fe-54     2.535E-04  8.118E-05  26 54 
 Fe-56     4.150E-03  1.322E-03  26 56 
 Fe-57     1.052E-04  3.107E-05  26 57 
 Fe-58     3.424E-05  4.207E-06  26 58 
 Co-59     1.942E-05  3.991E-06  27 59 
 Ni-58     1.783E-04  5.711E-05  28 58 
 Ni-60     7.926E-05  2.276E-05  28 60 
 Ni-61     5.356E-06  1.006E-06  28 61 
 Ni-62     1.565E-05  3.259E-06  28 62 
 Ni-64     9.014E-06  8.568E-07  28 64 
 Cu-63     5.706E-06  6.600E-07  29 63 
 Cu-65     2.670E-06  3.035E-07  29 65 
 Zn-64     3.713E-06  1.131E-06  30 64 
 Zn-66     3.615E-06  6.690E-07  30 66 
 Zn-67     6.591E-07  9.980E-08  30 67 
 Zn-68     3.647E-06  4.632E-07  30 68 
 Zn-70     6.572E-08  1.577E-08  30 70 
 Ga-69     4.476E-07  4.551E-08  31 69 
 Ga-71     2.928E-07  3.108E-08  31 71 
 Ge-70     6.097E-07  5.157E-08  32 70 
 Ge-72     6.793E-07  6.910E-08  32 72 
 Ge-73     2.002E-07  1.955E-08  32 73 
 Ge-74     1.096E-06  9.228E-08  32 74 
 Ge-76     8.443E-08  1.963E-08  32 76 
 As-75     1.273E-07  1.430E-08  33 75 
 Se-74     3.733E-09  1.198E-09  34 74 
 Se-76     2.216E-07  1.296E-08  34 76 
 Se-77     1.051E-07  1.070E-08  34 77 
 Se-78     5.548E-07  3.376E-08  34 78 
 Se-80     7.386E-07  7.226E-08  34 80 
 Se-82     4.741E-08  1.304E-08  34 82 
 Br-79     1.393E-07  1.389E-08  35 79 
 Br-81     1.367E-07  1.386E-08  35 81 
 Kr-78     1.216E-09  3.900E-10  36 78 
 Kr-80     1.498E-08  2.575E-09  36 80 
 Kr-82     2.501E-07  1.320E-08  36 82 
 Kr-83     1.165E-07  1.324E-08  36 83 
 Kr-84     6.966E-07  6.602E-08  36 84 
 Kr-86     6.417E-07  2.044E-08  36 86 
 Rb-85     2.166E-07  1.282E-08  37 85 
 Rb-87     3.079E-07  5.063E-09  37 87 
 Sr-84     1.006E-09  3.228E-10  38 84 
 Sr-86     9.713E-08  5.845E-09  38 86 
 Sr-87     4.846E-08  4.443E-09  38 87 
 Sr-88     8.261E-07  5.011E-08  38 88 
 Y-89      2.117E-07  1.229E-08  39 89 
 Zr-90     1.523E-07  1.534E-08  40 90 
 Zr-91     4.468E-08  3.384E-09  40 91 
 Zr-92     8.327E-08  5.227E-09  40 92 
 Zr-94     6.420E-08  5.413E-09  40 94 
 Zr-96     5.648E-08  8.903E-10  40 96 
 Nb-93     2.543E-08  1.900E-09  41 93 
 Mo-92     3.157E-09  1.012E-09  42 92 
 Mo-94     2.014E-09  6.448E-10  42 94 
 Mo-95     1.266E-08  1.122E-09  42 95 
 Mo-96     1.437E-08  1.188E-09  42 96 
 Mo-97     6.412E-09  6.875E-10  42 97 
 Mo-98     1.638E-08  1.754E-09  42 98 
 Mo-100    3.521E-09  7.146E-10  42 100
 Ru-96     9.118E-10  2.926E-10  44 96 
 Ru-98     3.140E-10  1.007E-10  44 98 
 Ru-99     3.646E-09  6.945E-10  44 99 
 Ru-100    6.305E-09  6.928E-10  44 100
 Ru-101    3.940E-09  9.475E-10  44 101
 Ru-102    1.107E-08  1.770E-09  44 102
 Ru-104    4.140E-09  1.065E-09  44 104
 Rh-103    4.275E-09  1.055E-09  45 103
 Pd-102    1.322E-10  4.241E-11  46 102
 Pd-104    3.976E-09  4.723E-10  46 104
 Pd-105    3.714E-09  9.558E-10  46 105
 Pd-106    6.904E-09  1.181E-09  46 106
 Pd-108    7.467E-09  1.165E-09  46 108
 Pd-110    2.442E-09  5.255E-10  46 110
 Ag-107    3.061E-09  7.840E-10  47 107
 Ag-109    3.448E-09  7.420E-10  47 109
 Cd-106    1.978E-10  6.346E-11  48 106
 Cd-108    1.438E-10  4.604E-11  48 108
 Cd-110    4.890E-09  6.580E-10  48 110
 Cd-111    3.188E-09  6.805E-10  48 111
 Cd-112    8.079E-09  1.294E-09  48 112
 Cd-113    3.218E-09  6.614E-10  48 113
 Cd-114    1.053E-08  1.569E-09  48 114
 Cd-116    3.666E-09  4.161E-10  48 116
 In-113    8.117E-11  2.604E-11  49 113
 In-115    3.008E-09  5.915E-10  49 115
 Sn-112    3.805E-10  1.221E-10  50 112
 Sn-114    2.630E-10  8.435E-11  50 114
 Sn-115    1.365E-10  4.377E-11  50 115
 Sn-116    1.163E-08  1.893E-09  50 116
 Sn-117    5.398E-09  1.008E-09  50 117
 Sn-118    2.026E-08  3.209E-09  50 118
 Sn-119    6.566E-09  1.147E-09  50 119
 Sn-120    2.789E-08  4.391E-09  50 120
 Sn-122    8.176E-09  6.341E-10  50 122
 Sn-124    3.124E-09  8.060E-10  50 124
 Sb-121    3.163E-09  6.318E-10  51 121
 Sb-123    2.174E-09  4.803E-10  51 123
 Te-120    5.075E-11  1.628E-11  52 120
 Te-122    2.986E-09  4.489E-10  52 122
 Te-123    1.009E-09  1.579E-10  52 123
 Te-124    6.212E-09  8.441E-10  52 124
 Te-125    5.099E-09  1.261E-09  52 125
 Te-126    1.617E-08  3.375E-09  52 126
 Te-128    1.931E-08  5.733E-09  52 128
 Te-130    1.962E-08  6.211E-09  52 130
 I-127     5.286E-09  1.459E-09  53 127
 Xe-124    6.886E-11  2.210E-11  54 124
 Xe-126    6.075E-11  1.949E-11  54 126
 Xe-128    2.802E-09  3.943E-10  54 128
 Xe-129    1.600E-08  4.893E-09  54 129
 Xe-130    5.618E-09  7.865E-10  54 130
 Xe-131    1.349E-08  3.945E-09  54 131
 Xe-132    2.056E-08  4.806E-09  54 132
 Xe-134    9.171E-09  1.788E-09  54 134
 Xe-136    5.086E-09  1.478E-09  54 136
 Cs-133    5.283E-09  1.426E-09  55 133
 Ba-130    5.654E-11  1.814E-11  56 130
 Ba-132    5.492E-11  1.762E-11  56 132
 Ba-134    2.795E-09  4.272E-10  56 134
 Ba-135    5.293E-09  1.174E-09  56 135
 Ba-136    8.636E-09  1.409E-09  56 136
 Ba-137    1.393E-08  2.030E-09  56 137
 Ba-138    8.034E-08  1.305E-08  56 138
 La-138    4.982E-12  1.604E-12  57 138
 La-139    1.020E-08  1.790E-09  57 139
 Ce-136    2.612E-11  8.382E-12  58 136
 Ce-138    3.578E-11  1.148E-11  58 138
 Ce-140    2.218E-08  4.103E-09  58 140
 Ce-142    3.450E-09  5.229E-10  58 142
 Pr-141    3.371E-09  6.910E-10  59 141
 Nd-142    4.776E-09  9.920E-10  60 142
 Nd-143    1.898E-09  4.484E-10  60 143
 Nd-144    4.493E-09  8.826E-10  60 144
 Nd-145    1.291E-09  3.095E-10  60 145
 Nd-146    3.462E-09  6.448E-10  60 146
 Nd-148    1.046E-09  2.185E-10  60 148
 Nd-150    6.896E-10  2.168E-10  60 150
 Sm-144    1.148E-10  3.684E-11  62 144
 Sm-147    7.518E-10  1.834E-10  62 147
 Sm-148    6.616E-10  1.385E-10  62 148
 Sm-149    6.026E-10  1.714E-10  62 149
 Sm-150    5.690E-10  9.213E-11  62 150
 Sm-152    1.312E-09  3.383E-10  62 152
 Sm-154    1.061E-09  2.916E-10  62 154
 Eu-151    6.786E-10  2.036E-10  63 151
 Eu-153    7.538E-10  2.252E-10  63 153
 Gd-152    1.376E-11  2.947E-12  64 152
 Gd-154    1.956E-10  3.210E-11  64 154
 Gd-155    7.528E-10  2.192E-10  64 155
 Gd-156    1.174E-09  3.051E-10  64 156
 Gd-157    8.378E-10  2.348E-10  64 157
 Gd-158    1.567E-09  3.750E-10  64 158
 Gd-160    1.174E-09  3.343E-10  64 160
 Tb-159    9.541E-10  2.765E-10  65 159
 Dy-156    3.128E-12  1.004E-12  66 156
 Dy-158    5.447E-12  1.743E-12  66 158
 Dy-160    2.607E-10  4.301E-11  66 160
 Dy-161    1.172E-09  3.498E-10  66 161
 Dy-162    1.788E-09  4.748E-10  66 162
 Dy-163    1.554E-09  4.663E-10  66 163
 Dy-164    2.107E-09  5.312E-10  66 164
 Ho-165    2.902E-09  8.488E-10  67 165
 Er-162    5.014E-12  1.609E-12  68 162
 Er-164    1.244E-10  1.913E-11  68 164
 Er-166    1.452E-09  4.044E-10  68 166
 Er-167    9.599E-10  2.776E-10  68 167
 Er-168    1.391E-09  3.263E-10  68 168
 Er-170    8.415E-10  1.840E-10  68 170
 Tm-169    6.611E-10  1.854E-10  69 169
 Yb-168    4.934E-12  1.583E-12  70 168
 Yb-170    2.136E-10  3.746E-11  70 170
 Yb-171    7.348E-10  1.770E-10  70 171
 Yb-172    1.218E-09  2.722E-10  70 172
 Yb-173    8.206E-10  2.023E-10  70 173
 Yb-174    2.061E-09  4.015E-10  70 174
 Yb-176    7.956E-10  1.628E-10  70 176
 Lu-175    6.880E-10  1.828E-10  71 175
 Lu-176    2.229E-10  4.524E-11  71 176
 Hf-174    3.837E-12  1.231E-12  72 174
 Hf-176    1.501E-10  4.036E-11  72 176
 Hf-177    5.545E-10  1.438E-10  72 177
 Hf-178    1.100E-09  2.121E-10  72 178
 Hf-179    4.883E-10  1.065E-10  72 179
 Hf-180    1.672E-09  2.767E-10  72 180
 Ta-180    7.651E-14  2.429E-14  73 180
 Ta-181    7.959E-10  1.986E-10  73 181
 W-180     2.752E-12  8.395E-13  74 180
 W-182     9.308E-10  1.877E-10  74 182
 W-183     5.326E-10  1.020E-10  74 183
 W-184     1.205E-09  2.195E-10  74 184
 W-186     9.320E-10  2.058E-10  74 186
 Re-185    4.545E-10  1.048E-10  75 185
 Re-187    6.309E-10  1.773E-10  75 187
 Os-184    2.215E-12  7.108E-13  76 184
 Os-186    3.352E-10  5.778E-11  76 186
 Os-187    2.286E-10  5.998E-11  76 187
 Os-188    1.947E-09  4.874E-10  76 188
 Os-189    1.959E-09  5.974E-10  76 189
 Os-190    3.526E-09  9.766E-10  76 190
 Os-192    5.122E-09  1.533E-09  76 192
 Ir-191    4.319E-09  1.357E-09  77 191
 Ir-193    7.334E-09  2.308E-09  77 193
 Pt-190    3.143E-12  1.008E-12  78 190
 Pt-192    2.798E-10  5.850E-11  78 192
 Pt-194    8.257E-09  2.490E-09  78 194
 Pt-195    8.193E-09  2.568E-09  78 195
 Pt-196    6.791E-09  1.926E-09  78 196
 Pt-198    1.854E-09  5.522E-10  78 198
 Au-197    3.620E-09  1.083E-09  79 197
 Hg-196    9.380E-12  3.009E-12  80 196
 Hg-198    1.234E-09  1.975E-10  80 198
 Hg-199    1.366E-09  3.360E-10  80 199
 Hg-200    2.411E-09  4.622E-10  80 200
 Hg-201    1.255E-09  2.651E-10  80 201
 Hg-202    3.479E-09  6.036E-10  80 202
 Hg-204    5.863E-10  1.401E-10  80 204
 Tl-203    1.787E-09  3.221E-10  81 203
 Tl-205    3.593E-09  7.764E-10  81 205
 Pb-204    1.828E-09  2.931E-10  82 204
 Pb-208    3.704E-08  8.850E-09  82 208





































