H Table: (M=6.0,Z=0.02)
 #H Lifetime: 7.422E+07
 #H Mfinal: 9.653E-01
 Isotopes  Yields     X0         Z  A  
 Ru-101    4.935E-09  9.475E-10  44 101
 Ru-102    1.032E-08  1.770E-09  44 102
 Ru-104    5.515E-09  1.065E-09  44 104
 Rh-103    5.494E-09  1.055E-09  45 103
 Pd-102    2.109E-10  4.241E-11  46 102
 Pd-104    3.066E-09  4.723E-10  46 104
 Pd-105    4.923E-09  9.558E-10  46 105
 Pd-106    6.779E-09  1.181E-09  46 106
 Pd-108    6.775E-09  1.165E-09  46 108
 Pd-110    2.810E-09  5.255E-10  46 110
 Ag-107    4.066E-09  7.840E-10  47 107
 Ag-109    3.982E-09  7.420E-10  47 109
 Cd-106    3.162E-10  6.346E-11  48 106
 Cd-108    2.797E-10  4.604E-11  48 108
 Cd-110    4.029E-09  6.580E-10  48 110
 Cd-111    3.654E-09  6.805E-10  48 111
 Cd-112    7.482E-09  1.294E-09  48 112
 Cd-113    3.582E-09  6.614E-10  48 113
 Cd-114    9.237E-09  1.569E-09  48 114
 Cd-116    2.620E-09  4.161E-10  48 116
 In-113    1.305E-10  2.604E-11  49 113
 In-115    3.229E-09  5.915E-10  49 115
 Sn-112    6.095E-10  1.221E-10  50 112
 Sn-114    4.250E-10  8.435E-11  50 114
 Sn-115    2.199E-10  4.377E-11  50 115
 Sn-116    1.089E-08  1.893E-09  50 116
 Sn-117    5.584E-09  1.008E-09  50 117
 Sn-118    1.851E-08  3.209E-09  50 118
 Sn-119    6.453E-09  1.147E-09  50 119
 Sn-120    2.526E-08  4.391E-09  50 120
 Sn-122    4.625E-09  6.341E-10  50 122
 Sn-124    4.199E-09  8.060E-10  50 124
 Sb-121    3.431E-09  6.318E-10  51 121
 Sb-123    2.546E-09  4.803E-10  51 123
 Te-120    8.078E-11  1.628E-11  52 120
 Te-122    2.625E-09  4.489E-10  52 122
 Te-123    9.132E-10  1.579E-10  52 123
 Te-124    5.065E-09  8.441E-10  52 124
 Te-125    6.548E-09  1.261E-09  52 125
 Te-126    1.825E-08  3.375E-09  52 126
 Te-128    2.905E-08  5.733E-09  52 128
 Te-130    3.122E-08  6.211E-09  52 130
 I-127     7.424E-09  1.459E-09  53 127
 Xe-124    1.093E-10  2.210E-11  54 124
 Xe-126    9.696E-11  1.949E-11  54 126
 Xe-128    2.421E-09  3.943E-10  54 128
 Xe-129    2.446E-08  4.893E-09  54 129
 Xe-130    4.952E-09  7.865E-10  54 130
 Xe-131    1.991E-08  3.945E-09  54 131
 Xe-132    2.546E-08  4.806E-09  54 132
 Xe-134    9.743E-09  1.788E-09  54 134
 Xe-136    7.563E-09  1.478E-09  54 136
 Cs-133    7.291E-09  1.426E-09  55 133
 Ba-130    8.972E-11  1.814E-11  56 130
 Ba-132    8.763E-11  1.762E-11  56 132
 Ba-134    2.533E-09  4.272E-10  56 134
 Ba-135    6.177E-09  1.174E-09  56 135
 Ba-136    7.964E-09  1.409E-09  56 136
 Ba-137    1.186E-08  2.030E-09  56 137
 Ba-138    7.078E-08  1.305E-08  56 138
 La-138    7.555E-12  1.604E-12  57 138
 La-139    9.562E-09  1.790E-09  57 139
 Ce-136    4.169E-11  8.382E-12  58 136
 Ce-138    5.760E-11  1.148E-11  58 138
 Ce-140    2.153E-08  4.103E-09  58 140
 Ce-142    2.838E-09  5.229E-10  58 142
 Pr-141    3.584E-09  6.910E-10  59 141
 Nd-142    5.134E-09  9.920E-10  60 142
 Nd-143    2.289E-09  4.484E-10  60 143
 Nd-144    4.621E-09  8.826E-10  60 144
 Nd-145    1.578E-09  3.095E-10  60 145
 Nd-146    3.397E-09  6.448E-10  60 146
 Nd-148    1.130E-09  2.185E-10  60 148
 Nd-150    1.083E-09  2.168E-10  60 150
 Sm-144    1.844E-10  3.684E-11  62 144
 Sm-147    9.256E-10  1.834E-10  62 147
 Sm-148    7.309E-10  1.385E-10  62 148
 Sm-149    8.477E-10  1.714E-10  62 149
 Sm-150    5.101E-10  9.213E-11  62 150
 Sm-152    1.713E-09  3.383E-10  62 152
 Sm-154    1.471E-09  2.916E-10  62 154
 Eu-151    9.978E-10  2.036E-10  63 151
 Eu-153    1.117E-09  2.252E-10  63 153
 Gd-152    3.351E-11  2.947E-12  64 152
 Gd-154    2.014E-10  3.210E-11  64 154
 Gd-155    1.089E-09  2.192E-10  64 155
 Gd-156    1.572E-09  3.051E-10  64 156
 Gd-157    1.180E-09  2.348E-10  64 157
 Gd-158    1.946E-09  3.750E-10  64 158
 Gd-160    1.682E-09  3.343E-10  64 160
 Tb-159    1.375E-09  2.765E-10  65 159
 Dy-156    4.916E-12  1.004E-12  66 156
 Dy-158    8.566E-12  1.743E-12  66 158
 Dy-160    2.529E-10  4.301E-11  66 160
 Dy-161    1.730E-09  3.498E-10  66 161
 Dy-162    2.438E-09  4.748E-10  66 162
 Dy-163    2.318E-09  4.663E-10  66 163
 Dy-164    2.749E-09  5.312E-10  66 164
 Ho-165    4.228E-09  8.488E-10  67 165
 Er-162    7.875E-12  1.609E-12  68 162
 Er-164    1.071E-10  1.913E-11  68 164
 Er-166    2.068E-09  4.044E-10  68 166
 Er-167    1.388E-09  2.776E-10  68 167
 Er-168    1.707E-09  3.263E-10  68 168
 Er-170    9.454E-10  1.840E-10  68 170
 Tm-169    9.285E-10  1.854E-10  69 169
 Yb-168    7.783E-12  1.583E-12  70 168
 Yb-170    2.168E-10  3.746E-11  70 170
 Yb-171    9.004E-10  1.770E-10  70 171
 Yb-172    1.411E-09  2.722E-10  70 172
 Yb-173    1.027E-09  2.023E-10  70 173
 Yb-174    2.106E-09  4.015E-10  70 174
 Yb-176    8.489E-10  1.628E-10  70 176
 Lu-175    9.155E-10  1.828E-10  71 175
 Lu-176    2.409E-10  4.524E-11  71 176
 Hf-174    6.068E-12  1.231E-12  72 174
 Hf-176    2.096E-10  4.036E-11  72 176
 Hf-177    7.215E-10  1.438E-10  72 177
 Hf-178    1.119E-09  2.121E-10  72 178
 Hf-179    5.480E-10  1.065E-10  72 179
 Hf-180    1.474E-09  2.767E-10  72 180
 Ta-180    1.196E-13  2.429E-14  73 180
 Ta-181    9.990E-10  1.986E-10  73 181
 W-180     4.172E-12  8.395E-13  74 180
 W-182     9.864E-10  1.877E-10  74 182
 W-183     5.331E-10  1.020E-10  74 183
 W-184     1.153E-09  2.195E-10  74 184
 W-186     1.057E-09  2.058E-10  74 186
 Re-185    5.330E-10  1.048E-10  75 185
 Re-187    8.824E-10  1.773E-10  75 187
 Os-184    3.519E-12  7.108E-13  76 184
 Os-186    3.115E-10  5.778E-11  76 186
 Os-187    3.007E-10  5.998E-11  76 187
 Os-188    2.496E-09  4.874E-10  76 188
 Os-189    2.947E-09  5.974E-10  76 189
 Os-190    4.985E-09  9.766E-10  76 190
 Os-192    7.700E-09  1.533E-09  76 192
 Ir-191    6.678E-09  1.357E-09  77 191
 Ir-193    1.141E-08  2.308E-09  77 193
 Pt-190    5.001E-12  1.008E-12  78 190
 Pt-192    4.317E-10  5.850E-11  78 192
 Pt-194    1.266E-08  2.490E-09  78 194
 Pt-195    1.280E-08  2.568E-09  78 195
 Pt-196    9.947E-09  1.926E-09  78 196
 Pt-198    2.776E-09  5.522E-10  78 198
 Au-197    5.431E-09  1.083E-09  79 197
 Hg-196    1.501E-11  3.009E-12  80 196
 Hg-198    1.146E-09  1.975E-10  80 198
 Hg-199    1.720E-09  3.360E-10  80 199
 Hg-200    2.431E-09  4.622E-10  80 200
 Hg-201    1.370E-09  2.651E-10  80 201
 Hg-202    3.190E-09  6.036E-10  80 202
 Hg-204    7.160E-10  1.401E-10  80 204
 Tl-203    1.690E-09  3.221E-10  81 203
 Tl-205    4.004E-09  7.764E-10  81 205
 Pb-204    1.564E-09  2.931E-10  82 204
 Pb-208    4.550E-08  8.850E-09  82 208
 Bi-209    4.427E-09  8.718E-10  83 209
