Ejected yields in solar masses from Battino et al. 2019, MNRAS (models listed in Table 2)

Isotope	 m2z1m2	 m3z1m2	 m2z2m2	 m3z2m2	 m2z3m2	 m3z3m2	 m3z2m2-hCBM	 m3z3m2-hCBM
Ni-65	1.0561106E-99	1.8433579E-79	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.0316990E-98	9.7978681E-84	2.0946096E-99
Ni-66	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ni-67	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ni-68	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cu-60	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cu-61	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cu-62	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cu-63	4.8563301E-07	6.8627003E-07	8.2241366E-07	2.4248623E-06	7.8246311E-07	2.3628864E-06	2.4462529E-06	3.4118643E-06
Cu-64	1.0561106E-99	1.8297471E-40	1.0148024E-99	1.5477708E-89	6.6732552E-100	7.0069648E-42	1.8218645E-39	2.0946096E-99
Cu-65	2.3433501E-07	3.8190506E-07	3.7832842E-07	1.3363208E-06	3.5783248E-07	1.2288895E-06	1.3451562E-06	1.7599365E-06
Cu-66	1.0561106E-99	1.3272573E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	5.4562888E-93	2.0946096E-99
Cu-67	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cu-68	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cu-69	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cu-70	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Cu-71	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zn-62	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zn-63	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zn-64	6.2850176E-07	7.9845428E-07	1.2095562E-06	2.7842057E-06	1.1562072E-06	2.7336936E-06	2.7520144E-06	3.8748834E-06
Zn-65	1.7112575E-10	9.3820628E-10	2.9467585E-10	3.8351082E-09	2.8712806E-10	3.2867990E-09	3.6165933E-09	4.4858128E-09
Zn-66	4.0644378E-07	5.9681384E-07	7.4166839E-07	2.0418283E-06	7.0521904E-07	1.9185300E-06	2.0275754E-06	2.7135944E-06
Zn-67	6.3853184E-08	9.9352820E-08	1.1334907E-07	3.3803829E-07	1.0754497E-07	3.1330796E-07	3.3681070E-07	4.4375597E-07
Zn-68	2.8967182E-07	4.5747366E-07	5.1989267E-07	1.5590648E-06	4.9289396E-07	1.4269138E-06	1.5515224E-06	2.0152829E-06
Zn-69	1.0561106E-99	2.2849491E-85	1.0148024E-99	2.2730642E-99	6.6732552E-100	8.7654560E-99	2.6060625E-84	2.0946096E-99
Zn-70	8.2595356E-09	1.0611735E-08	1.6411160E-08	3.6328037E-08	1.5681997E-08	3.5085262E-08	3.5413657E-08	4.9110534E-08
Zn-71	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zn-72	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zn-73	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zn-74	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ga-65	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ga-66	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ga-67	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ga-68	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ga-69	3.0128920E-08	5.0246547E-08	5.2498428E-08	1.7156257E-07	4.9621995E-08	1.5490777E-07	1.7154582E-07	2.1960813E-07
Ga-70	1.0561106E-99	1.3272738E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906946E-99	2.8869515E-91	2.0946096E-99
Ga-71	2.0426767E-08	3.3313388E-08	3.5790167E-08	1.1240962E-07	3.3835456E-08	1.0383617E-07	1.1349622E-07	1.5004808E-07
Ga-72	1.0561106E-99	1.4030851E-46	1.0148024E-99	2.2821993E-99	6.6732552E-100	2.0765042E-88	4.5553900E-51	2.0946096E-99
Ga-73	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ga-74	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ga-75	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ge-66	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ge-67	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ge-68	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ge-69	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Ge-70	3.5651936E-08	6.1550998E-08	6.0806489E-08	2.1188487E-07	5.7283182E-08	1.8972600E-07	2.1297063E-07	2.7063457E-07
Ge-71	1.0561106E-99	6.4308484E-40	1.0148024E-99	3.0649921E-87	6.6732552E-100	1.7492973E-41	5.0730783E-39	2.0946096E-99
Ge-72	4.3889265E-08	6.9536578E-08	7.8352273E-08	2.4506613E-07	7.3999321E-08	2.2337460E-07	2.4580754E-07	3.1917058E-07
Ge-73	1.2398790E-08	1.9894333E-08	2.2155980E-08	6.9879143E-08	2.0918198E-08	6.3443358E-08	7.0060549E-08	9.0693135E-08
Ge-74	5.9109003E-08	9.6273159E-08	1.0547663E-07	3.3921617E-07	9.9378323E-08	3.0776061E-07	3.4172037E-07	4.4451041E-07
Ge-75	1.0561106E-99	1.4410145E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4948885E-99	3.2287594E-87	2.0946096E-99
Ge-76	1.0263330E-08	1.3109138E-08	2.0413115E-08	4.5018797E-08	1.9508424E-08	4.3512438E-08	4.3895678E-08	6.0898503E-08
Ge-77	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2451762E-99	2.0946096E-99
Ge-78	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-69	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-70	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-71	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-72	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-73	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-74	1.5561594E-25	1.1434417E-24	3.3055582E-25	9.7746495E-24	3.5488247E-25	8.4881008E-24	8.3937185E-24	1.0293845E-23
As-75	8.5276654E-09	1.2908260E-08	1.5772740E-08	4.5181518E-08	1.4930012E-08	4.1707580E-08	4.5172909E-08	5.9759679E-08
As-76	1.0561106E-99	4.6978797E-45	1.0148024E-99	2.5763539E-99	6.6732552E-100	1.1204933E-72	2.1288869E-45	2.0946096E-99
As-77	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	4.5452298E-99	2.0946096E-99
As-78	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-79	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-80	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
As-81	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Se-72	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Se-73	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Se-74	6.2037348E-10	7.8157349E-10	1.2350210E-09	2.6731008E-09	1.1802437E-09	2.5918175E-09	2.6105158E-09	3.6203740E-09
Se-75	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448558E-99	2.0946096E-99
Se-76	9.1221019E-09	1.5992701E-08	1.5607331E-08	5.7216603E-08	1.4599408E-08	5.1221666E-08	5.8259838E-08	7.5138360E-08
Se-77	6.4784692E-09	9.8745813E-09	1.1915249E-08	3.4814966E-08	1.1263258E-08	3.2154062E-08	3.4936951E-08	4.6367403E-08
Se-78	2.3070511E-08	3.8128661E-08	4.0200837E-08	1.3927162E-07	3.7618907E-08	1.2708348E-07	1.4237285E-07	1.8836510E-07
Se-79	9.9530946E-10	2.7763765E-09	9.5643250E-10	1.1199201E-08	7.4241148E-10	9.2896840E-09	1.1970266E-08	1.4739456E-08
Se-80	4.2591644E-08	6.1839709E-08	7.9698109E-08	2.2033423E-07	7.5258629E-08	2.0617875E-07	2.2111602E-07	2.9919245E-07
Se-81	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	1.2283007E-96	2.0946096E-99
Se-82	6.8360867E-09	8.6424307E-09	1.3598907E-08	2.9748409E-08	1.2998858E-08	2.8965997E-08	2.9060723E-08	4.0606193E-08
Se-83	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Se-84	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-74	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-75	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-76	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-77	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-78	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-79	7.3250533E-09	9.5830157E-09	1.4437981E-08	3.2943595E-08	1.3794929E-08	3.1705265E-08	3.2407995E-08	4.4704824E-08
Br-80	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	1.8397449E-96	2.0946096E-99
Br-81	8.0835593E-09	1.1546020E-08	1.5216250E-08	4.1085908E-08	1.4381887E-08	3.8670465E-08	4.1176807E-08	5.6063070E-08
Br-82	1.0561106E-99	6.5241127E-49	1.0148024E-99	2.2825785E-99	6.6732552E-100	6.3225463E-90	4.5509008E-51	2.0946096E-99
Br-83	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-84	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-85	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-86	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Br-87	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Kr-76	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Kr-77	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Kr-78	2.0197431E-10	2.5446720E-10	4.0207832E-10	8.7027309E-10	3.8424250E-10	8.4376148E-10	8.4989415E-10	1.1785745E-09
Kr-79	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Kr-80	1.4767507E-09	1.9545827E-09	2.8263379E-09	6.9776728E-09	2.6955525E-09	6.9521655E-09	7.0562571E-09	1.0153752E-08
Kr-81	7.9154837E-11	9.0439076E-11	1.0164170E-10	5.3344436E-10	9.4064404E-11	7.1099062E-10	6.5120693E-10	1.2620705E-09
Kr-82	9.7330306E-09	1.4542613E-08	1.6684700E-08	5.7400362E-08	1.5497550E-08	5.5560945E-08	6.0143204E-08	8.6164646E-08
Kr-83	7.9215355E-09	1.0751837E-08	1.4776857E-08	3.9826937E-08	1.3954242E-08	3.8627934E-08	4.0436125E-08	5.7197917E-08
Kr-84	4.1042996E-08	5.7080302E-08	7.5321086E-08	2.1520655E-07	7.0828298E-08	2.0860425E-07	2.2096051E-07	3.1351375E-07
Kr-85	2.7680844E-15	7.6416509E-13	9.8489785E-15	2.3101327E-12	8.2794829E-15	8.5174302E-13	1.6535227E-12	8.6103823E-13
Kr-86	1.3538701E-08	2.1738522E-08	2.3898772E-08	8.0550202E-08	2.1969741E-08	7.0213174E-08	8.3374793E-08	1.0271051E-07
Kr-87	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Kr-88	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Kr-89	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Kr-90	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-79	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-80	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-81	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-82	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-83	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-84	7.0124179E-28	3.8423839E-27	1.5819494E-27	3.0387211E-26	1.7431460E-27	3.0696068E-26	2.7620992E-26	4.3454490E-26
Rb-85	8.3187703E-09	1.2578007E-08	1.4923411E-08	4.7279009E-08	1.3952439E-08	4.4373501E-08	4.8715330E-08	6.6758745E-08
Rb-86	1.0561106E-99	4.7527314E-41	1.0148024E-99	1.1866620E-90	6.6732552E-100	1.2002566E-43	9.9582738E-40	2.0946096E-99
Rb-87	3.8697851E-09	7.0197743E-09	6.3326720E-09	2.8376139E-08	5.7111182E-09	2.3710182E-08	2.9621347E-08	3.4709508E-08
Rb-88	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-89	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-90	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Rb-91	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-80	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-81	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-82	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-83	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-84	1.6714700E-10	2.1060297E-10	3.3273484E-10	7.2020887E-10	3.1797136E-10	6.9818886E-10	7.0333701E-10	9.7519997E-10
Sr-85	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-86	5.3212810E-09	7.2382996E-09	8.6112046E-09	3.1738317E-08	7.8315209E-09	3.3785187E-08	3.5094988E-08	5.6539351E-08
Sr-87	3.8189437E-09	5.0077748E-09	6.3095441E-09	2.1844139E-08	5.7666110E-09	2.3446428E-08	2.4136927E-08	3.9222473E-08
Sr-88	5.2080300E-08	7.1465311E-08	8.0349753E-08	3.3440015E-07	6.8742015E-08	3.4822160E-07	3.8084430E-07	5.9401010E-07
Sr-89	1.0561106E-99	9.0535046E-43	1.0148024E-99	2.3079944E-94	6.6732552E-100	4.6364361E-49	3.3519369E-41	2.0946096E-99
Sr-90	2.5246912E-13	7.9155579E-12	4.5595832E-13	3.2098989E-11	2.9077663E-13	1.5338767E-11	2.7511022E-11	1.7991546E-11
Sr-91	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-92	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-93	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Sr-94	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-85	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-86	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-87	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-88	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-89	1.3823370E-08	1.9420502E-08	2.0654372E-08	9.2306586E-08	1.7266240E-08	9.4110971E-08	1.0617532E-07	1.6065949E-07
Y-90	6.4227648E-17	2.0137024E-15	1.1599490E-16	8.1659199E-15	7.3973003E-17	3.9021522E-15	6.9987499E-15	4.5770140E-15
Y-91	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-92	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-93	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-94	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-95	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Y-96	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zr-86	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zr-87	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zr-88	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zr-89	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Zr-90	1.5479607E-08	2.0875418E-08	2.3981527E-08	9.6840845E-08	2.0118228E-08	9.8315213E-08	1.1109904E-07	1.6641972E-07
Zr-91	3.8894974E-09	5.4591263E-09	5.7675857E-09	2.6443543E-08	4.7065752E-09	2.6176168E-08	3.0601203E-08	4.4444395E-08
Zr-92	6.1248179E-09	8.7755695E-09	8.9868867E-09	4.2331029E-08	7.2540434E-09	4.1017796E-08	4.9060946E-08	6.9275824E-08
Zr-93	1.2352305E-09	1.9766305E-09	1.2978669E-09	1.1228194E-08	7.4820599E-10	1.0734324E-08	1.3778856E-08	1.9254154E-08
Zr-94	7.1312262E-09	1.0114839E-08	1.0157861E-08	4.9952333E-08	7.8637969E-09	4.7605314E-08	5.8652985E-08	8.1086486E-08
Zr-95	1.0561106E-99	3.0765018E-42	1.0148024E-99	7.8353408E-94	6.6732552E-100	8.1043311E-46	7.0016490E-41	2.0946096E-99
Zr-96	7.2220462E-10	1.5017462E-09	1.1342392E-09	6.1671146E-09	9.8401735E-10	4.5564059E-09	6.5786475E-09	6.5126770E-09
Zr-97	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	1.7258176E-95	2.0946096E-99
Zr-98	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Nb-89	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Nb-90	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Nb-91	8.3995251E-28	1.8097934E-27	1.5677505E-27	1.8029930E-26	1.3864050E-27	2.2263344E-26	1.9941293E-26	3.8890164E-26
Nb-92	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Nb-93	9.8621700E-10	1.2401776E-09	1.9618792E-09	4.2476271E-09	1.8739904E-09	4.1256090E-09	4.1514689E-09	5.7704924E-09
Nb-94	2.2098565E-14	5.1045583E-15	3.6576059E-14	8.5672793E-14	2.1246628E-14	1.2693659E-13	1.0705848E-13	2.2185798E-13
Nb-95	1.0561106E-99	1.0871064E-43	1.0148024E-99	2.3283824E-97	6.6732552E-100	5.8944525E-51	4.8313768E-42	2.0946096E-99
Nb-96	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Nb-97	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Nb-98	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Nb-99	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Mo-90	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Mo-91	1.0561106E-99	1.3272571E-99	1.0148024E-99	2.2730642E-99	6.6732552E-100	1.4906940E-99	2.2448509E-99	2.0946096E-99
Mo-92	5.2554846E-10	6.6159593E-10	1.0465359E-09	2.2667900E-09	1.0002460E-09	2.2015579E-09	2.2140103E-09	3.0780977E-09
Mo-93	3.6949439E-13	3.0932972E-13	8.1340239E-13	2.3210594E-12	8.1132189E-13	3.3680746E-12	2.3605248E-12	5.6114665E-12
Mo-94	3.5122625E-10	4.2675606E-10	6.8711314E-10	1.5071376E-09	6.5240523E-10	1.5052246E-09	1.4944348E-09	2.1656975E-09
Mo-95	1.1809645E-09	1.6642861E-09	1.7854665E-09	8.3482052E-09	1.4481889E-09	7.6376201E-09	9.5162402E-09	1.2411293E-08
