H Table: (M=7.0,Z=0.02)
 #H Lifetime: 5.211E+07
 #H Mfinal: 1.066E+00
 Isotopes  Yields     X0         Z  A  
 Ru-101    5.546E-09  9.475E-10  44 101
 Ru-102    1.107E-08  1.770E-09  44 102
 Ru-104    6.305E-09  1.065E-09  44 104
 Rh-103    6.217E-09  1.055E-09  45 103
 Pd-102    2.463E-10  4.241E-11  46 102
 Pd-104    3.185E-09  4.723E-10  46 104
 Pd-105    5.593E-09  9.558E-10  46 105
 Pd-106    7.393E-09  1.181E-09  46 106
 Pd-108    7.192E-09  1.165E-09  46 108
 Pd-110    3.138E-09  5.255E-10  46 110
 Ag-107    4.642E-09  7.840E-10  47 107
 Ag-109    4.431E-09  7.420E-10  47 109
 Cd-106    3.698E-10  6.346E-11  48 106
 Cd-108    3.864E-10  4.604E-11  48 108
 Cd-110    4.208E-09  6.580E-10  48 110
 Cd-111    4.070E-09  6.805E-10  48 111
 Cd-112    8.001E-09  1.294E-09  48 112
 Cd-113    3.968E-09  6.614E-10  48 113
 Cd-114    9.726E-09  1.569E-09  48 114
 Cd-116    2.608E-09  4.161E-10  48 116
 In-113    1.537E-10  2.604E-11  49 113
 In-115    3.538E-09  5.915E-10  49 115
 Sn-112    7.145E-10  1.221E-10  50 112
 Sn-114    5.032E-10  8.435E-11  50 114
 Sn-115    2.595E-10  4.377E-11  50 115
 Sn-116    1.164E-08  1.893E-09  50 116
 Sn-117    6.100E-09  1.008E-09  50 117
 Sn-118    1.967E-08  3.209E-09  50 118
 Sn-119    6.984E-09  1.147E-09  50 119
 Sn-120    2.689E-08  4.391E-09  50 120
 Sn-122    4.172E-09  6.341E-10  50 122
 Sn-124    4.814E-09  8.060E-10  50 124
 Sb-121    3.786E-09  6.318E-10  51 121
 Sb-123    2.843E-09  4.803E-10  51 123
 Te-120    9.406E-11  1.628E-11  52 120
 Te-122    2.803E-09  4.489E-10  52 122
 Te-123    9.807E-10  1.579E-10  52 123
 Te-124    5.265E-09  8.441E-10  52 124
 Te-125    7.423E-09  1.261E-09  52 125
 Te-126    2.040E-08  3.375E-09  52 126
 Te-128    3.397E-08  5.733E-09  52 128
 Te-130    3.677E-08  6.211E-09  52 130
 I-127     8.519E-09  1.459E-09  53 127
 Xe-124    1.269E-10  2.210E-11  54 124
 Xe-126    1.132E-10  1.949E-11  54 126
 Xe-128    2.643E-09  3.943E-10  54 128
 Xe-129    2.835E-08  4.893E-09  54 129
 Xe-130    5.581E-09  7.865E-10  54 130
 Xe-131    2.305E-08  3.945E-09  54 131
 Xe-132    2.915E-08  4.806E-09  54 132
 Xe-134    1.080E-08  1.788E-09  54 134
 Xe-136    8.805E-09  1.478E-09  54 136
 Cs-133    8.381E-09  1.426E-09  55 133
 Ba-130    1.042E-10  1.814E-11  56 130
 Ba-132    1.023E-10  1.762E-11  56 132
 Ba-134    2.829E-09  4.272E-10  56 134
 Ba-135    6.922E-09  1.174E-09  56 135
 Ba-136    8.703E-09  1.409E-09  56 136
 Ba-137    1.250E-08  2.030E-09  56 137
 Ba-138    7.889E-08  1.305E-08  56 138
 La-138    8.690E-12  1.604E-12  57 138
 La-139    1.078E-08  1.790E-09  57 139
 Ce-136    4.867E-11  8.382E-12  58 136
 Ce-138    6.767E-11  1.148E-11  58 138
 Ce-140    2.462E-08  4.103E-09  58 140
 Ce-142    3.175E-09  5.229E-10  58 142
 Pr-141    4.111E-09  6.910E-10  59 141
 Nd-142    5.946E-09  9.920E-10  60 142
 Nd-143    2.641E-09  4.484E-10  60 143
 Nd-144    5.315E-09  8.826E-10  60 144
 Nd-145    1.821E-09  3.095E-10  60 145
 Nd-146    3.908E-09  6.448E-10  60 146
 Nd-148    1.295E-09  2.185E-10  60 148
 Nd-150    1.268E-09  2.168E-10  60 150
 Sm-144    2.169E-10  3.684E-11  62 144
