H Table: (M=25.0,Z=0.02)
#H Lifetime: 7.580E+06
#H Mfinal: 5.710E+00
 Isotopes  Yields   
 H-1       9.483E+00
 H-2       1.192E-05
 He-3      5.251E-04
 He-4      8.083E+00
 Li-7      7.511E-11
 B-11      4.552E-08
 C-12      2.313E-01
 C-13      1.070E-03
 N-14      8.480E-02
 N-15      9.407E-05
 O-16      9.367E-01
 O-17      7.319E-05
 O-18      2.802E-04
 F-19      1.348E-05
 Ne-20     2.016E-01
 Ne-21     4.242E-04
 Ne-22     2.313E-02
 Na-23     4.268E-03
 Mg-24     6.793E-02
 Mg-25     1.445E-02
 Mg-26     2.497E-02
 Al-27     4.442E-03
 Si-28     4.687E-02
 Si-29     1.326E-02
 Si-30     7.936E-03
 P-31      2.711E-03
 Pb-206    6.659E-08
 Pb-207    6.748E-08
 S-32      1.811E-02
 S-33      4.345E-04
 S-34      3.045E-03
 S-36      9.816E-05
 Cl-35     7.968E-04
 Cl-37     1.289E-04
 Ar-36     1.713E-03
 Ar-38     5.376E-04
 Ar-40     2.769E-05
 K-39      1.357E-04
 K-40      1.958E-06
 K-41      2.267E-05
 Ca-40     1.244E-03
 Ca-42     2.446E-05
 Ca-43     8.644E-06
 Ca-44     3.865E-05
 Ca-46     5.765E-06
 Ca-48     5.164E-06
 Sc-45     6.967E-06
 Ti-46     6.417E-06
 Ti-47     9.447E-06
 Ti-48     5.187E-05
 Ti-49     6.218E-06
 Ti-50     1.033E-05
 V-50      3.199E-08
 V-51      9.365E-06
 Cr-50     1.372E-05
 Cr-52     2.847E-04
 Cr-53     3.499E-05
 Cr-54     2.135E-05
 Mn-55     2.002E-04
 Fe-54     1.354E-03
 Fe-56     2.240E-02
 Fe-57     6.991E-04
 Fe-58     5.410E-04
 Co-59     4.262E-04
 Ni-58     9.508E-04
 Ni-60     1.027E-03
 Ni-61     3.383E-04
 Ni-62     7.786E-04
 Ni-64     4.001E-04
 Cu-63     3.299E-04
 Cu-65     1.516E-04
 Zn-64     2.911E-05
 Zn-66     1.379E-04
 Zn-67     6.994E-05
 Zn-68     1.346E-04
 Zn-70     2.737E-05
 Ga-69     3.750E-05
 Ga-71     1.321E-05
 Ge-70     4.483E-06
 Ge-72     1.855E-05
 Ge-73     7.673E-06
 Ge-74     2.440E-05
 Ge-76     9.258E-06
 As-75     8.156E-06
 Se-74     2.028E-08
 Se-76     9.302E-07
 Se-77     2.388E-06
 Se-78     4.869E-06
 Se-80     5.460E-06
 Se-82     3.022E-06
 Br-79     1.511E-06
 Br-81     1.939E-06
 Kr-78     6.338E-09
 Kr-80     8.109E-08
 Kr-82     9.479E-07
 Kr-83     1.187E-06
 Kr-84     4.265E-06
 Kr-86     4.076E-06
 Rb-85     1.935E-06
 Rb-87     6.601E-07
 Sr-84     5.228E-09
 Sr-86     3.520E-07
 Sr-87     3.431E-07
 Sr-88     3.526E-06
 Y-89      6.844E-07
 Zr-90     5.786E-07
 Zr-91     2.061E-07
 Zr-92     2.299E-07
 Zr-94     1.918E-07
 Zr-96     8.941E-08
 Nb-93     1.164E-07
 Mo-92     1.672E-08
 Mo-94     1.130E-08
 Mo-95     7.987E-08
 Mo-96     2.189E-08
 Mo-97     2.758E-08
 Mo-98     5.794E-08
 Mo-100    2.076E-08
 Ru-96     4.773E-09
 Ru-98     1.696E-09
 Ru-99     1.722E-08
 Ru-100    1.213E-08
 Ru-101    2.014E-08
 Ru-102    4.198E-08
 Ru-104    3.272E-08
 Rh-103    2.675E-08
 Pd-102    6.868E-10
 Pd-104    8.322E-09
 Pd-105    2.221E-08
 Pd-106    2.500E-08
 Pd-108    2.637E-08
 Pd-110    1.446E-08
 Ag-107    1.571E-08
 Ag-109    1.415E-08
 Cd-106    1.030E-09
 Cd-108    9.978E-10
 Cd-110    1.145E-08
 Cd-111    1.327E-08
 Cd-112    2.541E-08
 Cd-113    1.277E-08
 Cd-114    3.449E-08
 Cd-116    1.263E-08
 In-113    4.290E-10
 In-115    1.090E-08
 Sn-112    1.991E-09
 Sn-114    1.484E-09
 Sn-115    7.697E-10
 Sn-116    3.265E-08
 Sn-117    1.875E-08
 Sn-118    6.028E-08
 Sn-119    2.093E-08
 Sn-120    8.836E-08
 Sn-122    2.049E-08
 Sn-124    2.153E-08
 Sb-121    1.320E-08
 Sb-123    1.029E-08
 Te-120    2.628E-10
 Te-122    7.602E-09
 Te-123    2.671E-09
 Te-124    1.475E-08
 Te-125    2.380E-08
 Te-126    6.601E-08
 Te-128    1.042E-07
 Te-130    1.117E-07
 I-127     2.839E-08
 Xe-124    3.560E-10
 Xe-126    3.166E-10
 Xe-128    7.097E-09
 Xe-129    8.371E-08
 Xe-130    1.615E-08
 Xe-131    6.928E-08
 Xe-132    9.200E-08
 Xe-134    5.147E-08
 Xe-136    4.830E-08
 Cs-133    2.834E-08
 Ba-130    2.921E-10
 Ba-132    2.858E-10
 Ba-134    7.890E-09
 Ba-135    2.295E-08
 Ba-136    2.686E-08
 Ba-137    3.937E-08
 Ba-138    3.104E-07
 La-138    2.580E-11
 La-139    3.995E-08
 Ce-136    1.360E-10
 Ce-138    1.883E-10
 Ce-140    8.812E-08
 Ce-142    1.318E-08
 Pr-141    1.471E-08
 Nd-142    1.917E-08
 Nd-143    9.167E-09
 Nd-144    2.048E-08
 Nd-145    7.593E-09
 Nd-146    1.446E-08
 Nd-148    5.122E-09
 Nd-150    4.923E-09
 Sm-144    6.071E-10
 Sm-147    5.462E-09
 Sm-148    2.469E-09
 Sm-149    3.534E-09
 Sm-150    1.733E-09
 Sm-152    7.343E-09
 Sm-154    6.571E-09
 Eu-151    3.991E-09
 Eu-153    4.041E-09
 Gd-152    6.836E-11
 Gd-154    5.806E-10
 Gd-155    4.711E-09
 Gd-156    6.514E-09
 Gd-157    4.707E-09
 Gd-158    7.881E-09
 Gd-160    6.774E-09
 Tb-159    5.169E-09
 Dy-156    1.611E-11
 Dy-158    2.961E-11
 Dy-160    7.755E-10
 Dy-161    6.705E-09
 Dy-162    9.398E-09
 Dy-163    8.475E-09
 Dy-164    1.051E-08
 Ho-165    1.468E-08
 Er-162    2.582E-11
 Er-164    3.670E-10
 Er-166    7.477E-09
 Er-167    5.071E-09
 Er-168    6.729E-09
 Er-170    3.668E-09
 Tm-169    3.365E-09
 Yb-168    2.543E-11
 Yb-170    6.900E-10
 Yb-171    3.394E-09
 Yb-172    5.905E-09
 Yb-173    3.814E-09
 Yb-174    8.050E-09
 Yb-176    3.319E-09
 Lu-175    3.392E-09
 Lu-176    9.423E-10
 Hf-174    2.023E-11
 Hf-176    8.471E-10
 Hf-177    2.901E-09
 Hf-178    5.539E-09
 Hf-179    2.287E-09
 Hf-180    5.990E-09
 Ta-180    4.409E-12
 Ta-181    4.139E-09
 W-180     1.597E-11
 W-182     4.978E-09
 W-183     2.557E-09
 W-184     5.178E-09
 W-186     4.013E-09
 Re-185    2.459E-09
 Re-187    3.380E-09
 Os-184    1.193E-11
 Os-186    1.037E-09
 Os-187    8.744E-10
 Os-188    9.241E-09
 Os-189    9.981E-09
 Os-190    1.701E-08
 Os-192    2.570E-08
 Ir-191    2.214E-08
 Ir-193    3.767E-08
 Pt-190    1.635E-11
 Pt-192    1.201E-09
 Pt-194    4.217E-08
 Pt-195    4.228E-08
 Pt-196    3.493E-08
 Pt-198    1.064E-08
 Au-197    1.903E-08
 Hg-196    4.958E-11
 Hg-198    4.202E-09
 Hg-199    7.185E-09
 Hg-200    1.127E-08
 Hg-201    5.887E-09
 Hg-202    1.557E-08
 Hg-204    1.173E-08
 Tl-203    8.312E-09
 Tl-205    1.628E-08
 Pb-204    5.532E-09
 Pb-208    2.006E-07
 Bi-209    1.823E-08
