H Table: (M=2.0, Z=0.02)

Isotopes	Yields	 
Ga-68		1.0148024E-99	
Ga-69		5.2498428E-08	
Ga-70		1.0148024E-99	
Ga-71		3.5790167E-08	
Ga-72		1.0148024E-99	
Ga-73		1.0148024E-99	
Ga-74		1.0148024E-99	
Ga-75		1.0148024E-99	
Ge-66		1.0148024E-99	
Ge-67		1.0148024E-99	
Ge-68		1.0148024E-99	
Ge-69		1.0148024E-99	
Ge-70		6.0806489E-08	
Ge-71		1.0148024E-99	
Ge-72		7.8352273E-08	
Ge-73		2.2155980E-08	
Ge-74		1.0547663E-07	
Ge-75		1.0148024E-99	
Ge-76		2.0413115E-08	
Ge-77		1.0148024E-99	
Ge-78		1.0148024E-99	
As-69		1.0148024E-99	
As-70		1.0148024E-99	
As-71		1.0148024E-99	
As-72		1.0148024E-99	
As-73		1.0148024E-99	
As-74		3.3055582E-25	
As-75		1.5772740E-08	
As-76		1.0148024E-99	
As-77		1.0148024E-99	
As-78		1.0148024E-99	
As-79		1.0148024E-99	
As-80		1.0148024E-99	
As-81		1.0148024E-99	
Se-72		1.0148024E-99	
Se-73		1.0148024E-99	
Se-74		1.2350210E-09	
Se-75		1.0148024E-99	
Se-76		1.5607331E-08	
Se-77		1.1915249E-08	
Se-78		4.0200837E-08	
Se-79		9.5643250E-10	
Se-80		7.9698109E-08	
Se-81		1.0148024E-99	
Se-82		1.3598907E-08	
Se-83		1.0148024E-99	
Se-84		1.0148024E-99	
Br-74		1.0148024E-99	
Br-75		1.0148024E-99	
Br-76		1.0148024E-99	
Br-77		1.0148024E-99	
Br-78		1.0148024E-99	
Br-79		1.4437981E-08	
Br-80		1.0148024E-99	
Br-81		1.5216250E-08	
Br-82		1.0148024E-99	
Br-83		1.0148024E-99	
Br-84		1.0148024E-99	
Br-85		1.0148024E-99	
Br-86		1.0148024E-99	
Br-87		1.0148024E-99	
Kr-76		1.0148024E-99	
Kr-77		1.0148024E-99	
Kr-78		4.0207832E-10	
Kr-79		1.0148024E-99	
Kr-80		2.8263379E-09	
Kr-81		1.0164170E-10	
Kr-82		1.6684700E-08	
Kr-83		1.4776857E-08	
Kr-84		7.5321086E-08	
Kr-85		9.8489785E-15	
Kr-86		2.3898772E-08	
Kr-87		1.0148024E-99	
Kr-88		1.0148024E-99	
Kr-89		1.0148024E-99	
Kr-90		1.0148024E-99	
Rb-79		1.0148024E-99	
Rb-80		1.0148024E-99	
Rb-81		1.0148024E-99	
Rb-82		1.0148024E-99	
Rb-83		1.0148024E-99	
Rb-84		1.5819494E-27	
Rb-85		1.4923411E-08	
Rb-86		1.0148024E-99	
Rb-87		6.3326720E-09	
Rb-88		1.0148024E-99	
Rb-89		1.0148024E-99	
Rb-90		1.0148024E-99	
Rb-91		1.0148024E-99	
Sr-80		1.0148024E-99	
Sr-81		1.0148024E-99	
Sr-82		1.0148024E-99	
Sr-83		1.0148024E-99	
Sr-84		3.3273484E-10	
Sr-85		1.0148024E-99	
Sr-86		8.6112046E-09	
Sr-87		6.3095441E-09	
Sr-88		8.0349753E-08	
Sr-89		1.0148024E-99	
Sr-90		4.5595832E-13	
Sr-91		1.0148024E-99	
Sr-92		1.0148024E-99	
Sr-93		1.0148024E-99	
Sr-94		1.0148024E-99	
Y-85		1.0148024E-99	
Y-86		1.0148024E-99	
Y-87		1.0148024E-99	
Y-88		1.0148024E-99	
Y-89		2.0654372E-08	
Y-90		1.1599490E-16	
Y-91		1.0148024E-99	
Y-92		1.0148024E-99	
Y-93		1.0148024E-99	
Y-94		1.0148024E-99	
Y-95		1.0148024E-99	
Y-96		1.0148024E-99	
Zr-86		1.0148024E-99	
Zr-87		1.0148024E-99	
Zr-88		1.0148024E-99	
Zr-89		1.0148024E-99	
Zr-90		2.3981527E-08	
Zr-91		5.7675857E-09	
Zr-92		8.9868867E-09	
Zr-93		1.2978669E-09	
Zr-94		1.0157861E-08	
Zr-95		1.0148024E-99	
Zr-96		1.1342392E-09	
Zr-97		1.0148024E-99	
Zr-98		1.0148024E-99	
Nb-89		1.0148024E-99	
Nb-90		1.0148024E-99	
Nb-91		1.5677505E-27	
Nb-92		1.0148024E-99	
Nb-93		1.9618792E-09	
Nb-94		3.6576059E-14	
Nb-95		1.0148024E-99	
Nb-96		1.0148024E-99	
Nb-97		1.0148024E-99	
Nb-98		1.0148024E-99	
Nb-99		1.0148024E-99	
Mo-90		1.0148024E-99	
Mo-91		1.0148024E-99	
Mo-92		1.0465359E-09	
Mo-93		8.1340239E-13	
Mo-94		6.8711314E-10	
Mo-95		1.7854665E-09	
Mo-96		2.3397508E-09	
Mo-97		1.0782995E-09	
Mo-98		3.1089967E-09	
Mo-99		1.0148024E-99	
Mo-100		8.0006836E-10	
Mo-101		1.0148024E-99	
