H Table: (M=2.0, Z=0.02)

Isotopes	Yields	 
Hf-177		1.8042502E-10	
Hf-178		3.5443133E-10	
Hf-179		1.5723092E-10	
Hf-180		5.4187273E-10	
Hf-181		1.0148024E-99	
Hf-182		9.5710316E-12	
Hf-183		1.0148024E-99	
Hf-184		1.0148024E-99	
Hf-185		1.0148024E-99	
Ta-169		1.0148024E-99	
Ta-170		1.0148024E-99	
Ta-171		1.0148024E-99	
Ta-172		1.0148024E-99	
Ta-173		1.0148024E-99	
Ta-174		1.0148024E-99	
Ta-175		1.0148024E-99	
Ta-176		1.0148024E-99	
Ta-177		1.0148024E-99	
Ta-178		1.0148024E-99	
Ta-179		1.2199686E-31	
Ta-180		2.5135875E-14	
Ta-181		2.5864709E-10	
Ta-182		3.6894061E-19	
Ta-183		1.0148024E-99	
Ta-184		1.0148024E-99	
Ta-185		1.0148024E-99	
Ta-186		1.0148024E-99	
W-172		1.0148024E-99	
W-173		1.0148024E-99	
W-174		1.0148024E-99	
W-175		1.0148024E-99	
W-176		1.0148024E-99	
W-177		1.0148024E-99	
W-178		1.0148024E-99	
W-179		1.0148024E-99	
W-180		8.7742826E-13	
W-181		1.0148024E-99	
W-182		2.9322518E-10	
W-183		1.7488302E-10	
W-184		4.0391508E-10	
W-185		1.0148024E-99	
W-186		2.8436602E-10	
W-187		1.0148024E-99	
W-188		1.0148024E-99	
W-189		1.0148024E-99	
W-190		1.0148024E-99	
Re-175		1.0148024E-99	
Re-176		1.0148024E-99	
Re-177		1.0148024E-99	
Re-178		1.0148024E-99	
Re-179		1.0148024E-99	
Re-180		1.0148024E-99	
Re-181		1.0148024E-99	
Re-182		1.0148024E-99	
Re-183		1.0148024E-99	
Re-184		1.0148024E-99	
Re-185		1.4870136E-10	
Re-186		1.0148024E-99	
Re-187		2.0036841E-10	
Re-188		1.0148024E-99	
Re-189		1.0148024E-99	
Re-190		1.0148024E-99	
Re-191		1.0148024E-99	
Os-179		1.0148024E-99	
Os-180		1.0148024E-99	
Os-181		1.0148024E-99	
Os-182		1.0148024E-99	
Os-183		1.0148024E-99	
Os-184		7.3258964E-13	
Os-185		1.0148024E-99	
Os-186		1.1871358E-10	
Os-187		8.0025667E-11	
Os-188		6.3299884E-10	
Os-189		6.4362135E-10	
Os-190		1.1467230E-09	
Os-191		1.0148024E-99	
Os-192		1.6478848E-09	
Os-193		1.0148024E-99	
Os-194		1.3014146E-19	
Os-195		1.0148024E-99	
Os-196		1.0148024E-99	
Ir-181		1.0148024E-99	
Ir-182		1.0148024E-99	
Ir-183		1.0148024E-99	
Ir-184		1.0148024E-99	
Ir-185		1.0148024E-99	
Ir-186		1.0148024E-99	
Ir-187		1.0148024E-99	
Ir-188		1.0148024E-99	
Ir-189		1.0148024E-99	
Ir-190		1.0148024E-99	
Ir-191		1.4240438E-09	
Ir-192		1.0148024E-99	
Ir-193		2.4133060E-09	
Ir-194		4.7294813E-23	
Ir-195		1.0148024E-99	
Ir-196		1.0148024E-99	
Ir-197		1.0148024E-99	
Pt-184		1.0148024E-99	
Pt-185		1.0148024E-99	
Pt-186		1.0148024E-99	
Pt-187		1.0148024E-99	
Pt-188		1.0148024E-99	
Pt-189		1.0148024E-99	
Pt-190		1.0393758E-12	
Pt-191		1.0148024E-99	
Pt-192		9.1123624E-11	
Pt-193		3.1073647E-13	
Pt-194		2.6751649E-09	
Pt-195		2.6913764E-09	
Pt-196		2.1958635E-09	
Pt-197		1.0148024E-99	
Pt-198		5.8156543E-10	
Pt-199		1.0148024E-99	
Pt-200		1.0148024E-99	
Pt-201		1.0148024E-99	
Pt-202		1.0148024E-99	
Au-185		1.0148024E-99	
Au-186		1.0148024E-99	
Au-187		1.0148024E-99	
Au-188		1.0148024E-99	
Au-189		1.0148024E-99	
Au-190		1.0148024E-99	
Au-191		1.0148024E-99	
Au-192		1.0148024E-99	
Au-193		1.0148024E-99	
Au-194		1.0148024E-99	
Au-195		1.0148024E-99	
Au-196		1.0148024E-99	
Au-197		1.1818895E-09	
Au-198		1.0148024E-99	
Au-199		1.0148024E-99	
Au-200		1.0148024E-99	
Au-201		1.0148024E-99	
Au-202		1.0148024E-99	
Au-203		1.0148024E-99	
Hg-189		1.0148024E-99	
Hg-190		1.0148024E-99	
Hg-191		1.0148024E-99	
Hg-192		1.0148024E-99	
Hg-193		1.0148024E-99	
Hg-194		1.0148024E-99	
Hg-195		1.0148024E-99	
Hg-196		3.1035892E-12	
Hg-197		1.0148024E-99	
Hg-198		4.0379135E-10	
Hg-199		4.4121911E-10	
Hg-200		7.7980292E-10	
Hg-201		4.0341347E-10	
Hg-202		1.0899920E-09	
Hg-203		1.0148024E-99	
Hg-204		1.5638199E-10	
Hg-205		1.0148024E-99	
Hg-206		1.0148024E-99	
Hg-207		1.0148024E-99	
Hg-208		1.0148024E-99	
Tl-192		1.0148024E-99	
Tl-193		1.0148024E-99	
Tl-194		1.0148024E-99	
Tl-195		1.0148024E-99	
Tl-196		1.0148024E-99	
Tl-197		1.0148024E-99	
Tl-198		1.0148024E-99	
Tl-199		1.0148024E-99	
Tl-200		1.0148024E-99	
Tl-201		1.0148024E-99	
Tl-202		1.0148024E-99	
Tl-203		5.3955268E-10	
Tl-204		1.5113465E-22	
Tl-205		1.1165114E-09	
Tl-206		1.0148024E-99	
Tl-207		1.0148024E-99	
Tl-208		1.0148024E-99	
Tl-209		1.0148024E-99	
Tl-210		1.0148024E-99	
Pb-193		1.0148024E-99	
Pb-194		1.0148024E-99	
Pb-195		1.0148024E-99	
Pb-196		1.0148024E-99	
Pb-197		1.0148024E-99	
Pb-198		1.0148024E-99	
Pb-199		1.0148024E-99	
Pb-200		1.0148024E-99	
Pb-201		1.0148024E-99	
Pb-202		1.0148024E-99	
Pb-203		1.0148024E-99	
Pb-204		5.6414855E-10	
Pb-205		4.8126739E-12	
Pb-208		9.9863161E-09	
Pb-209		1.0148024E-99	
Pb-210		8.1876810E-20	
Pb-211		1.0148024E-99	
Bi-202		1.0148024E-99	
Bi-203		1.0148024E-99	
Bi-204		1.0148024E-99	
Bi-205		1.0148024E-99	
Bi-206		1.0148024E-99	
Bi-207		1.0148024E-99	
Bi-208		1.0148024E-99	
Bi-209		9.2151714E-10	
Bi-210		2.0568328E-12	
Al-26m1		1.0148024E-99	
Kr-85m1		1.0148024E-99	
Cd-115m1	1.0148024E-99	
Lu-176m1	1.0148024E-99	
Ta-180m1	1.0148024E-99
